
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,55.2881,um^2,Dendrite,,1,,1,,1,,100000005,510000000002,
Dendrite Area,61.1884,um^2,Dendrite,,2,,1,,1,,100000005,510000000032,
Dendrite Area,9.33345,um^2,Dendrite,,3,,1,,1,,100000005,510000000093,
Dendrite Area,7.5629,um^2,Dendrite,,4,,2,,1,,100000005,510000000110,
Dendrite Area,5.8567,um^2,Dendrite,,5,,3,,1,,100000005,510000000126,
Dendrite Area,28.152,um^2,Dendrite,,6,,3,,1,,100000005,510000000138,
Dendrite Area,23.7029,um^2,Dendrite,,7,,3,,1,,100000005,510000000178,
Dendrite Area,20.3984,um^2,Dendrite,,8,,3,,1,,100000005,510000000214,
Dendrite Area,17.5045,um^2,Dendrite,,3,,2,,1,,100000005,510000000246,
Dendrite Area,18.1077,um^2,Dendrite,,4,,2,,1,,100000005,510000000280,
Dendrite Area,10.781,um^2,Dendrite,,5,,2,,1,,100000005,510000000317,
Dendrite Area,15.5183,um^2,Dendrite,,6,,3,,1,,100000005,510000000333,
Dendrite Area,5.39007,um^2,Dendrite,,5,,3,,1,,100000005,510000000364,
Dendrite Area,5.17599,um^2,Dendrite,,6,,4,,1,,100000005,510000000376,
Dendrite Area,10.3577,um^2,Dendrite,,1,,2,,1,,100000005,510000000386,
Dendrite Area,18.2544,um^2,Dendrite,,2,,2,,1,,100000005,510000000392,
Dendrite Area,46.6497,um^2,Dendrite,,3,,3,,1,,100000005,510000000404,
Dendrite Area,18.2067,um^2,Dendrite,,5,,3,,1,,100000005,510000000455,
Dendrite Area,43.0815,um^2,Dendrite,,6,,3,,1,,100000005,510000000485,
Dendrite Area,23.2665,um^2,Dendrite,,2,,3,,1,,100000005,510000000680,
Dendrite Area,7.17434,um^2,Dendrite,,3,,4,,1,,100000005,510000000701,
Dendrite Area,11.1609,um^2,Dendrite,,4,,4,,1,,100000005,510000000716,
Dendrite Area,7.30587,um^2,Dendrite,,5,,4,,1,,100000005,510000000739,
Dendrite Area,24.6362,um^2,Dendrite,,6,,4,,1,,100000005,510000000777,
Dendrite Area,12.6904,um^2,Dendrite,,6,,4,,1,,100000005,510000000812,
Dendrite Area,51.8369,um^2,Dendrite,,3,,2,,1,,100000005,510000000896,
Dendrite Area,8.72284,um^2,Dendrite,,4,,2,,1,,100000005,510000000943,
Dendrite Area,30.4851,um^2,Dendrite,,5,,3,,1,,100000005,510000000959,
Dendrite Area,27.6354,um^2,Dendrite,,4,,1,,1,,100000005,510000001339,
Dendrite Area,21.6329,um^2,Dendrite,,5,,2,,1,,100000005,510000001401,
Dendrite Area,26.0726,um^2,Dendrite,,5,,1,,1,,100000005,510000001446,
Dendrite Area,11.8319,um^2,Dendrite,,6,,2,,1,,100000005,510000001501,
Dendrite Area,7.44599,um^2,Dendrite,,8,,4,,1,,100000005,510000001537,
Dendrite Area,13.771,um^2,Dendrite,,7,,4,,1,,100000005,510000001550,
Dendrite Area,24.4854,um^2,Dendrite,,5,,2,,1,,100000005,510000001579,
Dendrite Area,30.1587,um^2,Dendrite,,4,,3,,1,,100000005,510000001631,
Dendrite Area,9.01737,um^2,Dendrite,,6,,3,,1,,100000005,510000001696,
Dendrite Area,4.1279,um^2,Dendrite,,5,,5,,1,,100000005,510000001712,
Dendrite Area,12.2127,um^2,Dendrite,,6,,6,,1,,100000005,510000001722,
Dendrite Area,27.3852,um^2,Dendrite,,7,,7,,1,,100000005,510000001749,
Dendrite Area,18.296,um^2,Dendrite,,5,,4,,1,,100000005,510000001795,
Dendrite Area,15.4376,um^2,Dendrite,,7,,6,,1,,100000005,510000001838,
Dendrite Area,11.6341,um^2,Dendrite,,4,,3,,1,,100000005,510000001857,
Dendrite Area,13.1725,um^2,Dendrite,,6,,5,,1,,100000005,510000001877,
Dendrite Area,13.2921,um^2,Dendrite,,5,,2,,1,,100000005,510000001897,
Dendrite Area,10.438,um^2,Dendrite,,4,,4,,1,,100000005,510000001921,
Dendrite Area,19.7471,um^2,Dendrite,,3,,3,,1,,100000005,510000001946,
Dendrite Area,8.47516,um^2,Dendrite,,4,,5,,1,,100000005,510000001987,
Dendrite Area,34.1547,um^2,Dendrite,,2,,2,,1,,100000005,510000002003,
Dendrite Area,0.666377,um^2,Dendrite,,0,,1,,1,,100000005,510000002118,
Dendrite Area,0.727884,um^2,Dendrite,,4,,3,,1,,100000005,510000002119,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000005,510000000002,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000005,510000000032,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000005,510000000093,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000005,510000000110,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000005,510000000126,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000005,510000000138,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000005,510000000178,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000005,510000000214,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000005,510000000246,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000005,510000000280,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000005,510000000317,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000005,510000000333,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000005,510000000364,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000005,510000000376,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000005,510000000386,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000005,510000000392,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000005,510000000404,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000005,510000000455,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000005,510000000485,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000005,510000000680,
Dendrite Branch Depth,3,,Dendrite,,3,,4,,1,,100000005,510000000701,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000005,510000000716,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000005,510000000739,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000005,510000000777,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000005,510000000812,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000005,510000000896,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000005,510000000943,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000005,510000000959,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000005,510000001339,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000005,510000001401,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000005,510000001446,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000005,510000001501,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000005,510000001537,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000005,510000001550,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000005,510000001579,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000005,510000001631,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000005,510000001696,
Dendrite Branch Depth,5,,Dendrite,,5,,5,,1,,100000005,510000001712,
Dendrite Branch Depth,6,,Dendrite,,6,,6,,1,,100000005,510000001722,
Dendrite Branch Depth,7,,Dendrite,,7,,7,,1,,100000005,510000001749,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000005,510000001795,
Dendrite Branch Depth,7,,Dendrite,,7,,6,,1,,100000005,510000001838,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000005,510000001857,
Dendrite Branch Depth,6,,Dendrite,,6,,5,,1,,100000005,510000001877,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000005,510000001897,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000005,510000001921,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000005,510000001946,
Dendrite Branch Depth,4,,Dendrite,,4,,5,,1,,100000005,510000001987,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000005,510000002003,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000005,510000002118,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000005,510000002119,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000005,510000000002,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000005,510000000032,
Dendrite Branch Level,1,,Dendrite,,3,,1,,1,,100000005,510000000093,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000005,510000000110,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000005,510000000126,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000005,510000000138,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000005,510000000178,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000005,510000000214,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000005,510000000246,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000005,510000000280,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000005,510000000317,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000005,510000000333,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000005,510000000364,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000005,510000000376,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000005,510000000386,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000005,510000000392,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000005,510000000404,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000005,510000000455,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000005,510000000485,
Dendrite Branch Level,3,,Dendrite,,2,,3,,1,,100000005,510000000680,
Dendrite Branch Level,4,,Dendrite,,3,,4,,1,,100000005,510000000701,
Dendrite Branch Level,4,,Dendrite,,4,,4,,1,,100000005,510000000716,
Dendrite Branch Level,4,,Dendrite,,5,,4,,1,,100000005,510000000739,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000005,510000000777,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000005,510000000812,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000005,510000000896,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000005,510000000943,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000005,510000000959,
Dendrite Branch Level,1,,Dendrite,,4,,1,,1,,100000005,510000001339,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000005,510000001401,
Dendrite Branch Level,1,,Dendrite,,5,,1,,1,,100000005,510000001446,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000005,510000001501,
Dendrite Branch Level,4,,Dendrite,,8,,4,,1,,100000005,510000001537,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000005,510000001550,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000005,510000001579,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000005,510000001631,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000005,510000001696,
Dendrite Branch Level,5,,Dendrite,,5,,5,,1,,100000005,510000001712,
Dendrite Branch Level,6,,Dendrite,,6,,6,,1,,100000005,510000001722,
Dendrite Branch Level,7,,Dendrite,,7,,7,,1,,100000005,510000001749,
Dendrite Branch Level,4,,Dendrite,,5,,4,,1,,100000005,510000001795,
Dendrite Branch Level,6,,Dendrite,,7,,6,,1,,100000005,510000001838,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000005,510000001857,
Dendrite Branch Level,5,,Dendrite,,6,,5,,1,,100000005,510000001877,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000005,510000001897,
Dendrite Branch Level,4,,Dendrite,,4,,4,,1,,100000005,510000001921,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000005,510000001946,
Dendrite Branch Level,5,,Dendrite,,4,,5,,1,,100000005,510000001987,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000005,510000002003,
Dendrite Branch Level,1,,Dendrite,,0,,1,,1,,100000005,510000002118,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000005,510000002119,
Dendrite Branching Angle,21.731,°,Dendrite,,1,,1,,1,,100000005,510000000002,
Dendrite Branching Angle,10.7915,°,Dendrite,,2,,1,,1,,100000005,510000000032,
Dendrite Branching Angle,25.8454,°,Dendrite,,3,,1,,1,,100000005,510000000093,
Dendrite Branching Angle,5.28157,°,Dendrite,,4,,2,,1,,100000005,510000000110,
Dendrite Branching Angle,2.96141,°,Dendrite,,5,,3,,1,,100000005,510000000126,
Dendrite Branching Angle,6.27679,°,Dendrite,,6,,3,,1,,100000005,510000000138,
Dendrite Branching Angle,10.5651,°,Dendrite,,7,,3,,1,,100000005,510000000178,
Dendrite Branching Angle,6.74831,°,Dendrite,,8,,3,,1,,100000005,510000000214,
Dendrite Branching Angle,39.6735,°,Dendrite,,3,,2,,1,,100000005,510000000246,
Dendrite Branching Angle,3.92136,°,Dendrite,,4,,2,,1,,100000005,510000000280,
Dendrite Branching Angle,15.2345,°,Dendrite,,5,,2,,1,,100000005,510000000317,
Dendrite Branching Angle,5.37782,°,Dendrite,,6,,3,,1,,100000005,510000000333,
Dendrite Branching Angle,89.2392,°,Dendrite,,5,,3,,1,,100000005,510000000364,
Dendrite Branching Angle,12.2703,°,Dendrite,,6,,4,,1,,100000005,510000000376,
Dendrite Branching Angle,162.148,°,Dendrite,,1,,2,,1,,100000005,510000000386,
Dendrite Branching Angle,7.10365,°,Dendrite,,2,,2,,1,,100000005,510000000392,
Dendrite Branching Angle,5.57422,°,Dendrite,,3,,3,,1,,100000005,510000000404,
Dendrite Branching Angle,3.55391,°,Dendrite,,5,,3,,1,,100000005,510000000455,
Dendrite Branching Angle,4.48917,°,Dendrite,,6,,3,,1,,100000005,510000000485,
Dendrite Branching Angle,65.687,°,Dendrite,,2,,3,,1,,100000005,510000000680,
Dendrite Branching Angle,26.1951,°,Dendrite,,3,,4,,1,,100000005,510000000701,
Dendrite Branching Angle,5.59629,°,Dendrite,,4,,4,,1,,100000005,510000000716,
Dendrite Branching Angle,18.3931,°,Dendrite,,5,,4,,1,,100000005,510000000739,
Dendrite Branching Angle,42.9375,°,Dendrite,,6,,4,,1,,100000005,510000000777,
Dendrite Branching Angle,29.8348,°,Dendrite,,6,,4,,1,,100000005,510000000812,
Dendrite Branching Angle,54.7274,°,Dendrite,,3,,2,,1,,100000005,510000000896,
Dendrite Branching Angle,15.7599,°,Dendrite,,4,,2,,1,,100000005,510000000943,
Dendrite Branching Angle,13.147,°,Dendrite,,5,,3,,1,,100000005,510000000959,
Dendrite Branching Angle,6.06155,°,Dendrite,,4,,1,,1,,100000005,510000001339,
Dendrite Branching Angle,1.36056,°,Dendrite,,5,,2,,1,,100000005,510000001401,
Dendrite Branching Angle,52.1573,°,Dendrite,,5,,1,,1,,100000005,510000001446,
Dendrite Branching Angle,22.2829,°,Dendrite,,6,,2,,1,,100000005,510000001501,
Dendrite Branching Angle,41.1907,°,Dendrite,,8,,4,,1,,100000005,510000001537,
Dendrite Branching Angle,34.3659,°,Dendrite,,7,,4,,1,,100000005,510000001550,
Dendrite Branching Angle,5.60277,°,Dendrite,,5,,2,,1,,100000005,510000001579,
Dendrite Branching Angle,61.5066,°,Dendrite,,4,,3,,1,,100000005,510000001631,
