
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.79764,um^2,Surface,,,,1,0,
Area,5.14535,um^2,Surface,,,,1,1,
Area,2.38869,um^2,Surface,,,,1,2,
Area,0.033092,um^2,Surface,,,,1,3,
Area,0.0330917,um^2,Surface,,,,1,4,
Area,2.92837,um^2,Surface,,,,1,5,
Area,0.129474,um^2,Surface,,,,1,6,
Area,0.15949,um^2,Surface,,,,1,7,
Area,6.58222,um^2,Surface,,,,1,8,
Area,0.0660605,um^2,Surface,,,,1,9,
Area,22.6752,um^2,Surface,,,,1,10,
Area,3.55318,um^2,Surface,,,,1,11,
Area,1.29799,um^2,Surface,,,,1,12,
Area,0.098584,um^2,Surface,,,,1,13,
Area,11.8962,um^2,Surface,,,,1,14,
Area,11.6526,um^2,Surface,,,,1,15,
Contact surface area,0.05,um,Surface,,,,,0,
Contact surface area,0.7225,um,Surface,,,,,1,
Contact surface area,6.9375,um,Surface,,,,,2,
Contact surface area,6.7775,um,Surface,,,,,3,
Contact surface area,0.065,um,Surface,,,,,4,
Contact surface area,0.08,um,Surface,,,,,5,
Contact surface area,0.03,um,Surface,,,,,6,
Contact surface area,1.9875,um,Surface,,,,,7,
Contact surface area,0.015,um,Surface,,,,,8,
Contact surface area,0.015,um,Surface,,,,,9,
Contact surface area,1.3775,um,Surface,,,,,10,
Contact surface area,3.635,um,Surface,,,,,11,
Contact surface area,13.0975,um,Surface,,,,,12,
Contact surface area,1.6325,um,Surface,,,,,13,
Contact surface area,2.995,um,Surface,,,,,14,
Contact surface area,1.01,um,Surface,,,,,15,
Distance from Origin,142.454,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,154.636,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,143.656,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,142.475,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,142.273,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,161.705,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,150.069,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,150.169,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,150.173,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,144.083,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,142.975,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,159.167,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,136.578,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,135.594,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,134.748,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,135.766,um,Surface,,Distance from Origin,,1,15,
Distance to Image Border XY,31.5852,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,31.3257,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,28.4448,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,29.425,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,29.225,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,24.2484,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,33.0942,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,33.1,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,32.6697,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,30.975,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,28.606,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,22.734,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,25.9613,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,26.415,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,26.3946,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,26.0122,um,Surface,,,Image 1,1,15,
Ellipticity (oblate),0.219758,,Surface,,,,1,0,
Ellipticity (oblate),0.246073,,Surface,,,,1,1,
Ellipticity (oblate),0.63159,,Surface,,,,1,2,
Ellipticity (oblate),0.528008,,Surface,,,,1,3,
Ellipticity (oblate),0.528019,,Surface,,,,1,4,
Ellipticity (oblate),0.401023,,Surface,,,,1,5,
Ellipticity (oblate),0.518359,,Surface,,,,1,6,
Ellipticity (oblate),0.495665,,Surface,,,,1,7,
Ellipticity (oblate),0.476931,,Surface,,,,1,8,
Ellipticity (oblate),0.670585,,Surface,,,,1,9,
Ellipticity (oblate),0.50958,,Surface,,,,1,10,
Ellipticity (oblate),0.502825,,Surface,,,,1,11,
Ellipticity (oblate),0.847042,,Surface,,,,1,12,
Ellipticity (oblate),0.459222,,Surface,,,,1,13,
Ellipticity (oblate),0.310957,,Surface,,,,1,14,
Ellipticity (oblate),0.327668,,Surface,,,,1,15,
Ellipticity (prolate),0.286118,,Surface,,,,1,0,
Ellipticity (prolate),0.389417,,Surface,,,,1,1,
Ellipticity (prolate),0.213784,,Surface,,,,1,2,
Ellipticity (prolate),0.247563,,Surface,,,,1,3,
Ellipticity (prolate),0.247559,,Surface,,,,1,4,
Ellipticity (prolate),0.477224,,Surface,,,,1,5,
Ellipticity (prolate),0.318358,,Surface,,,,1,6,
Ellipticity (prolate),0.336519,,Surface,,,,1,7,
Ellipticity (prolate),0.381715,,Surface,,,,1,8,
Ellipticity (prolate),0.11024,,Surface,,,,1,9,
Ellipticity (prolate),0.337592,,Surface,,,,1,10,
Ellipticity (prolate),0.134306,,Surface,,,,1,11,
Ellipticity (prolate),0.0987481,,Surface,,,,1,12,
Ellipticity (prolate),0.39626,,Surface,,,,1,13,
Ellipticity (prolate),0.612174,,Surface,,,,1,14,
Ellipticity (prolate),0.531767,,Surface,,,,1,15,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,4,
Generation,0,,Surface,,,,1,5,
Generation,0,,Surface,,,,1,6,
Generation,0,,Surface,,,,1,7,
Generation,0,,Surface,,,,1,8,
Generation,0,,Surface,,,,1,9,
Generation,0,,Surface,,,,1,10,
Generation,0,,Surface,,,,1,11,
Generation,0,,Surface,,,,1,12,
Generation,0,,Surface,,,,1,13,
Generation,0,,Surface,,,,1,14,
Generation,0,,Surface,,,,1,15,
Intensity Max,4,,Surface,1,,Image 1,1,0,
Intensity Max,11,,Surface,2,,Image 1,1,0,
Intensity Max,0,,Surface,3,,Image 1,1,0,
Intensity Max,14,,Surface,4,,Image 1,1,0,
Intensity Max,4,,Surface,5,,Image 1,1,0,
