
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,0.53012,um^2,Dendrite,,0,,1,,1,,100000001,510000000001,
Dendrite Area,10.6077,um^2,Dendrite,,3,,4,,1,,100000001,510000000005,
Dendrite Area,15.8969,um^2,Dendrite,,4,,4,,1,,100000001,510000000036,
Dendrite Area,11.2598,um^2,Dendrite,,5,,4,,1,,100000001,510000000099,
Dendrite Area,13.3953,um^2,Dendrite,,6,,4,,1,,100000001,510000000153,
Dendrite Area,20.9759,um^2,Dendrite,,7,,4,,1,,100000001,510000000204,
Dendrite Area,2.11697,um^2,Dendrite,,8,,4,,1,,100000001,510000000245,
Dendrite Area,18.5044,um^2,Dendrite,,9,,4,,1,,100000001,510000000250,
Dendrite Area,10.3885,um^2,Dendrite,,10,,4,,1,,100000001,510000000318,
Dendrite Area,10.2874,um^2,Dendrite,,11,,5,,1,,100000001,510000000363,
Dendrite Area,7.69446,um^2,Dendrite,,3,,3,,1,,100000001,510000000382,
Dendrite Area,2.12916,um^2,Dendrite,,4,,3,,1,,100000001,510000000399,
Dendrite Area,24.797,um^2,Dendrite,,5,,3,,1,,100000001,510000000404,
Dendrite Area,8.03864,um^2,Dendrite,,6,,3,,1,,100000001,510000000445,
Dendrite Area,13.9079,um^2,Dendrite,,7,,3,,1,,100000001,510000000462,
Dendrite Area,7.40477,um^2,Dendrite,,8,,3,,1,,100000001,510000000492,
Dendrite Area,6.15152,um^2,Dendrite,,9,,3,,1,,100000001,510000000503,
Dendrite Area,2.16721,um^2,Dendrite,,10,,3,,1,,100000001,510000000514,
Dendrite Area,12.2078,um^2,Dendrite,,11,,3,,1,,100000001,510000000518,
Dendrite Area,23.7637,um^2,Dendrite,,12,,3,,1,,100000001,510000000551,
Dendrite Area,9.23605,um^2,Dendrite,,13,,4,,1,,100000001,510000000614,
Dendrite Area,13.6444,um^2,Dendrite,,14,,4,,1,,100000001,510000000640,
Dendrite Area,15.2508,um^2,Dendrite,,16,,4,,1,,100000001,510000000687,
Dendrite Area,2.85158,um^2,Dendrite,,17,,5,,1,,100000001,510000000725,
Dendrite Area,10.4574,um^2,Dendrite,,18,,5,,1,,100000001,510000000734,
Dendrite Area,7.24508,um^2,Dendrite,,19,,6,,1,,100000001,510000000768,
Dendrite Area,8.45535,um^2,Dendrite,,20,,6,,1,,100000001,510000000799,
Dendrite Area,14.6658,um^2,Dendrite,,13,,3,,1,,100000001,510000000834,
Dendrite Area,27.3206,um^2,Dendrite,,14,,3,,1,,100000001,510000000872,
Dendrite Area,14.9884,um^2,Dendrite,,15,,3,,1,,100000001,510000000959,
Dendrite Area,78.2557,um^2,Dendrite,,16,,3,,1,,100000001,510000000996,
Dendrite Area,10.9374,um^2,Dendrite,,17,,3,,1,,100000001,510000001258,
Dendrite Area,24.0067,um^2,Dendrite,,18,,4,,1,,100000001,510000001294,
Dendrite Area,52.9311,um^2,Dendrite,,16,,5,,1,,100000001,510000001406,
Dendrite Area,3.90918,um^2,Dendrite,,2,,2,,1,,100000001,510000001655,
Dendrite Area,18.4652,um^2,Dendrite,,3,,2,,1,,100000001,510000001663,
Dendrite Area,32.3232,um^2,Dendrite,,4,,3,,1,,100000001,510000001704,
Dendrite Area,14.0269,um^2,Dendrite,,5,,3,,1,,100000001,510000001800,
Dendrite Area,10.3847,um^2,Dendrite,,17,,4,,1,,100000001,510000001847,
Dendrite Area,3.05305,um^2,Dendrite,,18,,5,,1,,100000001,510000001876,
Dendrite Area,13.0789,um^2,Dendrite,,18,,4,,1,,100000001,510000001883,
Dendrite Area,9.19364,um^2,Dendrite,,19,,4,,1,,100000001,510000001933,
Dendrite Area,17.3699,um^2,Dendrite,,16,,4,,1,,100000001,510000001961,
Dendrite Area,7.7093,um^2,Dendrite,,17,,5,,1,,100000001,510000002023,
Dendrite Area,32.817,um^2,Dendrite,,1,,1,,1,,100000001,510000002046,
Dendrite Area,16.2655,um^2,Dendrite,,10,,4,,1,,100000001,510000002201,
Dendrite Area,6.8236,um^2,Dendrite,,11,,5,,1,,100000001,510000002250,
Dendrite Area,8.75332,um^2,Dendrite,,12,,5,,1,,100000001,510000002283,
Dendrite Area,1.97349,um^2,Dendrite,,13,,6,,1,,100000001,510000002324,
Dendrite Area,25.5159,um^2,Dendrite,,14,,6,,1,,100000001,510000002333,
Dendrite Area,5.33719,um^2,Dendrite,,19,,5,,1,,100000001,510000002702,
Dendrite Area,2.00938,um^2,Dendrite,,20,,5,,1,,100000001,510000002716,
Dendrite Area,10.7708,um^2,Dendrite,,21,,5,,1,,100000001,510000002722,
Dendrite Area,2.43235,um^2,Dendrite,,22,,6,,1,,100000001,510000002752,
Dendrite Area,53.6918,um^2,Dendrite,,17,,4,,1,,100000001,510000002792,
Dendrite Area,8.44603,um^2,Dendrite,,18,,4,,1,,100000001,510000002980,
