
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,56.4973,um^2,Surface,,,,1,978,
Area,93.1529,um^2,Surface,,,,1,986,
Area,172.585,um^2,Surface,,,,1,989,
Area,19.5407,um^2,Surface,,,,1,994,
Area,155.947,um^2,Surface,,,,1,996,
Area,82.3867,um^2,Surface,,,,1,997,
Area,129.47,um^2,Surface,,,,1,1000,
Area,878.799,um^2,Surface,,,,1,1057,
Area,0.1086,um^2,Surface,,,,1,1059,
Area,0.227459,um^2,Surface,,,,1,1060,
Area,996.648,um^2,Surface,,,,1,1062,
Area,189.598,um^2,Surface,,,,1,1063,
Area,0.00158735,um^2,Surface,,,,1,1064,
Area,23.538,um^2,Surface,,,,1,1067,
Area,0.00748316,um^2,Surface,,,,1,1069,
Area,62.763,um^2,Surface,,,,1,1071,
Distance from Origin,113.529,um,Surface,,Distance from Origin,,1,978,
Distance from Origin,164.268,um,Surface,,Distance from Origin,,1,986,
Distance from Origin,134.701,um,Surface,,Distance from Origin,,1,989,
Distance from Origin,140.525,um,Surface,,Distance from Origin,,1,994,
Distance from Origin,126.551,um,Surface,,Distance from Origin,,1,996,
Distance from Origin,138.463,um,Surface,,Distance from Origin,,1,997,
Distance from Origin,105.904,um,Surface,,Distance from Origin,,1,1000,
Distance from Origin,141.916,um,Surface,,Distance from Origin,,1,1057,
Distance from Origin,156.805,um,Surface,,Distance from Origin,,1,1059,
Distance from Origin,130.515,um,Surface,,Distance from Origin,,1,1060,
Distance from Origin,120.099,um,Surface,,Distance from Origin,,1,1062,
Distance from Origin,143.683,um,Surface,,Distance from Origin,,1,1063,
Distance from Origin,140.793,um,Surface,,Distance from Origin,,1,1064,
Distance from Origin,125.403,um,Surface,,Distance from Origin,,1,1067,
Distance from Origin,125.023,um,Surface,,Distance from Origin,,1,1069,
Distance from Origin,129.871,um,Surface,,Distance from Origin,,1,1071,
Distance to Image Border XY,17.1038,um,Surface,,,Image 1,1,978,
Distance to Image Border XY,18.4057,um,Surface,,,Image 1,1,986,
Distance to Image Border XY,30.5794,um,Surface,,,Image 1,1,989,
Distance to Image Border XY,30.7935,um,Surface,,,Image 1,1,994,
Distance to Image Border XY,17.1629,um,Surface,,,Image 1,1,996,
Distance to Image Border XY,20.1277,um,Surface,,,Image 1,1,997,
Distance to Image Border XY,17.0167,um,Surface,,,Image 1,1,1000,
Distance to Image Border XY,16.7681,um,Surface,,,Image 1,1,1057,
Distance to Image Border XY,13.5904,um,Surface,,,Image 1,1,1059,
Distance to Image Border XY,37.6866,um,Surface,,,Image 1,1,1060,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,1062,
Distance to Image Border XY,24.4519,um,Surface,,,Image 1,1,1063,
Distance to Image Border XY,40.1226,um,Surface,,,Image 1,1,1064,
Distance to Image Border XY,25.2404,um,Surface,,,Image 1,1,1067,
Distance to Image Border XY,27.1014,um,Surface,,,Image 1,1,1069,
Distance to Image Border XY,27.6429,um,Surface,,,Image 1,1,1071,
Ellipticity (oblate),0.250646,,Surface,,,,1,978,
Ellipticity (oblate),0.297765,,Surface,,,,1,986,
Ellipticity (oblate),0.16107,,Surface,,,,1,989,
Ellipticity (oblate),0.637242,,Surface,,,,1,994,
Ellipticity (oblate),0.157306,,Surface,,,,1,996,
Ellipticity (oblate),0.403179,,Surface,,,,1,997,
Ellipticity (oblate),0.359054,,Surface,,,,1,1000,
Ellipticity (oblate),0.193291,,Surface,,,,1,1057,
Ellipticity (oblate),0.185193,,Surface,,,,1,1059,
Ellipticity (oblate),0.490944,,Surface,,,,1,1060,
Ellipticity (oblate),0.438296,,Surface,,,,1,1062,
Ellipticity (oblate),0.0853336,,Surface,,,,1,1063,
Ellipticity (oblate),0.238431,,Surface,,,,1,1064,
Ellipticity (oblate),0.322731,,Surface,,,,1,1067,
Ellipticity (oblate),0.310227,,Surface,,,,1,1069,
Ellipticity (oblate),0.41874,,Surface,,,,1,1071,
Ellipticity (prolate),0.665448,,Surface,,,,1,978,
Ellipticity (prolate),0.611513,,Surface,,,,1,986,
Ellipticity (prolate),0.550507,,Surface,,,,1,989,
Ellipticity (prolate),0.199771,,Surface,,,,1,994,
Ellipticity (prolate),0.526794,,Surface,,,,1,996,
Ellipticity (prolate),0.166099,,Surface,,,,1,997,
Ellipticity (prolate),0.198973,,Surface,,,,1,1000,
Ellipticity (prolate),0.359633,,Surface,,,,1,1057,
Ellipticity (prolate),0.886478,,Surface,,,,1,1059,
Ellipticity (prolate),0.348417,,Surface,,,,1,1060,
Ellipticity (prolate),0.156479,,Surface,,,,1,1062,
Ellipticity (prolate),0.512637,,Surface,,,,1,1063,
Ellipticity (prolate),0.563256,,Surface,,,,1,1064,
Ellipticity (prolate),0.283617,,Surface,,,,1,1067,
Ellipticity (prolate),0.585554,,Surface,,,,1,1069,
Ellipticity (prolate),0.372009,,Surface,,,,1,1071,
Generation,0,,Surface,,,,1,978,
Generation,0,,Surface,,,,1,986,
Generation,0,,Surface,,,,1,989,
Generation,0,,Surface,,,,1,994,
Generation,0,,Surface,,,,1,996,
Generation,0,,Surface,,,,1,997,
Generation,0,,Surface,,,,1,1000,
Generation,0,,Surface,,,,1,1057,
Generation,0,,Surface,,,,1,1059,
Generation,0,,Surface,,,,1,1060,
Generation,0,,Surface,,,,1,1062,
Generation,0,,Surface,,,,1,1063,
Generation,0,,Surface,,,,1,1064,
Generation,0,,Surface,,,,1,1067,
Generation,0,,Surface,,,,1,1069,
Generation,0,,Surface,,,,1,1071,
Intensity Max,9,,Surface,1,,Image 1,1,978,
Intensity Max,18,,Surface,2,,Image 1,1,978,
Intensity Max,69,,Surface,3,,Image 1,1,978,
Intensity Max,84,,Surface,4,,Image 1,1,978,
Intensity Max,9,,Surface,5,,Image 1,1,978,
Intensity Max,9,,Surface,1,,Image 1,1,986,
Intensity Max,16,,Surface,2,,Image 1,1,986,
Intensity Max,74,,Surface,3,,Image 1,1,986,
Intensity Max,84,,Surface,4,,Image 1,1,986,
Intensity Max,9,,Surface,5,,Image 1,1,986,
Intensity Max,99,,Surface,1,,Image 1,1,989,
Intensity Max,57,,Surface,2,,Image 1,1,989,
Intensity Max,48,,Surface,3,,Image 1,1,989,
Intensity Max,112,,Surface,4,,Image 1,1,989,
Intensity Max,99,,Surface,5,,Image 1,1,989,
Intensity Max,8,,Surface,1,,Image 1,1,994,
Intensity Max,14,,Surface,2,,Image 1,1,994,
Intensity Max,44,,Surface,3,,Image 1,1,994,
Intensity Max,46,,Surface,4,,Image 1,1,994,
Intensity Max,8,,Surface,5,,Image 1,1,994,
Intensity Max,139,,Surface,1,,Image 1,1,996,
Intensity Max,89,,Surface,2,,Image 1,1,996,
Intensity Max,69,,Surface,3,,Image 1,1,996,
Intensity Max,141,,Surface,4,,Image 1,1,996,
Intensity Max,139,,Surface,5,,Image 1,1,996,
Intensity Max,53,,Surface,1,,Image 1,1,997,
Intensity Max,16,,Surface,2,,Image 1,1,997,
Intensity Max,67,,Surface,3,,Image 1,1,997,
Intensity Max,74,,Surface,4,,Image 1,1,997,
Intensity Max,53,,Surface,5,,Image 1,1,997,
Intensity Max,24,,Surface,1,,Image 1,1,1000,
Intensity Max,27,,Surface,2,,Image 1,1,1000,
Intensity Max,96,,Surface,3,,Image 1,1,1000,
Intensity Max,138,,Surface,4,,Image 1,1,1000,
Intensity Max,24,,Surface,5,,Image 1,1,1000,
Intensity Max,254,,Surface,1,,Image 1,1,1057,
Intensity Max,162,,Surface,2,,Image 1,1,1057,
Intensity Max,84,,Surface,3,,Image 1,1,1057,
Intensity Max,197,,Surface,4,,Image 1,1,1057,
Intensity Max,254,,Surface,5,,Image 1,1,1057,
Intensity Max,0,,Surface,1,,Image 1,1,1059,
Intensity Max,1,,Surface,2,,Image 1,1,1059,
Intensity Max,14,,Surface,3,,Image 1,1,1059,
Intensity Max,9,,Surface,4,,Image 1,1,1059,
Intensity Max,0,,Surface,5,,Image 1,1,1059,
Intensity Max,18,,Surface,1,,Image 1,1,1060,
Intensity Max,21,,Surface,2,,Image 1,1,1060,
Intensity Max,4,,Surface,3,,Image 1,1,1060,
Intensity Max,28,,Surface,4,,Image 1,1,1060,
Intensity Max,18,,Surface,5,,Image 1,1,1060,
Intensity Max,195,,Surface,1,,Image 1,1,1062,
Intensity Max,172,,Surface,2,,Image 1,1,1062,
Intensity Max,67,,Surface,3,,Image 1,1,1062,
Intensity Max,143,,Surface,4,,Image 1,1,1062,
Intensity Max,195,,Surface,5,,Image 1,1,1062,
Intensity Max,108,,Surface,1,,Image 1,1,1063,
Intensity Max,27,,Surface,2,,Image 1,1,1063,
Intensity Max,62,,Surface,3,,Image 1,1,1063,
Intensity Max,93,,Surface,4,,Image 1,1,1063,
Intensity Max,108,,Surface,5,,Image 1,1,1063,
Intensity Max,0,,Surface,1,,Image 1,1,1064,
Intensity Max,5,,Surface,2,,Image 1,1,1064,
Intensity Max,5,,Surface,3,,Image 1,1,1064,
Intensity Max,9,,Surface,4,,Image 1,1,1064,
Intensity Max,0,,Surface,5,,Image 1,1,1064,
Intensity Max,5,,Surface,1,,Image 1,1,1067,
Intensity Max,17,,Surface,2,,Image 1,1,1067,
Intensity Max,38,,Surface,3,,Image 1,1,1067,
Intensity Max,38,,Surface,4,,Image 1,1,1067,
Intensity Max,5,,Surface,5,,Image 1,1,1067,
Intensity Max,0,,Surface,1,,Image 1,1,1069,
Intensity Max,1,,Surface,2,,Image 1,1,1069,
Intensity Max,9,,Surface,3,,Image 1,1,1069,
Intensity Max,3,,Surface,4,,Image 1,1,1069,
Intensity Max,0,,Surface,5,,Image 1,1,1069,
Intensity Max,121,,Surface,1,,Image 1,1,1071,
Intensity Max,20,,Surface,2,,Image 1,1,1071,
Intensity Max,54,,Surface,3,,Image 1,1,1071,
Intensity Max,101,,Surface,4,,Image 1,1,1071,
Intensity Max,121,,Surface,5,,Image 1,1,1071,
Intensity Mean,0.0431656,,Surface,1,,Image 1,1,978,
Intensity Mean,1.17814,,Surface,2,,Image 1,1,978,
Intensity Mean,5.58114,,Surface,3,,Image 1,1,978,
Intensity Mean,11.4293,,Surface,4,,Image 1,1,978,
Intensity Mean,0.0428892,,Surface,5,,Image 1,1,978,
Intensity Mean,0.02244,,Surface,1,,Image 1,1,986,
Intensity Mean,0.744838,,Surface,2,,Image 1,1,986,
Intensity Mean,3.42739,,Surface,3,,Image 1,1,986,
Intensity Mean,10.9717,,Surface,4,,Image 1,1,986,
Intensity Mean,0.0222535,,Surface,5,,Image 1,1,986,
Intensity Mean,1.82941,,Surface,1,,Image 1,1,989,
Intensity Mean,3.09079,,Surface,2,,Image 1,1,989,
Intensity Mean,2.7232,,Surface,3,,Image 1,1,989,
Intensity Mean,11.5058,,Surface,4,,Image 1,1,989,
Intensity Mean,1.82059,,Surface,5,,Image 1,1,989,
Intensity Mean,0.0679465,,Surface,1,,Image 1,1,994,
Intensity Mean,1.05223,,Surface,2,,Image 1,1,994,
Intensity Mean,3.54221,,Surface,3,,Image 1,1,994,
Intensity Mean,6.56238,,Surface,4,,Image 1,1,994,
Intensity Mean,0.0675116,,Surface,5,,Image 1,1,994,
Intensity Mean,2.71683,,Surface,1,,Image 1,1,996,
Intensity Mean,4.04112,,Surface,2,,Image 1,1,996,
Intensity Mean,4.52647,,Surface,3,,Image 1,1,996,
Intensity Mean,13.3554,,Surface,4,,Image 1,1,996,
Intensity Mean,2.71044,,Surface,5,,Image 1,1,996,
Intensity Mean,0.321011,,Surface,1,,Image 1,1,997,
Intensity Mean,1.07873,,Surface,2,,Image 1,1,997,
Intensity Mean,7.66014,,Surface,3,,Image 1,1,997,
Intensity Mean,10.0206,,Surface,4,,Image 1,1,997,
Intensity Mean,0.320222,,Surface,5,,Image 1,1,997,
Intensity Mean,0.0544993,,Surface,1,,Image 1,1,1000,
Intensity Mean,1.91476,,Surface,2,,Image 1,1,1000,
Intensity Mean,7.46422,,Surface,3,,Image 1,1,1000,
Intensity Mean,13.0446,,Surface,4,,Image 1,1,1000,
Intensity Mean,0.0540869,,Surface,5,,Image 1,1,1000,
Intensity Mean,3.62475,,Surface,1,,Image 1,1,1057,
Intensity Mean,12.1735,,Surface,2,,Image 1,1,1057,
Intensity Mean,4.24351,,Surface,3,,Image 1,1,1057,
Intensity Mean,18.0068,,Surface,4,,Image 1,1,1057,
Intensity Mean,3.60401,,Surface,5,,Image 1,1,1057,
Intensity Mean,0,,Surface,1,,Image 1,1,1059,
Intensity Mean,0.590909,,Surface,2,,Image 1,1,1059,
Intensity Mean,7.70455,,Surface,3,,Image 1,1,1059,
Intensity Mean,5.20455,,Surface,4,,Image 1,1,1059,
Intensity Mean,0,,Surface,5,,Image 1,1,1059,
Intensity Mean,10.6538,,Surface,1,,Image 1,1,1060,
Intensity Mean,13.0769,,Surface,2,,Image 1,1,1060,
Intensity Mean,1.11538,,Surface,3,,Image 1,1,1060,
Intensity Mean,22.5897,,Surface,4,,Image 1,1,1060,
Intensity Mean,9,,Surface,5,,Image 1,1,1060,
Intensity Mean,2.57436,,Surface,1,,Image 1,1,1062,
Intensity Mean,15.5521,,Surface,2,,Image 1,1,1062,
Intensity Mean,3.66709,,Surface,3,,Image 1,1,1062,
Intensity Mean,13.0735,,Surface,4,,Image 1,1,1062,
Intensity Mean,2.5591,,Surface,5,,Image 1,1,1062,
Intensity Mean,0.697878,,Surface,1,,Image 1,1,1063,
Intensity Mean,1.54891,,Surface,2,,Image 1,1,1063,
Intensity Mean,5.3099,,Surface,3,,Image 1,1,1063,
Intensity Mean,9.4522,,Surface,4,,Image 1,1,1063,
Intensity Mean,0.696685,,Surface,5,,Image 1,1,1063,
Intensity Mean,0,,Surface,1,,Image 1,1,1064,
Intensity Mean,1.66667,,Surface,2,,Image 1,1,1064,
Intensity Mean,0.989583,,Surface,3,,Image 1,1,1064,
Intensity Mean,6.70833,,Surface,4,,Image 1,1,1064,
Intensity Mean,0,,Surface,5,,Image 1,1,1064,
Intensity Mean,0.014434,,Surface,1,,Image 1,1,1067,
Intensity Mean,0.599572,,Surface,2,,Image 1,1,1067,
Intensity Mean,2.38463,,Surface,3,,Image 1,1,1067,
Intensity Mean,7.46794,,Surface,4,,Image 1,1,1067,
Intensity Mean,0.0143526,,Surface,5,,Image 1,1,1067,
Intensity Mean,0,,Surface,1,,Image 1,1,1069,
Intensity Mean,0.0104167,,Surface,2,,Image 1,1,1069,
Intensity Mean,3.42708,,Surface,3,,Image 1,1,1069,
Intensity Mean,1.90625,,Surface,4,,Image 1,1,1069,
Intensity Mean,0,,Surface,5,,Image 1,1,1069,
Intensity Mean,0.745576,,Surface,1,,Image 1,1,1071,
Intensity Mean,1.51382,,Surface,2,,Image 1,1,1071,
Intensity Mean,2.61225,,Surface,3,,Image 1,1,1071,
Intensity Mean,14.5195,,Surface,4,,Image 1,1,1071,
Intensity Mean,0.74282,,Surface,5,,Image 1,1,1071,
Intensity Median,0.004,,Surface,1,,Image 1,1,978,
Intensity Median,0.008,,Surface,2,,Image 1,1,978,
Intensity Median,4,,Surface,3,,Image 1,1,978,
Intensity Median,9.016,,Surface,4,,Image 1,1,978,
Intensity Median,0.004,,Surface,5,,Image 1,1,978,
Intensity Median,0.004,,Surface,1,,Image 1,1,986,
Intensity Median,0,,Surface,2,,Image 1,1,986,
Intensity Median,2.008,,Surface,3,,Image 1,1,986,
