
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,15.9751,um^2,Surface,,,,1,154,
Area,2.0284,um^2,Surface,,,,1,157,
Area,13.1324,um^2,Surface,,,,1,158,
Area,15.5174,um^2,Surface,,,,1,159,
Area,11.5721,um^2,Surface,,,,1,162,
Area,6.52676,um^2,Surface,,,,1,165,
Area,18.6933,um^2,Surface,,,,1,167,
Area,2.76802,um^2,Surface,,,,1,168,
Area,6.40518,um^2,Surface,,,,1,169,
Area,3.27061,um^2,Surface,,,,1,170,
Area,29.2653,um^2,Surface,,,,1,172,
Area,3.35546,um^2,Surface,,,,1,173,
Area,1.89405,um^2,Surface,,,,1,177,
Area,8.23784,um^2,Surface,,,,1,179,
Area,5.31056,um^2,Surface,,,,1,183,
Area,5.99693,um^2,Surface,,,,1,187,
Area,2.50452,um^2,Surface,,,,1,189,
Area,4.77777,um^2,Surface,,,,1,190,
Area,4.28144,um^2,Surface,,,,1,193,
Area,1.56357,um^2,Surface,,,,1,197,
Area,2.10733,um^2,Surface,,,,1,202,
Area,6.95932,um^2,Surface,,,,1,204,
Area,3.57492,um^2,Surface,,,,1,205,
Area,6.80025,um^2,Surface,,,,1,207,
Area,3.23751,um^2,Surface,,,,1,211,
Area,38.5366,um^2,Surface,,,,1,212,
Area,19.2921,um^2,Surface,,,,1,221,
Area,1.25382,um^2,Surface,,,,1,231,
Area,6.0593,um^2,Surface,,,,1,232,
Area,26.0389,um^2,Surface,,,,1,236,
Area,11.1558,um^2,Surface,,,,1,237,
Area,3.40389,um^2,Surface,,,,1,240,
Area,5.10324,um^2,Surface,,,,1,246,
Area,4.24919,um^2,Surface,,,,1,247,
Area,6.20319,um^2,Surface,,,,1,251,
Area,3.78517,um^2,Surface,,,,1,256,
Area,4.83938,um^2,Surface,,,,1,258,
Area,3.7275,um^2,Surface,,,,1,262,
Area,6.44705,um^2,Surface,,,,1,263,
Area,8.23244,um^2,Surface,,,,1,265,
Area,10.6069,um^2,Surface,,,,1,270,
Area,3.25668,um^2,Surface,,,,1,271,
