
Selection
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,34.1828,um^2,Dendrite,,3,,3,,1,,100000007,510000004685,
Dendrite Area,34.7499,um^2,Dendrite,,4,,3,,1,,100000007,510000004747,
Dendrite Area,4.47094,um^2,Dendrite,,5,,4,,1,,100000007,510000004815,
Dendrite Area,10.8016,um^2,Dendrite,,3,,2,,1,,100000007,510000005438,
Dendrite Area,5.69963,um^2,Dendrite,,4,,3,,1,,100000007,510000005457,
Dendrite Area,19.967,um^2,Dendrite,,5,,3,,1,,100000007,510000006169,
Dendrite Area,12.4472,um^2,Dendrite,,4,,4,,1,,100000007,510000006631,
Dendrite Area,11.7535,um^2,Dendrite,,4,,2,,1,,100000007,510000007578,
Dendrite Area,18.1235,um^2,Dendrite,,5,,3,,1,,100000007,510000007600,
Dendrite Area,15.5637,um^2,Dendrite,,5,,2,,1,,100000007,510000007926,
Dendrite Area,63.5804,um^2,Dendrite,,2,,2,,1,,100000007,510000009163,
Dendrite Area,14.9551,um^2,Dendrite,,0,,1,,1,,100000007,510000010120,
Dendrite Area,30.3699,um^2,Dendrite,,0,,1,,1,,100000007,510000010122,
Dendrite Area,17.7224,um^2,Dendrite,,1,,1,,1,,100000007,510000010133,
Dendrite Area,3.75195,um^2,Dendrite,,2,,1,,1,,100000007,510000010151,
Dendrite Area,76.6138,um^2,Dendrite,,3,,1,,1,,100000007,510000010156,
Dendrite Area,54.9237,um^2,Dendrite,,1,,2,,1,,100000007,510000010272,
Dendrite Area,24.8451,um^2,Dendrite,,2,,2,,1,,100000007,510000010310,
Dendrite Area,20.0848,um^2,Dendrite,,3,,2,,1,,100000007,510000010343,
Dendrite Area,65.5185,um^2,Dendrite,,4,,3,,1,,100000007,510000010369,
Dendrite Area,7.57658,um^2,Dendrite,,1,,1,,1,,100000007,510000010500,
Dendrite Area,90.0192,um^2,Dendrite,,2,,1,,1,,100000007,510000010502,
Dendrite Area,18.8262,um^2,Dendrite,,3,,3,,1,,100000007,510000010598,
Dendrite Area,18.8217,um^2,Dendrite,,4,,3,,1,,100000007,510000010646,
Dendrite Area,3.89952,um^2,Dendrite,,4,,4,,1,,100000007,510000010675,
Dendrite Area,34.8716,um^2,Dendrite,,5,,5,,1,,100000007,510000010680,
Dendrite Area,13.7562,um^2,Dendrite,,4,,2,,1,,100000007,510000010755,
Dendrite Area,61.3717,um^2,Dendrite,,5,,3,,1,,100000007,510000010775,
Dendrite Area,63.6097,um^2,Dendrite,,1,,2,,1,,100000007,510000010859,
Dendrite Area,39.9451,um^2,Dendrite,,2,,3,,1,,100000007,510000010955,
Dendrite Area,6.93081,um^2,Dendrite,,2,,2,,1,,100000007,510000011033,
Dendrite Area,41.4026,um^2,Dendrite,,3,,3,,1,,100000007,510000011041,
Dendrite Area,69.7735,um^2,Dendrite,,3,,2,,1,,100000007,510000011132,
Dendrite Area,12.748,um^2,Dendrite,,5,,4,,1,,100000007,510000011258,
Dendrite Area,51.1838,um^2,Dendrite,,2,,3,,1,,100000007,510000011280,
Dendrite Area,24.6688,um^2,Dendrite,,3,,2,,1,,100000007,510000011371,
Dendrite Area,9.36196,um^2,Dendrite,,2,,2,,1,,100000007,510000011411,
Dendrite Area,6.14757,um^2,Dendrite,,1,,2,,1,,100000007,510000011430,
Dendrite Area,1.72008,um^2,Dendrite,,5,,2,,1,,100000007,510000011431,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000007,510000004685,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000007,510000004747,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000007,510000004815,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000007,510000005438,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000007,510000005457,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000007,510000006169,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000007,510000006631,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000007,510000007578,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000007,510000007600,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000007,510000007926,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000007,510000009163,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000007,510000010120,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000007,510000010122,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000007,510000010133,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000007,510000010151,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000007,510000010156,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000007,510000010272,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000007,510000010310,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000007,510000010343,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000007,510000010369,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000007,510000010500,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000007,510000010502,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000007,510000010598,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000007,510000010646,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000007,510000010675,
Dendrite Branch Depth,5,,Dendrite,,5,,5,,1,,100000007,510000010680,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000007,510000010755,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000007,510000010775,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000007,510000010859,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000007,510000010955,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000007,510000011033,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000007,510000011041,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000007,510000011132,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000007,510000011258,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000007,510000011280,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000007,510000011371,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000007,510000011411,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000007,510000011430,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000007,510000011431,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000007,510000004685,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000007,510000004747,
Dendrite Branch Level,4,,Dendrite,,5,,4,,1,,100000007,510000004815,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000007,510000005438,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000007,510000005457,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000007,510000006169,
Dendrite Branch Level,4,,Dendrite,,4,,4,,1,,100000007,510000006631,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000007,510000007578,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000007,510000007600,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000007,510000007926,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000007,510000009163,
Dendrite Branch Level,1,,Dendrite,,0,,1,,1,,100000007,510000010120,
Dendrite Branch Level,1,,Dendrite,,0,,1,,1,,100000007,510000010122,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000007,510000010133,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000007,510000010151,
Dendrite Branch Level,1,,Dendrite,,3,,1,,1,,100000007,510000010156,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000007,510000010272,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000007,510000010310,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000007,510000010343,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000007,510000010369,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000007,510000010500,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000007,510000010502,
