
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,17.0883,um^2,Surface,,,,1,920,
Area,100.012,um^2,Surface,,,,1,977,
Area,80.4803,um^2,Surface,,,,1,1004,
Area,38.6392,um^2,Surface,,,,1,1005,
Area,256.319,um^2,Surface,,,,1,1006,
Area,79.4081,um^2,Surface,,,,1,1036,
Area,7.99363,um^2,Surface,,,,1,1038,
Area,53.0882,um^2,Surface,,,,1,1043,
Area,25.9532,um^2,Surface,,,,1,1045,
Area,34.3467,um^2,Surface,,,,1,1046,
Area,32.5817,um^2,Surface,,,,1,1047,
Area,91.7938,um^2,Surface,,,,1,1048,
Area,16.3096,um^2,Surface,,,,1,1049,
Area,8.18383,um^2,Surface,,,,1,1062,
Area,31.8183,um^2,Surface,,,,1,1064,
Area,25.7493,um^2,Surface,,,,1,1068,
Area,22.3876,um^2,Surface,,,,1,1071,
Area,227.623,um^2,Surface,,,,1,1075,
Area,20.1823,um^2,Surface,,,,1,1112,
Area,39.5047,um^2,Surface,,,,1,1215,
Area,112.005,um^2,Surface,,,,1,1248,
Area,17.7355,um^2,Surface,,,,1,1249,
Area,64.3015,um^2,Surface,,,,1,1255,
Area,831.078,um^2,Surface,,,,1,1268,
Area,42.1253,um^2,Surface,,,,1,1300,
Area,52.9237,um^2,Surface,,,,1,1309,
Area,18.4869,um^2,Surface,,,,1,1329,
Area,29.8265,um^2,Surface,,,,1,1330,
Area,20.6089,um^2,Surface,,,,1,1421,
Area,37.0484,um^2,Surface,,,,1,1458,
Area,50.7123,um^2,Surface,,,,1,1495,
Area,35.2774,um^2,Surface,,,,1,1506,
Area,46.3027,um^2,Surface,,,,1,1537,
Area,3954.33,um^2,Surface,,,,1,1547,
Distance from Origin,169.576,um,Surface,,Distance from Origin,,1,920,
Distance from Origin,154.805,um,Surface,,Distance from Origin,,1,977,
Distance from Origin,159.785,um,Surface,,Distance from Origin,,1,1004,
Distance from Origin,164.466,um,Surface,,Distance from Origin,,1,1005,
Distance from Origin,187.281,um,Surface,,Distance from Origin,,1,1006,
Distance from Origin,139.298,um,Surface,,Distance from Origin,,1,1036,
Distance from Origin,146.174,um,Surface,,Distance from Origin,,1,1038,
Distance from Origin,183.929,um,Surface,,Distance from Origin,,1,1043,
Distance from Origin,169.925,um,Surface,,Distance from Origin,,1,1045,
Distance from Origin,187.287,um,Surface,,Distance from Origin,,1,1046,
Distance from Origin,170.502,um,Surface,,Distance from Origin,,1,1047,
Distance from Origin,177.327,um,Surface,,Distance from Origin,,1,1048,
Distance from Origin,177.284,um,Surface,,Distance from Origin,,1,1049,
Distance from Origin,100.091,um,Surface,,Distance from Origin,,1,1062,
Distance from Origin,115.425,um,Surface,,Distance from Origin,,1,1064,
Distance from Origin,125.738,um,Surface,,Distance from Origin,,1,1068,
Distance from Origin,144.971,um,Surface,,Distance from Origin,,1,1071,
Distance from Origin,164.23,um,Surface,,Distance from Origin,,1,1075,
Distance from Origin,171.896,um,Surface,,Distance from Origin,,1,1112,
Distance from Origin,194.195,um,Surface,,Distance from Origin,,1,1215,
Distance from Origin,176.624,um,Surface,,Distance from Origin,,1,1248,
Distance from Origin,183.301,um,Surface,,Distance from Origin,,1,1249,
