
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,52.7486,um^2,Dendrite,,1,,1,,1,,100000000,510000000002,
Dendrite Area,5.5085,um^2,Dendrite,,2,,1,,1,,100000000,510000000069,
Dendrite Area,20.689,um^2,Dendrite,,3,,2,,1,,100000000,510000000073,
Dendrite Area,27.6027,um^2,Dendrite,,4,,2,,1,,100000000,510000000097,
Dendrite Area,4.35213,um^2,Dendrite,,5,,2,,1,,100000000,510000000132,
Dendrite Area,46.6009,um^2,Dendrite,,6,,2,,1,,100000000,510000000137,
Dendrite Area,14.3975,um^2,Dendrite,,7,,2,,1,,100000000,510000000194,
Dendrite Area,29.423,um^2,Dendrite,,8,,2,,1,,100000000,510000000213,
Dendrite Area,54.6018,um^2,Dendrite,,9,,3,,1,,100000000,510000000264,
Dendrite Area,1.26046,um^2,Dendrite,,10,,4,,1,,100000000,510000000393,
Dendrite Area,25.0272,um^2,Dendrite,,3,,1,,1,,100000000,510000000397,
Dendrite Area,13.2221,um^2,Dendrite,,4,,2,,1,,100000000,510000000422,
Dendrite Area,31.6984,um^2,Dendrite,,5,,3,,1,,100000000,510000000444,
Dendrite Area,5.44358,um^2,Dendrite,,6,,4,,1,,100000000,510000000511,
Dendrite Area,10.3869,um^2,Dendrite,,7,,5,,1,,100000000,510000000524,
Dendrite Area,10.0325,um^2,Dendrite,,8,,5,,1,,100000000,510000000548,
Dendrite Area,24.5884,um^2,Dendrite,,9,,6,,1,,100000000,510000000562,
Dendrite Area,24.0018,um^2,Dendrite,,10,,6,,1,,100000000,510000000609,
Dendrite Area,20.1656,um^2,Dendrite,,11,,6,,1,,100000000,510000000661,
Dendrite Area,33.706,um^2,Dendrite,,12,,6,,1,,100000000,510000000700,
Dendrite Area,5.56214,um^2,Dendrite,,13,,7,,1,,100000000,510000000770,
Dendrite Area,19.9018,um^2,Dendrite,,13,,6,,1,,100000000,510000000789,
Dendrite Area,42.6,um^2,Dendrite,,1,,1,,1,,100000000,510000000842,
Dendrite Area,32.8775,um^2,Dendrite,,2,,1,,1,,100000000,510000000883,
Dendrite Area,12.8791,um^2,Dendrite,,3,,1,,1,,100000000,510000000939,
Dendrite Area,9.04298,um^2,Dendrite,,4,,2,,1,,100000000,510000000969,
