
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,62.3623,um^2,Surface,,,,1,1309,
Area,13.9002,um^2,Surface,,,,1,1311,
Area,18.5276,um^2,Surface,,,,1,1312,
Area,12.1614,um^2,Surface,,,,1,1313,
Area,22.7806,um^2,Surface,,,,1,1314,
Area,20.2544,um^2,Surface,,,,1,1315,
Area,17.1528,um^2,Surface,,,,1,1316,
Area,9.83753,um^2,Surface,,,,1,1317,
Area,58.2709,um^2,Surface,,,,1,1324,
Area,9.49392,um^2,Surface,,,,1,1326,
Area,8.45439,um^2,Surface,,,,1,1327,
Area,55.8868,um^2,Surface,,,,1,1328,
Area,10.8735,um^2,Surface,,,,1,1331,
Area,12.1592,um^2,Surface,,,,1,1332,
Area,26.9282,um^2,Surface,,,,1,1334,
Area,38.5349,um^2,Surface,,,,1,1340,
Area,14.4951,um^2,Surface,,,,1,1341,
Area,24.0153,um^2,Surface,,,,1,1343,
Area,8.3984,um^2,Surface,,,,1,1344,
Area,8.61509,um^2,Surface,,,,1,1345,
Area,22.345,um^2,Surface,,,,1,1346,
Area,4431.42,um^2,Surface,,,,1,1350,
Distance from Origin,105.697,um,Surface,,Distance from Origin,,1,1309,
Distance from Origin,109.829,um,Surface,,Distance from Origin,,1,1311,
Distance from Origin,135.62,um,Surface,,Distance from Origin,,1,1312,
Distance from Origin,143.083,um,Surface,,Distance from Origin,,1,1313,
Distance from Origin,147.479,um,Surface,,Distance from Origin,,1,1314,
Distance from Origin,147.193,um,Surface,,Distance from Origin,,1,1315,
Distance from Origin,151.75,um,Surface,,Distance from Origin,,1,1316,
Distance from Origin,149.09,um,Surface,,Distance from Origin,,1,1317,
Distance from Origin,131.382,um,Surface,,Distance from Origin,,1,1324,
Distance from Origin,103.838,um,Surface,,Distance from Origin,,1,1326,
Distance from Origin,105.389,um,Surface,,Distance from Origin,,1,1327,
Distance from Origin,123.234,um,Surface,,Distance from Origin,,1,1328,
Distance from Origin,128.981,um,Surface,,Distance from Origin,,1,1331,
Distance from Origin,130.15,um,Surface,,Distance from Origin,,1,1332,
Distance from Origin,125.79,um,Surface,,Distance from Origin,,1,1334,
Distance from Origin,133.85,um,Surface,,Distance from Origin,,1,1340,
Distance from Origin,150.25,um,Surface,,Distance from Origin,,1,1341,
Distance from Origin,123.736,um,Surface,,Distance from Origin,,1,1343,
Distance from Origin,121.623,um,Surface,,Distance from Origin,,1,1344,
Distance from Origin,139.458,um,Surface,,Distance from Origin,,1,1345,
Distance from Origin,132.873,um,Surface,,Distance from Origin,,1,1346,
Distance from Origin,134.581,um,Surface,,Distance from Origin,,1,1350,
Distance to Image Border XY,15.1249,um,Surface,,,Image 1,1,1309,
Distance to Image Border XY,26.0793,um,Surface,,,Image 1,1,1311,
Distance to Image Border XY,30.9945,um,Surface,,,Image 1,1,1312,
Distance to Image Border XY,31.6014,um,Surface,,,Image 1,1,1313,
Distance to Image Border XY,25.3228,um,Surface,,,Image 1,1,1314,
Distance to Image Border XY,27.1577,um,Surface,,,Image 1,1,1315,
Distance to Image Border XY,26.7728,um,Surface,,,Image 1,1,1316,
Distance to Image Border XY,27.739,um,Surface,,,Image 1,1,1317,
Distance to Image Border XY,25.8557,um,Surface,,,Image 1,1,1324,
Distance to Image Border XY,23.7107,um,Surface,,,Image 1,1,1326,
Distance to Image Border XY,23.0558,um,Surface,,,Image 1,1,1327,
Distance to Image Border XY,21.9846,um,Surface,,,Image 1,1,1328,
Distance to Image Border XY,23.6508,um,Surface,,,Image 1,1,1331,
Distance to Image Border XY,30.1174,um,Surface,,,Image 1,1,1332,
Distance to Image Border XY,15.0309,um,Surface,,,Image 1,1,1334,
Distance to Image Border XY,36.1436,um,Surface,,,Image 1,1,1340,
Distance to Image Border XY,35.7627,um,Surface,,,Image 1,1,1341,
