
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.81958,um^2,Surface,,,,1,0,
Area,2.23065,um^2,Surface,,,,1,5,
Area,2.04956,um^2,Surface,,,,1,7,
Area,2.4536,um^2,Surface,,,,1,8,
Area,1.24925,um^2,Surface,,,,1,9,
Area,15.687,um^2,Surface,,,,1,10,
Area,1.46557,um^2,Surface,,,,1,11,
Area,2.48543,um^2,Surface,,,,1,12,
Area,5.32258,um^2,Surface,,,,1,13,
Area,91.1951,um^2,Surface,,,,1,14,
Area,1.72637,um^2,Surface,,,,1,15,
Area,21.3602,um^2,Surface,,,,1,18,
Area,4.89719,um^2,Surface,,,,1,20,
Area,13.7493,um^2,Surface,,,,1,21,
Area,3.00564,um^2,Surface,,,,1,24,
Area,3.9926,um^2,Surface,,,,1,28,
Area,4.8863,um^2,Surface,,,,1,29,
Area,6.44768,um^2,Surface,,,,1,30,
Area,10.4603,um^2,Surface,,,,1,31,
Distance from Origin,143.189,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,153.205,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,143.596,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,142.762,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,138.946,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,141.084,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,142.494,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,158.244,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,148.303,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,150.54,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,151.303,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,146.289,um,Surface,,Distance from Origin,,1,18,
Distance from Origin,136.244,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,141.561,um,Surface,,Distance from Origin,,1,21,
Distance from Origin,123.604,um,Surface,,Distance from Origin,,1,24,
Distance from Origin,117.905,um,Surface,,Distance from Origin,,1,28,
Distance from Origin,116.974,um,Surface,,Distance from Origin,,1,29,
Distance from Origin,116.863,um,Surface,,Distance from Origin,,1,30,
Distance from Origin,117.431,um,Surface,,Distance from Origin,,1,31,
Distance to Image Border XY,6.52975,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,19.7472,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,18.0402,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,19.5305,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,20.4431,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,21.5928,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,8.18729,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,8.99134,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,21.3684,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,17.3671,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,15.1705,um,Surface,,,Image 1,1,15,
Distance to Image Border XY,24.8329,um,Surface,,,Image 1,1,18,
Distance to Image Border XY,16.7718,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,24.1154,um,Surface,,,Image 1,1,21,
Distance to Image Border XY,7.70866,um,Surface,,,Image 1,1,24,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,28,
Distance to Image Border XY,1.03084,um,Surface,,,Image 1,1,29,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,30,
Distance to Image Border XY,2.83382,um,Surface,,,Image 1,1,31,
Ellipticity (oblate),0.378997,,Surface,,,,1,0,
Ellipticity (oblate),0.489358,,Surface,,,,1,5,
Ellipticity (oblate),0.279366,,Surface,,,,1,7,
Ellipticity (oblate),0.377716,,Surface,,,,1,8,
Ellipticity (oblate),0.33734,,Surface,,,,1,9,
Ellipticity (oblate),0.282253,,Surface,,,,1,10,
Ellipticity (oblate),0.445448,,Surface,,,,1,11,
Ellipticity (oblate),0.397175,,Surface,,,,1,12,
Ellipticity (oblate),0.389702,,Surface,,,,1,13,
Ellipticity (oblate),0.392289,,Surface,,,,1,14,
