
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.05462,um^2,Surface,,,,1,0,
Area,0.589454,um^2,Surface,,,,1,1,
Area,1.28989,um^2,Surface,,,,1,2,
Area,0.0161732,um^2,Surface,,,,1,3,
Area,3.4255,um^2,Surface,,,,1,4,
Area,5.09633,um^2,Surface,,,,1,5,
Area,0.664596,um^2,Surface,,,,1,6,
Area,0.0878632,um^2,Surface,,,,1,7,
Area,0.0330931,um^2,Surface,,,,1,8,
Area,4.29823,um^2,Surface,,,,1,9,
Area,5.47417,um^2,Surface,,,,1,10,
Area,0.868534,um^2,Surface,,,,1,11,
Area,0.0166088,um^2,Surface,,,,1,12,
Area,0.0166081,um^2,Surface,,,,1,13,
Area,5.19859,um^2,Surface,,,,1,14,
Area,1.93456,um^2,Surface,,,,1,15,
Area,0.0166095,um^2,Surface,,,,1,16,
Area,0.0166094,um^2,Surface,,,,1,17,
Area,0.0166088,um^2,Surface,,,,1,18,
Area,0.0166101,um^2,Surface,,,,1,19,
Area,0.044176,um^2,Surface,,,,1,20,
Area,6.62556,um^2,Surface,,,,1,21,
Area,2.69374,um^2,Surface,,,,1,22,
Area,1.65028,um^2,Surface,,,,1,23,
Area,9.51634,um^2,Surface,,,,1,24,
Contact surface area,1.6575,um,Surface,,,,,0,
Contact surface area,0.0075,um,Surface,,,,,1,
Contact surface area,0.0075,um,Surface,,,,,2,
Contact surface area,0.0075,um,Surface,,,,,3,
Contact surface area,0.0075,um,Surface,,,,,4,
Contact surface area,0.0225,um,Surface,,,,,5,
Contact surface area,3.8725,um,Surface,,,,,6,
Contact surface area,1.1525,um,Surface,,,,,7,
Contact surface area,0.98,um,Surface,,,,,8,
Contact surface area,0.015,um,Surface,,,,,9,
Contact surface area,2.5,um,Surface,,,,,10,
Contact surface area,0.3675,um,Surface,,,,,11,
Contact surface area,0.0475,um,Surface,,,,,12,
Contact surface area,0.4825,um,Surface,,,,,13,
Contact surface area,0.0075,um,Surface,,,,,14,
Contact surface area,0.0075,um,Surface,,,,,15,
Contact surface area,3.0825,um,Surface,,,,,16,
Contact surface area,3.2725,um,Surface,,,,,17,
Contact surface area,0.7775,um,Surface,,,,,18,
Contact surface area,5.7375,um,Surface,,,,,19,
Contact surface area,0.0125,um,Surface,,,,,20,
Contact surface area,2.025,um,Surface,,,,,21,
Contact surface area,3.0525,um,Surface,,,,,22,
Contact surface area,0.355,um,Surface,,,,,23,
Contact surface area,0.5825,um,Surface,,,,,24,
Distance from Origin,142.554,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,143.468,um,Surface,,Distance from Origin,,1,1,
