
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,11.0752,um^2,Surface,,,,1,36,
Area,65.192,um^2,Surface,,,,1,37,
Area,4.45296,um^2,Surface,,,,1,43,
Distance from Origin,160.257,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,159.108,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,121.925,um,Surface,,Distance from Origin,,1,43,
Distance to Image Border XY,26.9712,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,20.9539,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,53.1011,um,Surface,,,Image 1,1,43,
Ellipticity (oblate),0.293811,,Surface,,,,1,36,
Ellipticity (oblate),0.18891,,Surface,,,,1,37,
Ellipticity (oblate),0.401272,,Surface,,,,1,43,
Ellipticity (prolate),0.428966,,Surface,,,,1,36,
Ellipticity (prolate),0.648121,,Surface,,,,1,37,
Ellipticity (prolate),0.397726,,Surface,,,,1,43,
Generation,0,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,37,
Generation,0,,Surface,,,,1,43,
Intensity Max,14,,Surface,1,,Image 1,1,36,
Intensity Max,140,,Surface,2,,Image 1,1,36,
Intensity Max,95,,Surface,3,,Image 1,1,36,
Intensity Max,84,,Surface,4,,Image 1,1,36,
Intensity Max,14,,Surface,5,,Image 1,1,36,
Intensity Max,30,,Surface,1,,Image 1,1,37,
Intensity Max,255,,Surface,2,,Image 1,1,37,
Intensity Max,68,,Surface,3,,Image 1,1,37,
Intensity Max,78,,Surface,4,,Image 1,1,37,
Intensity Max,30,,Surface,5,,Image 1,1,37,
Intensity Max,12,,Surface,1,,Image 1,1,43,
Intensity Max,88,,Surface,2,,Image 1,1,43,
Intensity Max,52,,Surface,3,,Image 1,1,43,
Intensity Max,62,,Surface,4,,Image 1,1,43,
Intensity Max,12,,Surface,5,,Image 1,1,43,
Intensity Mean,0.371528,,Surface,1,,Image 1,1,36,
Intensity Mean,31.1901,,Surface,2,,Image 1,1,36,
Intensity Mean,13.9185,,Surface,3,,Image 1,1,36,
Intensity Mean,22.3311,,Surface,4,,Image 1,1,36,
Intensity Mean,0.371528,,Surface,5,,Image 1,1,36,
Intensity Mean,1.88049,,Surface,1,,Image 1,1,37,
Intensity Mean,46.5713,,Surface,2,,Image 1,1,37,
Intensity Mean,7.98731,,Surface,3,,Image 1,1,37,
Intensity Mean,21.4908,,Surface,4,,Image 1,1,37,
Intensity Mean,1.86616,,Surface,5,,Image 1,1,37,
Intensity Mean,1.29731,,Surface,1,,Image 1,1,43,
Intensity Mean,18.6289,,Surface,2,,Image 1,1,43,
Intensity Mean,5.83116,,Surface,3,,Image 1,1,43,
Intensity Mean,28.043,,Surface,4,,Image 1,1,43,
Intensity Mean,1.29731,,Surface,5,,Image 1,1,43,
Intensity Median,0.004,,Surface,1,,Image 1,1,36,
Intensity Median,22,,Surface,2,,Image 1,1,36,
Intensity Median,10.008,,Surface,3,,Image 1,1,36,
Intensity Median,20.012,,Surface,4,,Image 1,1,36,
Intensity Median,0.004,,Surface,5,,Image 1,1,36,
Intensity Median,0.992,,Surface,1,,Image 1,1,37,
Intensity Median,42.064,,Surface,2,,Image 1,1,37,
Intensity Median,6.056,,Surface,3,,Image 1,1,37,
Intensity Median,19.984,,Surface,4,,Image 1,1,37,
Intensity Median,0.992,,Surface,5,,Image 1,1,37,
Intensity Median,0.004,,Surface,1,,Image 1,1,43,
Intensity Median,10.008,,Surface,2,,Image 1,1,43,
Intensity Median,3.984,,Surface,3,,Image 1,1,43,
Intensity Median,27.008,,Surface,4,,Image 1,1,43,
Intensity Median,0.004,,Surface,5,,Image 1,1,43,
Intensity Min,0,,Surface,1,,Image 1,1,36,
Intensity Min,0,,Surface,2,,Image 1,1,36,
Intensity Min,0,,Surface,3,,Image 1,1,36,
Intensity Min,0,,Surface,4,,Image 1,1,36,
Intensity Min,0,,Surface,5,,Image 1,1,36,
Intensity Min,0,,Surface,1,,Image 1,1,37,
Intensity Min,0,,Surface,2,,Image 1,1,37,
Intensity Min,0,,Surface,3,,Image 1,1,37,
Intensity Min,0,,Surface,4,,Image 1,1,37,
Intensity Min,0,,Surface,5,,Image 1,1,37,
Intensity Min,0,,Surface,1,,Image 1,1,43,
Intensity Min,0,,Surface,2,,Image 1,1,43,
Intensity Min,0,,Surface,3,,Image 1,1,43,
Intensity Min,4,,Surface,4,,Image 1,1,43,
Intensity Min,0,,Surface,5,,Image 1,1,43,
Intensity StdDev,1.06759,,Surface,1,,Image 1,1,36,
Intensity StdDev,29.4173,,Surface,2,,Image 1,1,36,
Intensity StdDev,12.1906,,Surface,3,,Image 1,1,36,
Intensity StdDev,16.9481,,Surface,4,,Image 1,1,36,
Intensity StdDev,1.06759,,Surface,5,,Image 1,1,36,
Intensity StdDev,2.59862,,Surface,1,,Image 1,1,37,
Intensity StdDev,33.755,,Surface,2,,Image 1,1,37,
Intensity StdDev,7.44189,,Surface,3,,Image 1,1,37,
Intensity StdDev,11.2282,,Surface,4,,Image 1,1,37,
Intensity StdDev,2.60249,,Surface,5,,Image 1,1,37,
Intensity StdDev,2.2482,,Surface,1,,Image 1,1,43,
Intensity StdDev,19.7761,,Surface,2,,Image 1,1,43,
Intensity StdDev,6.08516,,Surface,3,,Image 1,1,43,
Intensity StdDev,11.1458,,Surface,4,,Image 1,1,43,
Intensity StdDev,2.2482,,Surface,5,,Image 1,1,43,
Intensity Sum,3424,,Surface,1,,Image 1,1,36,
Intensity Sum,287448,,Surface,2,,Image 1,1,36,
Intensity Sum,128273,,Surface,3,,Image 1,1,36,
Intensity Sum,205803,,Surface,4,,Image 1,1,36,
Intensity Sum,3424,,Surface,5,,Image 1,1,36,
Intensity Sum,140811,,Surface,1,,Image 1,1,37,
Intensity Sum,3.48726e+06,,Surface,2,,Image 1,1,37,
Intensity Sum,598090,,Surface,3,,Image 1,1,37,
Intensity Sum,1.60923e+06,,Surface,4,,Image 1,1,37,
Intensity Sum,139738,,Surface,5,,Image 1,1,37,
Intensity Sum,2989,,Surface,1,,Image 1,1,43,
Intensity Sum,42921,,Surface,2,,Image 1,1,43,
Intensity Sum,13435,,Surface,3,,Image 1,1,43,
Intensity Sum,64611,,Surface,4,,Image 1,1,43,
