
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,122.047,um^2,Surface,,,,1,166,
Area,95.4907,um^2,Surface,,,,1,173,
Area,11.5473,um^2,Surface,,,,1,176,
Area,8.12289,um^2,Surface,,,,1,177,
Area,271.519,um^2,Surface,,,,1,182,
Area,33.2882,um^2,Surface,,,,1,187,
Area,34.8116,um^2,Surface,,,,1,194,
Area,7.18849,um^2,Surface,,,,1,203,
Area,477.347,um^2,Surface,,,,1,211,
Area,2771.63,um^2,Surface,,,,1,234,
Area,38.0664,um^2,Surface,,,,1,236,
Area,94.0079,um^2,Surface,,,,1,266,
Area,273.985,um^2,Surface,,,,1,268,
Distance from Origin,170.912,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,154.229,um,Surface,,Distance from Origin,,1,173,
Distance from Origin,147.378,um,Surface,,Distance from Origin,,1,176,
Distance from Origin,144.036,um,Surface,,Distance from Origin,,1,177,
Distance from Origin,136.879,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,134.163,um,Surface,,Distance from Origin,,1,187,
Distance from Origin,143.65,um,Surface,,Distance from Origin,,1,194,
Distance from Origin,109.482,um,Surface,,Distance from Origin,,1,203,
Distance from Origin,122.757,um,Surface,,Distance from Origin,,1,211,
Distance from Origin,122.566,um,Surface,,Distance from Origin,,1,234,
Distance from Origin,95.0109,um,Surface,,Distance from Origin,,1,236,
Distance from Origin,70.5133,um,Surface,,Distance from Origin,,1,266,
Distance from Origin,88.972,um,Surface,,Distance from Origin,,1,268,
Distance to Image Border XY,2.71953,um,Surface,,,Image 1,1,166,
Distance to Image Border XY,17.1755,um,Surface,,,Image 1,1,173,
Distance to Image Border XY,16.2309,um,Surface,,,Image 1,1,176,
Distance to Image Border XY,19.8534,um,Surface,,,Image 1,1,177,
Distance to Image Border XY,21.3828,um,Surface,,,Image 1,1,182,
Distance to Image Border XY,26.0779,um,Surface,,,Image 1,1,187,
