
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,6.57488,um^2,Surface,,,,1,34,
Area,6.00304,um^2,Surface,,,,1,35,
Area,5.1229,um^2,Surface,,,,1,36,
Area,1.80404,um^2,Surface,,,,1,37,
Area,1.51354,um^2,Surface,,,,1,38,
Area,2.8601,um^2,Surface,,,,1,40,
Area,3.75661,um^2,Surface,,,,1,42,
Area,4.3712,um^2,Surface,,,,1,43,
Area,3.79007,um^2,Surface,,,,1,45,
Area,2.5694,um^2,Surface,,,,1,46,
Area,2.91291,um^2,Surface,,,,1,48,
Area,1.05256,um^2,Surface,,,,1,49,
Area,9.04834,um^2,Surface,,,,1,51,
Area,10.3389,um^2,Surface,,,,1,52,
Area,96.0368,um^2,Surface,,,,1,54,
Area,13.0646,um^2,Surface,,,,1,55,
Area,10.1603,um^2,Surface,,,,1,56,
Area,4.25095,um^2,Surface,,,,1,57,
Area,92.5719,um^2,Surface,,,,1,58,
Area,6.22083,um^2,Surface,,,,1,59,
Area,3.13886,um^2,Surface,,,,1,60,
Area,5.97511,um^2,Surface,,,,1,61,
Distance from Origin,157.562,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,159.313,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,161.131,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,156.649,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,151.686,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,153.334,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,155.071,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,150.851,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,139.743,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,137.122,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,133.559,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,131.181,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,154.27,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,152.284,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,153.004,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,147.176,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,152.902,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,149.386,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,149.313,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,144.459,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,150.47,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,148.17,um,Surface,,Distance from Origin,,1,61,
Distance to Image Border XY,27.9785,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,24.3341,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,20.6017,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,29.809,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,37.3465,um,Surface,,,Image 1,1,38,
Distance to Image Border XY,34.5506,um,Surface,,,Image 1,1,40,
Distance to Image Border XY,43.3856,um,Surface,,,Image 1,1,42,
Distance to Image Border XY,46.7246,um,Surface,,,Image 1,1,43,
Distance to Image Border XY,33.8587,um,Surface,,,Image 1,1,45,
Distance to Image Border XY,31.4055,um,Surface,,,Image 1,1,46,
Distance to Image Border XY,27.2459,um,Surface,,,Image 1,1,48,
Distance to Image Border XY,26.2943,um,Surface,,,Image 1,1,49,
Distance to Image Border XY,33.4691,um,Surface,,,Image 1,1,51,
Distance to Image Border XY,37.9709,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,40.3386,um,Surface,,,Image 1,1,54,
Distance to Image Border XY,44.9656,um,Surface,,,Image 1,1,55,
Distance to Image Border XY,45.0769,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,44.7047,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,37.8642,um,Surface,,,Image 1,1,58,
Distance to Image Border XY,37.6012,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,33.5858,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,26.8765,um,Surface,,,Image 1,1,61,
Ellipticity (oblate),0.306355,,Surface,,,,1,34,
Ellipticity (oblate),0.377676,,Surface,,,,1,35,
Ellipticity (oblate),0.256965,,Surface,,,,1,36,
Ellipticity (oblate),0.179199,,Surface,,,,1,37,
Ellipticity (oblate),0.275096,,Surface,,,,1,38,
Ellipticity (oblate),0.295643,,Surface,,,,1,40,
Ellipticity (oblate),0.0575655,,Surface,,,,1,42,
Ellipticity (oblate),0.356534,,Surface,,,,1,43,
Ellipticity (oblate),0.365025,,Surface,,,,1,45,
Ellipticity (oblate),0.354275,,Surface,,,,1,46,
Ellipticity (oblate),0.263659,,Surface,,,,1,48,
Ellipticity (oblate),0.278844,,Surface,,,,1,49,
Ellipticity (oblate),0.409066,,Surface,,,,1,51,
Ellipticity (oblate),0.335666,,Surface,,,,1,52,
Ellipticity (oblate),0.643471,,Surface,,,,1,54,
Ellipticity (oblate),0.261648,,Surface,,,,1,55,
Ellipticity (oblate),0.34582,,Surface,,,,1,56,
Ellipticity (oblate),0.227223,,Surface,,,,1,57,
Ellipticity (oblate),0.6996,,Surface,,,,1,58,
Ellipticity (oblate),0.292305,,Surface,,,,1,59,
Ellipticity (oblate),0.209197,,Surface,,,,1,60,
Ellipticity (oblate),0.298215,,Surface,,,,1,61,
Ellipticity (prolate),0.287289,,Surface,,,,1,34,
Ellipticity (prolate),0.495073,,Surface,,,,1,35,
Ellipticity (prolate),0.266977,,Surface,,,,1,36,
Ellipticity (prolate),0.0828803,,Surface,,,,1,37,
Ellipticity (prolate),0.417399,,Surface,,,,1,38,
Ellipticity (prolate),0.566818,,Surface,,,,1,40,
Ellipticity (prolate),0.0893384,,Surface,,,,1,42,
