
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1401.86,um^2,Surface,,,,1,339,
Distance from Origin,149.625,um,Surface,,Distance from Origin,,1,339,
Distance to Image Border XY,14.5988,um,Surface,,,Image 1,1,339,
Ellipticity (oblate),0.363557,,Surface,,,,1,339,
Ellipticity (prolate),0.00620204,,Surface,,,,1,339,
Generation,0,,Surface,,,,1,339,
Intensity Max,75,,Surface,1,,Image 1,1,339,
Intensity Max,160,,Surface,2,,Image 1,1,339,
Intensity Max,177,,Surface,3,,Image 1,1,339,
Intensity Max,62,,Surface,4,,Image 1,1,339,
Intensity Max,75,,Surface,5,,Image 1,1,339,
Intensity Mean,0.71698,,Surface,1,,Image 1,1,339,
Intensity Mean,4.30585,,Surface,2,,Image 1,1,339,
Intensity Mean,6.19494,,Surface,3,,Image 1,1,339,
Intensity Mean,5.80756,,Surface,4,,Image 1,1,339,
Intensity Mean,0.71698,,Surface,5,,Image 1,1,339,
Intensity Median,0.032,,Surface,1,,Image 1,1,339,
Intensity Median,0.064,,Surface,2,,Image 1,1,339,
Intensity Median,0.96,,Surface,3,,Image 1,1,339,
Intensity Median,3.984,,Surface,4,,Image 1,1,339,
Intensity Median,0.032,,Surface,5,,Image 1,1,339,
Intensity Min,0,,Surface,1,,Image 1,1,339,
Intensity Min,0,,Surface,2,,Image 1,1,339,
Intensity Min,0,,Surface,3,,Image 1,1,339,
Intensity Min,0,,Surface,4,,Image 1,1,339,
Intensity Min,0,,Surface,5,,Image 1,1,339,
Intensity StdDev,3.27744,,Surface,1,,Image 1,1,339,
Intensity StdDev,12.0264,,Surface,2,,Image 1,1,339,
Intensity StdDev,11.7889,,Surface,3,,Image 1,1,339,
Intensity StdDev,6.10537,,Surface,4,,Image 1,1,339,
Intensity StdDev,3.27744,,Surface,5,,Image 1,1,339,
Intensity Sum,1.17651e+06,,Surface,1,,Image 1,1,339,
Intensity Sum,7.06555e+06,,Surface,2,,Image 1,1,339,
Intensity Sum,1.01654e+07,,Surface,3,,Image 1,1,339,
Intensity Sum,9.52973e+06,,Surface,4,,Image 1,1,339,
Intensity Sum,1.17651e+06,,Surface,5,,Image 1,1,339,
Number of Disconnected Components,1,,Surface,,,,1,339,
Position X,101.155,um,Surface,,Position,,1,339,
Position Y,110.214,um,Surface,,Position,,1,339,
Position Z,2.83082,um,Surface,,Position,,1,339,
Sphericity,0.259422,,Surface,,,,1,339,
Time,0,s,Surface,,,,1,339,
Time Index,1,,Surface,,,,1,339,
Volume,652.142,um^3,Surface,,,,1,339,
