
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.51016,um^2,Surface,,,,1,133,
Area,2.00333,um^2,Surface,,,,1,135,
Area,12.0299,um^2,Surface,,,,1,139,
Area,21.4027,um^2,Surface,,,,1,142,
Area,4.17793,um^2,Surface,,,,1,146,
Area,28.5534,um^2,Surface,,,,1,150,
Area,7.98585,um^2,Surface,,,,1,157,
Area,30.7382,um^2,Surface,,,,1,158,
Area,3.53229,um^2,Surface,,,,1,159,
Area,24.4721,um^2,Surface,,,,1,160,
Area,3.41248,um^2,Surface,,,,1,164,
Area,16.1767,um^2,Surface,,,,1,167,
Area,2.76129,um^2,Surface,,,,1,170,
Area,13.7443,um^2,Surface,,,,1,174,
Area,5.15161,um^2,Surface,,,,1,175,
Area,4.4552,um^2,Surface,,,,1,177,
Area,22.3136,um^2,Surface,,,,1,179,
Area,6.40935,um^2,Surface,,,,1,181,
Area,6.14245,um^2,Surface,,,,1,193,
Area,6.26598,um^2,Surface,,,,1,198,
Area,2.57597,um^2,Surface,,,,1,199,
Area,3.62478,um^2,Surface,,,,1,225,
Area,2.45096,um^2,Surface,,,,1,227,
Area,4.07241,um^2,Surface,,,,1,228,
Area,7.87713,um^2,Surface,,,,1,230,
Area,1.6871,um^2,Surface,,,,1,234,
Area,6.16784,um^2,Surface,,,,1,240,
Area,1.60976,um^2,Surface,,,,1,255,
Area,4.77448,um^2,Surface,,,,1,263,
Area,0.0972599,um^2,Surface,,,,1,266,
Area,0.0773552,um^2,Surface,,,,1,267,
Area,0.11168,um^2,Surface,,,,1,268,
Area,4.03249,um^2,Surface,,,,1,269,
Area,5.92229,um^2,Surface,,,,1,272,
Distance from Origin,154.182,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,151.851,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,159.262,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,152.13,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,151.48,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,149.858,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,150.562,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,151.737,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,154.999,um,Surface,,Distance from Origin,,1,159,
Distance from Origin,154.771,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,153.107,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,152.761,um,Surface,,Distance from Origin,,1,167,
Distance from Origin,147.903,um,Surface,,Distance from Origin,,1,170,
Distance from Origin,140.789,um,Surface,,Distance from Origin,,1,174,
Distance from Origin,147.071,um,Surface,,Distance from Origin,,1,175,
Distance from Origin,151.911,um,Surface,,Distance from Origin,,1,177,
Distance from Origin,149.209,um,Surface,,Distance from Origin,,1,179,
Distance from Origin,162.726,um,Surface,,Distance from Origin,,1,181,
Distance from Origin,147.392,um,Surface,,Distance from Origin,,1,193,
Distance from Origin,151.866,um,Surface,,Distance from Origin,,1,198,
Distance from Origin,154.946,um,Surface,,Distance from Origin,,1,199,
Distance from Origin,145.596,um,Surface,,Distance from Origin,,1,225,
Distance from Origin,151.221,um,Surface,,Distance from Origin,,1,227,
Distance from Origin,148.083,um,Surface,,Distance from Origin,,1,228,
Distance from Origin,146.461,um,Surface,,Distance from Origin,,1,230,
Distance from Origin,152.402,um,Surface,,Distance from Origin,,1,234,
Distance from Origin,137.928,um,Surface,,Distance from Origin,,1,240,
Distance from Origin,130.897,um,Surface,,Distance from Origin,,1,255,
Distance from Origin,144.377,um,Surface,,Distance from Origin,,1,263,
Distance from Origin,144.426,um,Surface,,Distance from Origin,,1,266,
Distance from Origin,144.575,um,Surface,,Distance from Origin,,1,267,
Distance from Origin,144.72,um,Surface,,Distance from Origin,,1,268,
