
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,4.89951,um^2,Surface,,,,1,0,
Area,1.02057,um^2,Surface,,,,1,1,
Area,0.58828,um^2,Surface,,,,1,2,
Area,0.0882489,um^2,Surface,,,,1,3,
Area,0.0494093,um^2,Surface,,,,1,4,
Area,0.0334836,um^2,Surface,,,,1,5,
Area,9.24065,um^2,Surface,,,,1,6,
Area,0.111458,um^2,Surface,,,,1,7,
Area,0.0494062,um^2,Surface,,,,1,8,
Area,0.0882512,um^2,Surface,,,,1,9,
Area,4.4626,um^2,Surface,,,,1,10,
Area,1.02839,um^2,Surface,,,,1,11,
Area,1.69169,um^2,Surface,,,,1,12,
Area,0.0494062,um^2,Surface,,,,1,13,
Area,0.0494078,um^2,Surface,,,,1,14,
Area,0.127096,um^2,Surface,,,,1,15,
Area,0.00564561,um^2,Surface,,,,1,16,
Area,0.105313,um^2,Surface,,,,1,17,
Area,0.0657602,um^2,Surface,,,,1,18,
Area,0.0328269,um^2,Surface,,,,1,19,
Area,0.0494062,um^2,Surface,,,,1,20,
Area,4.36268,um^2,Surface,,,,1,21,
Area,1.71755,um^2,Surface,,,,1,22,
Area,0.0298269,um^2,Surface,,,,1,23,
Area,0.146711,um^2,Surface,,,,1,24,
Area,1.42049,um^2,Surface,,,,1,25,
Area,0.0328251,um^2,Surface,,,,1,26,
Area,2.70822,um^2,Surface,,,,1,27,
Area,5.26919,um^2,Surface,,,,1,28,
Area,18.0339,um^2,Surface,,,,1,29,
Area,2.77788,um^2,Surface,,,,1,30,
Area,0.0614779,um^2,Surface,,,,1,31,
Area,2.72272,um^2,Surface,,,,1,32,
Area,0.736643,um^2,Surface,,,,1,33,
Area,1.68962,um^2,Surface,,,,1,34,
Area,0.0741283,um^2,Surface,,,,1,35,
Area,54.2957,um^2,Surface,,,,1,36,
Area,1.82051,um^2,Surface,,,,1,37,
Area,0.136654,um^2,Surface,,,,1,38,
Area,7.30369,um^2,Surface,,,,1,39,
Area,1.35576,um^2,Surface,,,,1,40,
Area,0.048998,um^2,Surface,,,,1,41,
Area,61.9635,um^2,Surface,,,,1,42,
Area,3.83511,um^2,Surface,,,,1,43,
Area,0.583082,um^2,Surface,,,,1,44,
Area,0.0238657,um^2,Surface,,,,1,45,
Area,4.87577,um^2,Surface,,,,1,46,
Area,1.12972,um^2,Surface,,,,1,47,
Area,2.34465,um^2,Surface,,,,1,48,
Contact surface area,0.015,um,Surface,,,,,0,
Contact surface area,0.03,um,Surface,,,,,1,
Contact surface area,0.045,um,Surface,,,,,2,
Contact surface area,1.7075,um,Surface,,,,,3,
Contact surface area,1.59,um,Surface,,,,,4,
Contact surface area,1.165,um,Surface,,,,,5,
Contact surface area,0.0325,um,Surface,,,,,6,
Contact surface area,3.22,um,Surface,,,,,7,
Contact surface area,0.7325,um,Surface,,,,,8,
Contact surface area,0.0175,um,Surface,,,,,9,
Contact surface area,0.0325,um,Surface,,,,,10,
Contact surface area,2.995,um,Surface,,,,,11,
Contact surface area,1.2075,um,Surface,,,,,12,
Contact surface area,0.0875,um,Surface,,,,,13,
Contact surface area,4.9025,um,Surface,,,,,14,
Contact surface area,0.9175,um,Surface,,,,,15,
Contact surface area,2.66,um,Surface,,,,,16,
Contact surface area,0.38,um,Surface,,,,,17,
Contact surface area,0.065,um,Surface,,,,,18,
Contact surface area,0.04,um,Surface,,,,,19,
Contact surface area,0.02,um,Surface,,,,,20,
Contact surface area,0.02,um,Surface,,,,,21,
Contact surface area,0.09,um,Surface,,,,,22,
Contact surface area,0.9575,um,Surface,,,,,23,
Contact surface area,0.02,um,Surface,,,,,24,
Contact surface area,1.8875,um,Surface,,,,,25,
Contact surface area,3.5075,um,Surface,,,,,26,
Contact surface area,12.17,um,Surface,,,,,27,
Contact surface area,1.89,um,Surface,,,,,28,
Contact surface area,36.515,um,Surface,,,,,29,
Contact surface area,0.0775,um,Surface,,,,,30,
Contact surface area,1.065,um,Surface,,,,,31,
Contact surface area,0.0325,um,Surface,,,,,32,
Contact surface area,0.0325,um,Surface,,,,,33,
Contact surface area,0.0825,um,Surface,,,,,34,
Contact surface area,0.01,um,Surface,,,,,35,
Contact surface area,0.5075,um,Surface,,,,,36,
Contact surface area,1.135,um,Surface,,,,,37,
Contact surface area,41.98,um,Surface,,,,,38,
Contact surface area,3.2625,um,Surface,,,,,39,
Contact surface area,0.665,um,Surface,,,,,40,
