
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,3.93036,um^2,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Area,76.9022,um^2,Dendrite,,2,,2,,1,,100000000,510000000009,
Dendrite Area,27.7723,um^2,Dendrite,,3,,2,,1,,100000000,510000000154,
Dendrite Area,8.86684,um^2,Dendrite,,1,,1,,1,,100000000,510000000206,
Dendrite Area,21.0191,um^2,Dendrite,,2,,1,,1,,100000000,510000000219,
Dendrite Area,11.5835,um^2,Dendrite,,3,,1,,1,,100000000,510000000267,
Dendrite Area,7.92358,um^2,Dendrite,,4,,1,,1,,100000000,510000000290,
Dendrite Area,5.13289,um^2,Dendrite,,5,,2,,1,,100000000,510000000304,
Dendrite Area,19.8886,um^2,Dendrite,,6,,3,,1,,100000000,510000000317,
Dendrite Area,61.6313,um^2,Dendrite,,4,,2,,1,,100000000,510000000364,
Dendrite Area,3.43888,um^2,Dendrite,,2,,3,,1,,100000000,510000000500,
Dendrite Area,23.6718,um^2,Dendrite,,3,,3,,1,,100000000,510000000507,
Dendrite Area,11.7791,um^2,Dendrite,,4,,3,,1,,100000000,510000000556,
Dendrite Area,7.73402,um^2,Dendrite,,5,,3,,1,,100000000,510000000582,
Dendrite Area,9.92093,um^2,Dendrite,,6,,4,,1,,100000000,510000000597,
Dendrite Area,14.1507,um^2,Dendrite,,3,,3,,1,,100000000,510000000728,
Dendrite Area,7.15519,um^2,Dendrite,,6,,3,,1,,100000000,510000000782,
Dendrite Area,9.13033,um^2,Dendrite,,7,,4,,1,,100000000,510000000798,
Dendrite Area,12.0098,um^2,Dendrite,,7,,3,,1,,100000000,510000000821,
Dendrite Area,10.1928,um^2,Dendrite,,6,,2,,1,,100000000,510000000846,
Dendrite Area,8.12951,um^2,Dendrite,,5,,4,,1,,100000000,510000000868,
Dendrite Area,10.6757,um^2,Dendrite,,5,,1,,1,,100000000,510000000884,
Dendrite Area,6.87486,um^2,Dendrite,,4,,4,,1,,100000000,510000000905,
Dendrite Area,26.1546,um^2,Dendrite,,3,,4,,1,,100000000,510000000939,
Dendrite Area,10.7644,um^2,Dendrite,,3,,2,,1,,100000000,510000001086,
Dendrite Area,27.3429,um^2,Dendrite,,2,,2,,1,,100000000,510000001135,
Dendrite Area,0.945557,um^2,Dendrite,,0,,1,,1,,100000000,510000001301,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000009,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000154,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000206,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000000219,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000000,510000000267,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000000,510000000290,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000000,510000000304,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000000,510000000317,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000000364,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000000,510000000500,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000000507,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000556,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000000,510000000582,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000000,510000000597,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000000728,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000000,510000000782,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000000,510000000798,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000000,510000000821,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000000,510000000846,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000000,510000000868,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000000,510000000884,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000000,510000000905,
Dendrite Branch Depth,3,,Dendrite,,3,,4,,1,,100000000,510000000939,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000001086,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000001135,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000000,510000001301,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000000,510000000009,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000000,510000000154,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000000,510000000206,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000000,510000000219,
Dendrite Branch Level,1,,Dendrite,,3,,1,,1,,100000000,510000000267,
Dendrite Branch Level,1,,Dendrite,,4,,1,,1,,100000000,510000000290,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000000,510000000304,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000000,510000000317,
