
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,7.74822,um^2,Surface,,,,1,557,
Area,12.0866,um^2,Surface,,,,1,562,
Area,36.7276,um^2,Surface,,,,1,566,
Area,11.7672,um^2,Surface,,,,1,567,
Area,11.304,um^2,Surface,,,,1,572,
Area,15.3453,um^2,Surface,,,,1,575,
Area,5.95808,um^2,Surface,,,,1,576,
Area,199.379,um^2,Surface,,,,1,579,
Area,7.87977,um^2,Surface,,,,1,582,
Area,8.26609,um^2,Surface,,,,1,587,
Area,26.1711,um^2,Surface,,,,1,588,
Area,8.77903,um^2,Surface,,,,1,589,
Area,9.08377,um^2,Surface,,,,1,591,
Area,7.97344,um^2,Surface,,,,1,592,
Area,8.43316,um^2,Surface,,,,1,593,
Area,20.9204,um^2,Surface,,,,1,595,
Area,27.9427,um^2,Surface,,,,1,596,
Area,8.60855,um^2,Surface,,,,1,597,
Area,7.20054,um^2,Surface,,,,1,598,
Area,17.9394,um^2,Surface,,,,1,603,
Area,8.41487,um^2,Surface,,,,1,614,
Area,11.5531,um^2,Surface,,,,1,619,
Area,19.8081,um^2,Surface,,,,1,620,
Area,49.8215,um^2,Surface,,,,1,627,
Area,7.17548,um^2,Surface,,,,1,628,
Area,14.2022,um^2,Surface,,,,1,631,
Area,55.6371,um^2,Surface,,,,1,632,
Area,12.2965,um^2,Surface,,,,1,633,
Area,29.9761,um^2,Surface,,,,1,640,
Area,15.8523,um^2,Surface,,,,1,641,
Area,55.2106,um^2,Surface,,,,1,643,
Area,22.9,um^2,Surface,,,,1,644,
Area,14.7773,um^2,Surface,,,,1,647,
Area,9.20755,um^2,Surface,,,,1,649,
Area,16.3151,um^2,Surface,,,,1,680,
Area,180.729,um^2,Surface,,,,1,712,
Area,15.6867,um^2,Surface,,,,1,713,
Area,28.6579,um^2,Surface,,,,1,732,
Area,97.0624,um^2,Surface,,,,1,737,
Area,18.4102,um^2,Surface,,,,1,740,
Area,28.9711,um^2,Surface,,,,1,743,
Area,99.7954,um^2,Surface,,,,1,760,
Area,27.0459,um^2,Surface,,,,1,775,
Area,14.7247,um^2,Surface,,,,1,776,
Area,33.6904,um^2,Surface,,,,1,777,
Area,30.3885,um^2,Surface,,,,1,778,
Area,15.8077,um^2,Surface,,,,1,779,
Area,13.0386,um^2,Surface,,,,1,783,
Area,15.7386,um^2,Surface,,,,1,833,
Area,17.8397,um^2,Surface,,,,1,843,
Area,7.51019,um^2,Surface,,,,1,862,
Area,19.7043,um^2,Surface,,,,1,864,
Area,10.4803,um^2,Surface,,,,1,865,
Area,7.71076,um^2,Surface,,,,1,875,
Area,163.922,um^2,Surface,,,,1,876,
Area,55.514,um^2,Surface,,,,1,887,
Area,50.0873,um^2,Surface,,,,1,888,
Area,368.079,um^2,Surface,,,,1,902,
Area,32.8602,um^2,Surface,,,,1,906,
Area,22.2868,um^2,Surface,,,,1,931,
Area,199.852,um^2,Surface,,,,1,932,
Area,18.782,um^2,Surface,,,,1,934,
Area,1734.42,um^2,Surface,,,,1,942,
Area,46.2016,um^2,Surface,,,,1,976,
Distance from Origin,155.417,um,Surface,,Distance from Origin,,1,557,
Distance from Origin,159.34,um,Surface,,Distance from Origin,,1,562,
Distance from Origin,178.7,um,Surface,,Distance from Origin,,1,566,
Distance from Origin,171.78,um,Surface,,Distance from Origin,,1,567,
Distance from Origin,150.566,um,Surface,,Distance from Origin,,1,572,
Distance from Origin,157.967,um,Surface,,Distance from Origin,,1,575,
Distance from Origin,147.495,um,Surface,,Distance from Origin,,1,576,
Distance from Origin,122.89,um,Surface,,Distance from Origin,,1,579,
Distance from Origin,133.324,um,Surface,,Distance from Origin,,1,582,
Distance from Origin,158.966,um,Surface,,Distance from Origin,,1,587,
Distance from Origin,184.754,um,Surface,,Distance from Origin,,1,588,
Distance from Origin,187.762,um,Surface,,Distance from Origin,,1,589,
Distance from Origin,184.183,um,Surface,,Distance from Origin,,1,591,
Distance from Origin,181.391,um,Surface,,Distance from Origin,,1,592,
