
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.00868,um^2,Surface,,,,1,214,
Area,17.1973,um^2,Surface,,,,1,223,
Area,15.3334,um^2,Surface,,,,1,232,
Area,10.5817,um^2,Surface,,,,1,233,
Area,4.15387,um^2,Surface,,,,1,234,
Area,9.82081,um^2,Surface,,,,1,245,
Area,12.9477,um^2,Surface,,,,1,250,
Area,13.3706,um^2,Surface,,,,1,259,
Area,6.79049,um^2,Surface,,,,1,261,
Area,6.53912,um^2,Surface,,,,1,262,
Area,68.5909,um^2,Surface,,,,1,265,
Area,21.3436,um^2,Surface,,,,1,269,
Area,3.63106,um^2,Surface,,,,1,279,
Area,12.432,um^2,Surface,,,,1,287,
Area,2.43212,um^2,Surface,,,,1,288,
Area,10.4311,um^2,Surface,,,,1,291,
Area,12.005,um^2,Surface,,,,1,297,
Area,17.6225,um^2,Surface,,,,1,303,
Area,30.2594,um^2,Surface,,,,1,313,
Area,12.4273,um^2,Surface,,,,1,320,
Area,18.3441,um^2,Surface,,,,1,326,
Area,8.5349,um^2,Surface,,,,1,327,
Area,133.042,um^2,Surface,,,,1,396,
Area,1.04868,um^2,Surface,,,,1,401,
Area,10.0388,um^2,Surface,,,,1,405,
Area,9.94531,um^2,Surface,,,,1,410,
Area,43.6978,um^2,Surface,,,,1,412,
Area,0.0437871,um^2,Surface,,,,1,414,
Area,7.19668,um^2,Surface,,,,1,415,
Distance from Origin,126.077,um,Surface,,Distance from Origin,,1,214,
Distance from Origin,164.274,um,Surface,,Distance from Origin,,1,223,
Distance from Origin,129.446,um,Surface,,Distance from Origin,,1,232,
Distance from Origin,124.742,um,Surface,,Distance from Origin,,1,233,
Distance from Origin,139.151,um,Surface,,Distance from Origin,,1,234,
Distance from Origin,162.637,um,Surface,,Distance from Origin,,1,245,
Distance from Origin,154.628,um,Surface,,Distance from Origin,,1,250,
Distance from Origin,171.027,um,Surface,,Distance from Origin,,1,259,
Distance from Origin,118.635,um,Surface,,Distance from Origin,,1,261,
Distance from Origin,121.889,um,Surface,,Distance from Origin,,1,262,
Distance from Origin,131.76,um,Surface,,Distance from Origin,,1,265,
Distance from Origin,112.728,um,Surface,,Distance from Origin,,1,269,
Distance from Origin,143.303,um,Surface,,Distance from Origin,,1,279,
Distance from Origin,115.796,um,Surface,,Distance from Origin,,1,287,
Distance from Origin,109.649,um,Surface,,Distance from Origin,,1,288,
Distance from Origin,108.18,um,Surface,,Distance from Origin,,1,291,
Distance from Origin,103.747,um,Surface,,Distance from Origin,,1,297,
Distance from Origin,152.613,um,Surface,,Distance from Origin,,1,303,
Distance from Origin,159.432,um,Surface,,Distance from Origin,,1,313,
Distance from Origin,182.864,um,Surface,,Distance from Origin,,1,320,
Distance from Origin,175.347,um,Surface,,Distance from Origin,,1,326,
Distance from Origin,157.74,um,Surface,,Distance from Origin,,1,327,
Distance from Origin,120.703,um,Surface,,Distance from Origin,,1,396,
Distance from Origin,122.663,um,Surface,,Distance from Origin,,1,401,
Distance from Origin,133.861,um,Surface,,Distance from Origin,,1,405,
Distance from Origin,147.246,um,Surface,,Distance from Origin,,1,410,
Distance from Origin,153.431,um,Surface,,Distance from Origin,,1,412,
Distance from Origin,154.22,um,Surface,,Distance from Origin,,1,414,
Distance from Origin,154.896,um,Surface,,Distance from Origin,,1,415,
Distance to Image Border XY,32.7743,um,Surface,,,Image 1,1,214,
Distance to Image Border XY,31.7512,um,Surface,,,Image 1,1,223,
Distance to Image Border XY,29.9529,um,Surface,,,Image 1,1,232,
Distance to Image Border XY,37.2866,um,Surface,,,Image 1,1,233,
Distance to Image Border XY,32.0468,um,Surface,,,Image 1,1,234,
Distance to Image Border XY,13.5668,um,Surface,,,Image 1,1,245,
Distance to Image Border XY,26.1941,um,Surface,,,Image 1,1,250,
Distance to Image Border XY,45.7992,um,Surface,,,Image 1,1,259,
Distance to Image Border XY,28.6672,um,Surface,,,Image 1,1,261,
Distance to Image Border XY,28.8671,um,Surface,,,Image 1,1,262,
Distance to Image Border XY,59.9905,um,Surface,,,Image 1,1,265,
Distance to Image Border XY,33.0651,um,Surface,,,Image 1,1,269,
Distance to Image Border XY,39.3655,um,Surface,,,Image 1,1,279,
Distance to Image Border XY,37.8325,um,Surface,,,Image 1,1,287,
Distance to Image Border XY,27.106,um,Surface,,,Image 1,1,288,
Distance to Image Border XY,21.5546,um,Surface,,,Image 1,1,291,
Distance to Image Border XY,16.717,um,Surface,,,Image 1,1,297,
Distance to Image Border XY,35.4744,um,Surface,,,Image 1,1,303,
Distance to Image Border XY,37.1722,um,Surface,,,Image 1,1,313,
Distance to Image Border XY,30.5771,um,Surface,,,Image 1,1,320,
Distance to Image Border XY,37.193,um,Surface,,,Image 1,1,326,
Distance to Image Border XY,53.8515,um,Surface,,,Image 1,1,327,
Distance to Image Border XY,43.9311,um,Surface,,,Image 1,1,396,
Distance to Image Border XY,60.7213,um,Surface,,,Image 1,1,401,
Distance to Image Border XY,61.579,um,Surface,,,Image 1,1,405,
Distance to Image Border XY,53.5465,um,Surface,,,Image 1,1,410,
Distance to Image Border XY,46.27,um,Surface,,,Image 1,1,412,
Distance to Image Border XY,54.3842,um,Surface,,,Image 1,1,414,
Distance to Image Border XY,39.292,um,Surface,,,Image 1,1,415,
Ellipticity (oblate),0.0729194,,Surface,,,,1,214,
Ellipticity (oblate),0.0317301,,Surface,,,,1,223,
Ellipticity (oblate),0.154051,,Surface,,,,1,232,
Ellipticity (oblate),0.0604513,,Surface,,,,1,233,
Ellipticity (oblate),0.258447,,Surface,,,,1,234,
Ellipticity (oblate),0.0559571,,Surface,,,,1,245,
Ellipticity (oblate),0.0798285,,Surface,,,,1,250,
Ellipticity (oblate),0.0342744,,Surface,,,,1,259,
Ellipticity (oblate),0.26242,,Surface,,,,1,261,
Ellipticity (oblate),0.153396,,Surface,,,,1,262,
Ellipticity (oblate),0.0501648,,Surface,,,,1,265,
Ellipticity (oblate),0.133617,,Surface,,,,1,269,
Ellipticity (oblate),0.462132,,Surface,,,,1,279,
Ellipticity (oblate),0.147148,,Surface,,,,1,287,
Ellipticity (oblate),0.450717,,Surface,,,,1,288,
Ellipticity (oblate),0.0514249,,Surface,,,,1,291,
Ellipticity (oblate),0.0485358,,Surface,,,,1,297,
Ellipticity (oblate),0.0494639,,Surface,,,,1,303,
Ellipticity (oblate),0.129644,,Surface,,,,1,313,
Ellipticity (oblate),0.0280558,,Surface,,,,1,320,
Ellipticity (oblate),0.061585,,Surface,,,,1,326,
Ellipticity (oblate),0.198524,,Surface,,,,1,327,
Ellipticity (oblate),0.0931222,,Surface,,,,1,396,
Ellipticity (oblate),0.388477,,Surface,,,,1,401,
Ellipticity (oblate),0.131489,,Surface,,,,1,405,
Ellipticity (oblate),0.102399,,Surface,,,,1,410,
Ellipticity (oblate),0.0812991,,Surface,,,,1,412,
Ellipticity (oblate),0.212423,,Surface,,,,1,414,
Ellipticity (oblate),0.0762185,,Surface,,,,1,415,
Ellipticity (prolate),0.722347,,Surface,,,,1,214,
Ellipticity (prolate),0.551602,,Surface,,,,1,223,
Ellipticity (prolate),0.458556,,Surface,,,,1,232,
Ellipticity (prolate),0.798275,,Surface,,,,1,233,
Ellipticity (prolate),0.56861,,Surface,,,,1,234,
Ellipticity (prolate),0.703749,,Surface,,,,1,245,
Ellipticity (prolate),0.645867,,Surface,,,,1,250,
Ellipticity (prolate),0.876225,,Surface,,,,1,259,
Ellipticity (prolate),0.43914,,Surface,,,,1,261,
Ellipticity (prolate),0.611427,,Surface,,,,1,262,
Ellipticity (prolate),0.478397,,Surface,,,,1,265,
Ellipticity (prolate),0.125746,,Surface,,,,1,269,
Ellipticity (prolate),0.380629,,Surface,,,,1,279,
Ellipticity (prolate),0.549568,,Surface,,,,1,287,
Ellipticity (prolate),0.284811,,Surface,,,,1,288,
Ellipticity (prolate),0.760103,,Surface,,,,1,291,
Ellipticity (prolate),0.884951,,Surface,,,,1,297,
Ellipticity (prolate),0.738968,,Surface,,,,1,303,
Ellipticity (prolate),0.252881,,Surface,,,,1,313,
Ellipticity (prolate),0.735281,,Surface,,,,1,320,
Ellipticity (prolate),0.357895,,Surface,,,,1,326,
Ellipticity (prolate),0.536174,,Surface,,,,1,327,
Ellipticity (prolate),0.0742957,,Surface,,,,1,396,
Ellipticity (prolate),0.345243,,Surface,,,,1,401,
Ellipticity (prolate),0.546537,,Surface,,,,1,405,
Ellipticity (prolate),0.674467,,Surface,,,,1,410,
Ellipticity (prolate),0.303726,,Surface,,,,1,412,
Ellipticity (prolate),0.807156,,Surface,,,,1,414,
Ellipticity (prolate),0.67502,,Surface,,,,1,415,
Generation,0,,Surface,,,,1,214,
Generation,0,,Surface,,,,1,223,
