
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0166102,um^2,Surface,,,,1,0,
Area,3.19587,um^2,Surface,,,,1,1,
Area,4.73041,um^2,Surface,,,,1,2,
Area,6.43316,um^2,Surface,,,,1,3,
Contact surface area,0.0075,um,Surface,,,,,0,
Contact surface area,3.6775,um,Surface,,,,,1,
Contact surface area,2.615,um,Surface,,,,,2,
Contact surface area,1.885,um,Surface,,,,,3,
Distance from Origin,125.672,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,125.821,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,154.929,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,124.915,um,Surface,,Distance from Origin,,1,3,
Distance to Image Border XY,62.825,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,62.7354,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,49.7087,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,61.7951,um,Surface,,,Image 1,1,3,
Ellipticity (oblate),0.132976,,Surface,,,,1,0,
Ellipticity (oblate),0.62676,,Surface,,,,1,1,
Ellipticity (oblate),0.344693,,Surface,,,,1,2,
Ellipticity (oblate),0.452164,,Surface,,,,1,3,
Ellipticity (prolate),0.914275,,Surface,,,,1,0,
Ellipticity (prolate),0.108364,,Surface,,,,1,1,
Ellipticity (prolate),0.526,,Surface,,,,1,2,
Ellipticity (prolate),0.410275,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Intensity Max,0,,Surface,1,,Image 1,1,0,
Intensity Max,2,,Surface,2,,Image 1,1,0,
Intensity Max,12,,Surface,3,,Image 1,1,0,
Intensity Max,3,,Surface,4,,Image 1,1,0,
Intensity Max,81,,Surface,1,,Image 1,1,1,
Intensity Max,28,,Surface,2,,Image 1,1,1,
Intensity Max,38,,Surface,3,,Image 1,1,1,
Intensity Max,5,,Surface,4,,Image 1,1,1,
Intensity Max,115,,Surface,1,,Image 1,1,2,
Intensity Max,9,,Surface,2,,Image 1,1,2,
Intensity Max,26,,Surface,3,,Image 1,1,2,
Intensity Max,4,,Surface,4,,Image 1,1,2,
Intensity Max,46,,Surface,1,,Image 1,1,3,
Intensity Max,24,,Surface,2,,Image 1,1,3,
Intensity Max,75,,Surface,3,,Image 1,1,3,
Intensity Max,8,,Surface,4,,Image 1,1,3,
Intensity Mean,0,,Surface,1,,Image 1,1,0,
Intensity Mean,1,,Surface,2,,Image 1,1,0,
Intensity Mean,10.3333,,Surface,3,,Image 1,1,0,
Intensity Mean,2,,Surface,4,,Image 1,1,0,
Intensity Mean,29.8329,,Surface,1,,Image 1,1,1,
Intensity Mean,6.90584,,Surface,2,,Image 1,1,1,
Intensity Mean,16.6897,,Surface,3,,Image 1,1,1,
Intensity Mean,1.13926,,Surface,4,,Image 1,1,1,
Intensity Mean,25.652,,Surface,1,,Image 1,1,2,
Intensity Mean,0.701721,,Surface,2,,Image 1,1,2,
Intensity Mean,11.2734,,Surface,3,,Image 1,1,2,
Intensity Mean,0.524857,,Surface,4,,Image 1,1,2,
Intensity Mean,20.4031,,Surface,1,,Image 1,1,3,
Intensity Mean,1.91978,,Surface,2,,Image 1,1,3,
Intensity Mean,15.5976,,Surface,3,,Image 1,1,3,
Intensity Mean,0.92726,,Surface,4,,Image 1,1,3,
Intensity Median,0,,Surface,1,,Image 1,1,0,
Intensity Median,0.9995,,Surface,2,,Image 1,1,0,
Intensity Median,9.999,,Surface,3,,Image 1,1,0,
Intensity Median,1.9995,,Surface,4,,Image 1,1,0,
Intensity Median,26.036,,Surface,1,,Image 1,1,1,
Intensity Median,6.016,,Surface,2,,Image 1,1,1,
Intensity Median,16,,Surface,3,,Image 1,1,1,
Intensity Median,0.998,,Surface,4,,Image 1,1,1,
Intensity Median,14.056,,Surface,1,,Image 1,1,2,
Intensity Median,0.004,,Surface,2,,Image 1,1,2,
Intensity Median,11,,Surface,3,,Image 1,1,2,
Intensity Median,0.001,,Surface,4,,Image 1,1,2,
Intensity Median,19.008,,Surface,1,,Image 1,1,3,
