
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,50.7469,um^2,Dendrite,,1,,1,,1,,100000000,510000000002,
Dendrite Area,37.8372,um^2,Dendrite,,2,,2,,1,,100000000,510000000049,
Dendrite Area,5.1599,um^2,Dendrite,,3,,2,,1,,100000000,510000000100,
Dendrite Area,12.2089,um^2,Dendrite,,4,,2,,1,,100000000,510000000104,
Dendrite Area,50.0152,um^2,Dendrite,,5,,2,,1,,100000000,510000000119,
Dendrite Area,20.0122,um^2,Dendrite,,6,,2,,1,,100000000,510000000203,
Dendrite Area,53.3063,um^2,Dendrite,,7,,2,,1,,100000000,510000000239,
Dendrite Area,12.154,um^2,Dendrite,,8,,2,,1,,100000000,510000000337,
Dendrite Area,9.51972,um^2,Dendrite,,9,,3,,1,,100000000,510000000366,
Dendrite Area,17.5464,um^2,Dendrite,,10,,3,,1,,100000000,510000000385,
Dendrite Area,9.67996,um^2,Dendrite,,11,,4,,1,,100000000,510000000429,
Dendrite Area,5.67605,um^2,Dendrite,,12,,4,,1,,100000000,510000000454,
Dendrite Area,17.6542,um^2,Dendrite,,13,,4,,1,,100000000,510000000466,
Dendrite Area,55.2505,um^2,Dendrite,,1,,2,,1,,100000000,510000000512,
Dendrite Area,2.30191,um^2,Dendrite,,2,,3,,1,,100000000,510000000576,
Dendrite Area,8.72841,um^2,Dendrite,,3,,3,,1,,100000000,510000000582,
Dendrite Area,10.0369,um^2,Dendrite,,4,,3,,1,,100000000,510000000599,
Dendrite Area,38.9248,um^2,Dendrite,,5,,3,,1,,100000000,510000000617,
Dendrite Area,29.0057,um^2,Dendrite,,6,,3,,1,,100000000,510000000690,
Dendrite Area,40.4482,um^2,Dendrite,,7,,3,,1,,100000000,510000000749,
Dendrite Area,7.84565,um^2,Dendrite,,8,,3,,1,,100000000,510000000831,
Dendrite Area,18.1616,um^2,Dendrite,,9,,3,,1,,100000000,510000000845,
Dendrite Area,5.1434,um^2,Dendrite,,10,,3,,1,,100000000,510000000884,
Dendrite Area,10.6876,um^2,Dendrite,,11,,3,,1,,100000000,510000000895,
Dendrite Area,2.62676,um^2,Dendrite,,12,,3,,1,,100000000,510000000917,
Dendrite Area,18.8992,um^2,Dendrite,,13,,4,,1,,100000000,510000000922,
Dendrite Area,11.27,um^2,Dendrite,,2,,2,,1,,100000000,510000000975,
Dendrite Area,7.83194,um^2,Dendrite,,3,,3,,1,,100000000,510000000993,
Dendrite Area,11.7764,um^2,Dendrite,,4,,3,,1,,100000000,510000001007,
Dendrite Area,17.3806,um^2,Dendrite,,5,,4,,1,,100000000,510000001037,
Dendrite Area,12.1296,um^2,Dendrite,,6,,4,,1,,100000000,510000001081,
Dendrite Area,21.9006,um^2,Dendrite,,7,,4,,1,,100000000,510000001107,
Dendrite Area,18.6053,um^2,Dendrite,,8,,4,,1,,100000000,510000001159,
Dendrite Area,11.7333,um^2,Dendrite,,9,,4,,1,,100000000,510000001203,
Dendrite Area,18.1916,um^2,Dendrite,,10,,4,,1,,100000000,510000001227,
Dendrite Area,41.9486,um^2,Dendrite,,11,,4,,1,,100000000,510000001270,
Dendrite Area,27.629,um^2,Dendrite,,6,,4,,1,,100000000,510000001360,
Dendrite Area,18.5561,um^2,Dendrite,,7,,3,,1,,100000000,510000001419,
Dendrite Area,15.8515,um^2,Dendrite,,8,,3,,1,,100000000,510000001461,
Dendrite Area,37.3683,um^2,Dendrite,,10,,4,,1,,100000000,510000001502,
Dendrite Area,7.09675,um^2,Dendrite,,11,,5,,1,,100000000,510000001597,
Dendrite Area,1.05324,um^2,Dendrite,,12,,5,,1,,100000000,510000001617,
Dendrite Area,8.19428,um^2,Dendrite,,12,,6,,1,,100000000,510000001621,
Dendrite Area,24.3174,um^2,Dendrite,,5,,3,,1,,100000000,510000001646,
