
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.90914,um^2,Surface,,,,1,136,
Area,4.08012,um^2,Surface,,,,1,137,
Area,2.02855,um^2,Surface,,,,1,139,
Area,2.87375,um^2,Surface,,,,1,140,
Area,3.60388,um^2,Surface,,,,1,143,
Area,3.00702,um^2,Surface,,,,1,145,
Area,4.4735,um^2,Surface,,,,1,152,
Area,3.58159,um^2,Surface,,,,1,157,
Area,18.8513,um^2,Surface,,,,1,160,
Area,7.94917,um^2,Surface,,,,1,162,
Area,6.20005,um^2,Surface,,,,1,164,
Area,2.77695,um^2,Surface,,,,1,168,
Area,4.95456,um^2,Surface,,,,1,169,
Area,13.7632,um^2,Surface,,,,1,171,
Area,5.32195,um^2,Surface,,,,1,176,
Area,11.1467,um^2,Surface,,,,1,181,
Area,7.88359,um^2,Surface,,,,1,182,
Area,3.12872,um^2,Surface,,,,1,186,
Area,4.49806,um^2,Surface,,,,1,192,
Area,3.39197,um^2,Surface,,,,1,194,
Area,5.01898,um^2,Surface,,,,1,195,
Area,12.6067,um^2,Surface,,,,1,197,
Area,4.31404,um^2,Surface,,,,1,198,
Area,1.6039,um^2,Surface,,,,1,202,
Area,19.381,um^2,Surface,,,,1,203,
Area,2.65479,um^2,Surface,,,,1,204,
Area,5.77612,um^2,Surface,,,,1,207,
Area,1.77949,um^2,Surface,,,,1,208,
Area,1.9598,um^2,Surface,,,,1,209,
Area,8.12522,um^2,Surface,,,,1,212,
Area,1.43717,um^2,Surface,,,,1,217,
Area,20.3224,um^2,Surface,,,,1,226,
Area,7.1276,um^2,Surface,,,,1,228,
Area,5.53454,um^2,Surface,,,,1,233,
Area,60.5601,um^2,Surface,,,,1,244,
Area,34.7212,um^2,Surface,,,,1,247,
Distance from Origin,173.81,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,166.983,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,169.556,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,165.799,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,163.224,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,168.108,um,Surface,,Distance from Origin,,1,145,
Distance from Origin,150.18,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,146.766,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,152.757,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,157.226,um,Surface,,Distance from Origin,,1,162,
Distance from Origin,164.539,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,153.565,um,Surface,,Distance from Origin,,1,168,
Distance from Origin,152.204,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,149.378,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,148.707,um,Surface,,Distance from Origin,,1,176,
Distance from Origin,147.008,um,Surface,,Distance from Origin,,1,181,
Distance from Origin,146.932,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,147.816,um,Surface,,Distance from Origin,,1,186,
Distance from Origin,176.473,um,Surface,,Distance from Origin,,1,192,
Distance from Origin,150.353,um,Surface,,Distance from Origin,,1,194,
Distance from Origin,148.387,um,Surface,,Distance from Origin,,1,195,
Distance from Origin,149.204,um,Surface,,Distance from Origin,,1,197,
Distance from Origin,149.697,um,Surface,,Distance from Origin,,1,198,
Distance from Origin,150.627,um,Surface,,Distance from Origin,,1,202,
Distance from Origin,148.483,um,Surface,,Distance from Origin,,1,203,
Distance from Origin,150.674,um,Surface,,Distance from Origin,,1,204,
Distance from Origin,135.092,um,Surface,,Distance from Origin,,1,207,
Distance from Origin,140.548,um,Surface,,Distance from Origin,,1,208,
Distance from Origin,143.07,um,Surface,,Distance from Origin,,1,209,
Distance from Origin,143.957,um,Surface,,Distance from Origin,,1,212,
Distance from Origin,148.953,um,Surface,,Distance from Origin,,1,217,
Distance from Origin,184.318,um,Surface,,Distance from Origin,,1,226,
Distance from Origin,187.259,um,Surface,,Distance from Origin,,1,228,
Distance from Origin,196.732,um,Surface,,Distance from Origin,,1,233,
Distance from Origin,149.271,um,Surface,,Distance from Origin,,1,244,
Distance from Origin,145.048,um,Surface,,Distance from Origin,,1,247,
Distance to Image Border XY,41.6082,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,43.7287,um,Surface,,,Image 1,1,137,
Distance to Image Border XY,46.2394,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,43.3041,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,40.851,um,Surface,,,Image 1,1,143,
Distance to Image Border XY,44.9465,um,Surface,,,Image 1,1,145,
Distance to Image Border XY,44.2355,um,Surface,,,Image 1,1,152,
Distance to Image Border XY,41.1643,um,Surface,,,Image 1,1,157,
Distance to Image Border XY,36.9988,um,Surface,,,Image 1,1,160,
Distance to Image Border XY,37.1734,um,Surface,,,Image 1,1,162,
Distance to Image Border XY,19.9649,um,Surface,,,Image 1,1,164,
Distance to Image Border XY,29.7956,um,Surface,,,Image 1,1,168,
Distance to Image Border XY,31.6171,um,Surface,,,Image 1,1,169,
Distance to Image Border XY,38.8938,um,Surface,,,Image 1,1,171,
Distance to Image Border XY,32.468,um,Surface,,,Image 1,1,176,
Distance to Image Border XY,34.1717,um,Surface,,,Image 1,1,181,
Distance to Image Border XY,32.3209,um,Surface,,,Image 1,1,182,
Distance to Image Border XY,34.0372,um,Surface,,,Image 1,1,186,
Distance to Image Border XY,39.3638,um,Surface,,,Image 1,1,192,
Distance to Image Border XY,43.4097,um,Surface,,,Image 1,1,194,
Distance to Image Border XY,43.7645,um,Surface,,,Image 1,1,195,
