
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,6.73716,um^2,Surface,,,,1,238,
Area,74.7093,um^2,Surface,,,,1,241,
Area,224.846,um^2,Surface,,,,1,251,
Area,50.4935,um^2,Surface,,,,1,252,
Area,14.4432,um^2,Surface,,,,1,254,
Area,5.28455,um^2,Surface,,,,1,255,
Area,16.6937,um^2,Surface,,,,1,256,
Area,6.64611,um^2,Surface,,,,1,262,
Area,8.61489,um^2,Surface,,,,1,265,
Area,16.3318,um^2,Surface,,,,1,266,
Area,47.5402,um^2,Surface,,,,1,269,
Area,13.9802,um^2,Surface,,,,1,270,
Area,19.2509,um^2,Surface,,,,1,271,
Area,52.2368,um^2,Surface,,,,1,272,
Area,51.1924,um^2,Surface,,,,1,273,
Area,4.20979,um^2,Surface,,,,1,274,
Area,13.8835,um^2,Surface,,,,1,275,
Area,18.6538,um^2,Surface,,,,1,276,
Area,11.1655,um^2,Surface,,,,1,280,
Area,15.6896,um^2,Surface,,,,1,282,
Area,29.8429,um^2,Surface,,,,1,283,
Area,19.2238,um^2,Surface,,,,1,285,
Area,21.2884,um^2,Surface,,,,1,286,
Area,67.8545,um^2,Surface,,,,1,290,
Area,30.2668,um^2,Surface,,,,1,291,
Area,12.4667,um^2,Surface,,,,1,295,
Area,2430.23,um^2,Surface,,,,1,300,
Area,76.4409,um^2,Surface,,,,1,301,
Distance from Origin,165.989,um,Surface,,Distance from Origin,,1,238,
Distance from Origin,156.193,um,Surface,,Distance from Origin,,1,241,
Distance from Origin,158.189,um,Surface,,Distance from Origin,,1,251,
Distance from Origin,146.602,um,Surface,,Distance from Origin,,1,252,
Distance from Origin,141.499,um,Surface,,Distance from Origin,,1,254,
Distance from Origin,144.158,um,Surface,,Distance from Origin,,1,255,
Distance from Origin,143.332,um,Surface,,Distance from Origin,,1,256,
Distance from Origin,138.675,um,Surface,,Distance from Origin,,1,262,
Distance from Origin,140.371,um,Surface,,Distance from Origin,,1,265,
Distance from Origin,118.599,um,Surface,,Distance from Origin,,1,266,
Distance from Origin,146.226,um,Surface,,Distance from Origin,,1,269,
Distance from Origin,152.424,um,Surface,,Distance from Origin,,1,270,
Distance from Origin,150.872,um,Surface,,Distance from Origin,,1,271,
Distance from Origin,156.969,um,Surface,,Distance from Origin,,1,272,
Distance from Origin,122.553,um,Surface,,Distance from Origin,,1,273,
Distance from Origin,153.769,um,Surface,,Distance from Origin,,1,274,
Distance from Origin,137.618,um,Surface,,Distance from Origin,,1,275,
Distance from Origin,134.427,um,Surface,,Distance from Origin,,1,276,
Distance from Origin,98.1413,um,Surface,,Distance from Origin,,1,280,
Distance from Origin,92.4956,um,Surface,,Distance from Origin,,1,282,
Distance from Origin,87.4344,um,Surface,,Distance from Origin,,1,283,
Distance from Origin,132.334,um,Surface,,Distance from Origin,,1,285,
Distance from Origin,136.095,um,Surface,,Distance from Origin,,1,286,
Distance from Origin,148.43,um,Surface,,Distance from Origin,,1,290,
Distance from Origin,136.626,um,Surface,,Distance from Origin,,1,291,
Distance from Origin,113.362,um,Surface,,Distance from Origin,,1,295,
Distance from Origin,124.874,um,Surface,,Distance from Origin,,1,300,
Distance from Origin,108.525,um,Surface,,Distance from Origin,,1,301,
Distance to Image Border XY,24.6953,um,Surface,,,Image 1,1,238,
Distance to Image Border XY,9.23674,um,Surface,,,Image 1,1,241,
Distance to Image Border XY,18.4021,um,Surface,,,Image 1,1,251,
Distance to Image Border XY,41.8163,um,Surface,,,Image 1,1,252,
Distance to Image Border XY,39.6584,um,Surface,,,Image 1,1,254,
Distance to Image Border XY,47.6181,um,Surface,,,Image 1,1,255,
Distance to Image Border XY,47.2717,um,Surface,,,Image 1,1,256,
Distance to Image Border XY,45.4558,um,Surface,,,Image 1,1,262,
Distance to Image Border XY,41.3037,um,Surface,,,Image 1,1,265,
Distance to Image Border XY,42.07,um,Surface,,,Image 1,1,266,
Distance to Image Border XY,19.4568,um,Surface,,,Image 1,1,269,
Distance to Image Border XY,17.921,um,Surface,,,Image 1,1,270,
Distance to Image Border XY,16.2203,um,Surface,,,Image 1,1,271,
Distance to Image Border XY,7.73523,um,Surface,,,Image 1,1,272,
Distance to Image Border XY,28.9594,um,Surface,,,Image 1,1,273,
Distance to Image Border XY,7.08638,um,Surface,,,Image 1,1,274,
Distance to Image Border XY,33.092,um,Surface,,,Image 1,1,275,
Distance to Image Border XY,36.7289,um,Surface,,,Image 1,1,276,
Distance to Image Border XY,29.2526,um,Surface,,,Image 1,1,280,
Distance to Image Border XY,14.0892,um,Surface,,,Image 1,1,282,
Distance to Image Border XY,21.8904,um,Surface,,,Image 1,1,283,
Distance to Image Border XY,24.0204,um,Surface,,,Image 1,1,285,
Distance to Image Border XY,3.02653,um,Surface,,,Image 1,1,286,
Distance to Image Border XY,8.25455,um,Surface,,,Image 1,1,290,
Distance to Image Border XY,13.672,um,Surface,,,Image 1,1,291,
Distance to Image Border XY,20.5755,um,Surface,,,Image 1,1,295,
Distance to Image Border XY,3.38584,um,Surface,,,Image 1,1,300,
Distance to Image Border XY,18.5441,um,Surface,,,Image 1,1,301,
Ellipticity (oblate),0.498465,,Surface,,,,1,238,
Ellipticity (oblate),0.266208,,Surface,,,,1,241,
Ellipticity (oblate),0.0754072,,Surface,,,,1,251,
Ellipticity (oblate),0.363158,,Surface,,,,1,252,
Ellipticity (oblate),0.354613,,Surface,,,,1,254,
Ellipticity (oblate),0.625888,,Surface,,,,1,255,
Ellipticity (oblate),0.325015,,Surface,,,,1,256,
Ellipticity (oblate),0.334656,,Surface,,,,1,262,
Ellipticity (oblate),0.126379,,Surface,,,,1,265,
Ellipticity (oblate),0.339016,,Surface,,,,1,266,
Ellipticity (oblate),0.0749896,,Surface,,,,1,269,
Ellipticity (oblate),0.3778,,Surface,,,,1,270,
Ellipticity (oblate),0.313114,,Surface,,,,1,271,
Ellipticity (oblate),0.145914,,Surface,,,,1,272,
Ellipticity (oblate),0.140822,,Surface,,,,1,273,
Ellipticity (oblate),0.518681,,Surface,,,,1,274,
Ellipticity (oblate),0.132245,,Surface,,,,1,275,
Ellipticity (oblate),0.204171,,Surface,,,,1,276,
Ellipticity (oblate),0.320542,,Surface,,,,1,280,
Ellipticity (oblate),0.275733,,Surface,,,,1,282,
Ellipticity (oblate),0.199722,,Surface,,,,1,283,
Ellipticity (oblate),0.242287,,Surface,,,,1,285,
Ellipticity (oblate),0.252582,,Surface,,,,1,286,
Ellipticity (oblate),0.217239,,Surface,,,,1,290,
Ellipticity (oblate),0.277308,,Surface,,,,1,291,
Ellipticity (oblate),0.326143,,Surface,,,,1,295,
Ellipticity (oblate),0.37524,,Surface,,,,1,300,
Ellipticity (oblate),0.743575,,Surface,,,,1,301,
Ellipticity (prolate),0.315916,,Surface,,,,1,238,
Ellipticity (prolate),0.337763,,Surface,,,,1,241,
Ellipticity (prolate),0.350582,,Surface,,,,1,251,
Ellipticity (prolate),0.196162,,Surface,,,,1,252,
Ellipticity (prolate),0.508413,,Surface,,,,1,254,
Ellipticity (prolate),0.228549,,Surface,,,,1,255,
Ellipticity (prolate),0.589716,,Surface,,,,1,256,
Ellipticity (prolate),0.57578,,Surface,,,,1,262,
Ellipticity (prolate),0.776175,,Surface,,,,1,265,
Ellipticity (prolate),0.450545,,Surface,,,,1,266,
Ellipticity (prolate),0.634333,,Surface,,,,1,269,
Ellipticity (prolate),0.387999,,Surface,,,,1,270,
Ellipticity (prolate),0.611152,,Surface,,,,1,271,
Ellipticity (prolate),0.422751,,Surface,,,,1,272,
Ellipticity (prolate),0.33107,,Surface,,,,1,273,
Ellipticity (prolate),0.333688,,Surface,,,,1,274,
Ellipticity (prolate),0.785875,,Surface,,,,1,275,
Ellipticity (prolate),0.594076,,Surface,,,,1,276,
Ellipticity (prolate),0.497875,,Surface,,,,1,280,
Ellipticity (prolate),0.682228,,Surface,,,,1,282,
Ellipticity (prolate),0.801944,,Surface,,,,1,283,
Ellipticity (prolate),0.730182,,Surface,,,,1,285,
Ellipticity (prolate),0.71912,,Surface,,,,1,286,
Ellipticity (prolate),0.431312,,Surface,,,,1,290,
Ellipticity (prolate),0.643995,,Surface,,,,1,291,
Ellipticity (prolate),0.37605,,Surface,,,,1,295,
Ellipticity (prolate),0.0115737,,Surface,,,,1,300,
Ellipticity (prolate),0.100399,,Surface,,,,1,301,
Generation,0,,Surface,,,,1,238,
Generation,0,,Surface,,,,1,241,
Generation,0,,Surface,,,,1,251,
Generation,0,,Surface,,,,1,252,
Generation,0,,Surface,,,,1,254,
Generation,0,,Surface,,,,1,255,
Generation,0,,Surface,,,,1,256,
Generation,0,,Surface,,,,1,262,
Generation,0,,Surface,,,,1,265,
Generation,0,,Surface,,,,1,266,
Generation,0,,Surface,,,,1,269,
Generation,0,,Surface,,,,1,270,
Generation,0,,Surface,,,,1,271,
Generation,0,,Surface,,,,1,272,
Generation,0,,Surface,,,,1,273,
Generation,0,,Surface,,,,1,274,
Generation,0,,Surface,,,,1,275,
Generation,0,,Surface,,,,1,276,
Generation,0,,Surface,,,,1,280,
Generation,0,,Surface,,,,1,282,
Generation,0,,Surface,,,,1,283,
Generation,0,,Surface,,,,1,285,
Generation,0,,Surface,,,,1,286,
Generation,0,,Surface,,,,1,290,
Generation,0,,Surface,,,,1,291,
Generation,0,,Surface,,,,1,295,
Generation,0,,Surface,,,,1,300,
Generation,0,,Surface,,,,1,301,
Intensity Max,5,,Surface,1,,Image 1,1,238,
Intensity Max,21,,Surface,2,,Image 1,1,238,
Intensity Max,77,,Surface,3,,Image 1,1,238,
Intensity Max,30,,Surface,4,,Image 1,1,238,
Intensity Max,5,,Surface,5,,Image 1,1,238,
Intensity Max,21,,Surface,6,,Image 1,1,238,
Intensity Max,31,,Surface,1,,Image 1,1,241,
Intensity Max,24,,Surface,2,,Image 1,1,241,
Intensity Max,59,,Surface,3,,Image 1,1,241,
Intensity Max,78,,Surface,4,,Image 1,1,241,
Intensity Max,31,,Surface,5,,Image 1,1,241,
Intensity Max,24,,Surface,6,,Image 1,1,241,
Intensity Max,59,,Surface,1,,Image 1,1,251,
Intensity Max,45,,Surface,2,,Image 1,1,251,
Intensity Max,107,,Surface,3,,Image 1,1,251,
Intensity Max,101,,Surface,4,,Image 1,1,251,
Intensity Max,59,,Surface,5,,Image 1,1,251,
Intensity Max,45,,Surface,6,,Image 1,1,251,
Intensity Max,16,,Surface,1,,Image 1,1,252,
Intensity Max,33,,Surface,2,,Image 1,1,252,
Intensity Max,73,,Surface,3,,Image 1,1,252,
Intensity Max,62,,Surface,4,,Image 1,1,252,
Intensity Max,16,,Surface,5,,Image 1,1,252,
Intensity Max,33,,Surface,6,,Image 1,1,252,
Intensity Max,12,,Surface,1,,Image 1,1,254,
Intensity Max,37,,Surface,2,,Image 1,1,254,
Intensity Max,39,,Surface,3,,Image 1,1,254,
Intensity Max,32,,Surface,4,,Image 1,1,254,
Intensity Max,12,,Surface,5,,Image 1,1,254,
Intensity Max,37,,Surface,6,,Image 1,1,254,
Intensity Max,3,,Surface,1,,Image 1,1,255,
Intensity Max,43,,Surface,2,,Image 1,1,255,
Intensity Max,42,,Surface,3,,Image 1,1,255,
Intensity Max,24,,Surface,4,,Image 1,1,255,
Intensity Max,3,,Surface,5,,Image 1,1,255,
Intensity Max,43,,Surface,6,,Image 1,1,255,
Intensity Max,7,,Surface,1,,Image 1,1,256,
Intensity Max,44,,Surface,2,,Image 1,1,256,
Intensity Max,39,,Surface,3,,Image 1,1,256,
Intensity Max,107,,Surface,4,,Image 1,1,256,
Intensity Max,7,,Surface,5,,Image 1,1,256,
Intensity Max,44,,Surface,6,,Image 1,1,256,
Intensity Max,2,,Surface,1,,Image 1,1,262,
Intensity Max,20,,Surface,2,,Image 1,1,262,
Intensity Max,55,,Surface,3,,Image 1,1,262,
Intensity Max,32,,Surface,4,,Image 1,1,262,
Intensity Max,2,,Surface,5,,Image 1,1,262,
Intensity Max,20,,Surface,6,,Image 1,1,262,
Intensity Max,52,,Surface,1,,Image 1,1,265,
Intensity Max,21,,Surface,2,,Image 1,1,265,
Intensity Max,25,,Surface,3,,Image 1,1,265,
Intensity Max,38,,Surface,4,,Image 1,1,265,
Intensity Max,52,,Surface,5,,Image 1,1,265,
Intensity Max,21,,Surface,6,,Image 1,1,265,
Intensity Max,5,,Surface,1,,Image 1,1,266,
Intensity Max,27,,Surface,2,,Image 1,1,266,
Intensity Max,35,,Surface,3,,Image 1,1,266,
Intensity Max,56,,Surface,4,,Image 1,1,266,
Intensity Max,5,,Surface,5,,Image 1,1,266,
Intensity Max,27,,Surface,6,,Image 1,1,266,
Intensity Max,26,,Surface,1,,Image 1,1,269,
Intensity Max,36,,Surface,2,,Image 1,1,269,
Intensity Max,46,,Surface,3,,Image 1,1,269,
Intensity Max,70,,Surface,4,,Image 1,1,269,
Intensity Max,26,,Surface,5,,Image 1,1,269,
Intensity Max,36,,Surface,6,,Image 1,1,269,
Intensity Max,5,,Surface,1,,Image 1,1,270,
Intensity Max,34,,Surface,2,,Image 1,1,270,
Intensity Max,46,,Surface,3,,Image 1,1,270,
Intensity Max,60,,Surface,4,,Image 1,1,270,
Intensity Max,5,,Surface,5,,Image 1,1,270,
Intensity Max,34,,Surface,6,,Image 1,1,270,
Intensity Max,3,,Surface,1,,Image 1,1,271,
Intensity Max,16,,Surface,2,,Image 1,1,271,
Intensity Max,75,,Surface,3,,Image 1,1,271,
Intensity Max,58,,Surface,4,,Image 1,1,271,
Intensity Max,3,,Surface,5,,Image 1,1,271,
Intensity Max,16,,Surface,6,,Image 1,1,271,
Intensity Max,31,,Surface,1,,Image 1,1,272,
Intensity Max,45,,Surface,2,,Image 1,1,272,
Intensity Max,75,,Surface,3,,Image 1,1,272,
Intensity Max,80,,Surface,4,,Image 1,1,272,
Intensity Max,31,,Surface,5,,Image 1,1,272,
Intensity Max,45,,Surface,6,,Image 1,1,272,
Intensity Max,14,,Surface,1,,Image 1,1,273,
Intensity Max,47,,Surface,2,,Image 1,1,273,
Intensity Max,71,,Surface,3,,Image 1,1,273,
Intensity Max,52,,Surface,4,,Image 1,1,273,
Intensity Max,14,,Surface,5,,Image 1,1,273,
Intensity Max,47,,Surface,6,,Image 1,1,273,
Intensity Max,4,,Surface,1,,Image 1,1,274,
Intensity Max,59,,Surface,2,,Image 1,1,274,
Intensity Max,51,,Surface,3,,Image 1,1,274,
Intensity Max,39,,Surface,4,,Image 1,1,274,
Intensity Max,4,,Surface,5,,Image 1,1,274,
Intensity Max,59,,Surface,6,,Image 1,1,274,
Intensity Max,2,,Surface,1,,Image 1,1,275,
Intensity Max,42,,Surface,2,,Image 1,1,275,
Intensity Max,42,,Surface,3,,Image 1,1,275,
Intensity Max,48,,Surface,4,,Image 1,1,275,
Intensity Max,2,,Surface,5,,Image 1,1,275,
Intensity Max,42,,Surface,6,,Image 1,1,275,
Intensity Max,3,,Surface,1,,Image 1,1,276,
Intensity Max,19,,Surface,2,,Image 1,1,276,
Intensity Max,56,,Surface,3,,Image 1,1,276,
Intensity Max,52,,Surface,4,,Image 1,1,276,
Intensity Max,3,,Surface,5,,Image 1,1,276,
Intensity Max,19,,Surface,6,,Image 1,1,276,
Intensity Max,12,,Surface,1,,Image 1,1,280,
Intensity Max,14,,Surface,2,,Image 1,1,280,
Intensity Max,58,,Surface,3,,Image 1,1,280,
Intensity Max,61,,Surface,4,,Image 1,1,280,
Intensity Max,12,,Surface,5,,Image 1,1,280,
Intensity Max,14,,Surface,6,,Image 1,1,280,
Intensity Max,6,,Surface,1,,Image 1,1,282,
Intensity Max,25,,Surface,2,,Image 1,1,282,
Intensity Max,42,,Surface,3,,Image 1,1,282,
Intensity Max,81,,Surface,4,,Image 1,1,282,
Intensity Max,6,,Surface,5,,Image 1,1,282,
Intensity Max,25,,Surface,6,,Image 1,1,282,
Intensity Max,22,,Surface,1,,Image 1,1,283,
Intensity Max,40,,Surface,2,,Image 1,1,283,
Intensity Max,43,,Surface,3,,Image 1,1,283,
Intensity Max,72,,Surface,4,,Image 1,1,283,
Intensity Max,22,,Surface,5,,Image 1,1,283,
Intensity Max,40,,Surface,6,,Image 1,1,283,
Intensity Max,8,,Surface,1,,Image 1,1,285,
Intensity Max,19,,Surface,2,,Image 1,1,285,
Intensity Max,85,,Surface,3,,Image 1,1,285,
Intensity Max,43,,Surface,4,,Image 1,1,285,
Intensity Max,8,,Surface,5,,Image 1,1,285,
Intensity Max,19,,Surface,6,,Image 1,1,285,
Intensity Max,7,,Surface,1,,Image 1,1,286,
Intensity Max,27,,Surface,2,,Image 1,1,286,
Intensity Max,46,,Surface,3,,Image 1,1,286,
Intensity Max,49,,Surface,4,,Image 1,1,286,
Intensity Max,7,,Surface,5,,Image 1,1,286,
Intensity Max,27,,Surface,6,,Image 1,1,286,
Intensity Max,15,,Surface,1,,Image 1,1,290,
Intensity Max,27,,Surface,2,,Image 1,1,290,
Intensity Max,62,,Surface,3,,Image 1,1,290,
Intensity Max,82,,Surface,4,,Image 1,1,290,
Intensity Max,15,,Surface,5,,Image 1,1,290,
Intensity Max,27,,Surface,6,,Image 1,1,290,
Intensity Max,6,,Surface,1,,Image 1,1,291,
Intensity Max,28,,Surface,2,,Image 1,1,291,
Intensity Max,62,,Surface,3,,Image 1,1,291,
Intensity Max,107,,Surface,4,,Image 1,1,291,
Intensity Max,6,,Surface,5,,Image 1,1,291,
Intensity Max,28,,Surface,6,,Image 1,1,291,
Intensity Max,3,,Surface,1,,Image 1,1,295,
Intensity Max,22,,Surface,2,,Image 1,1,295,
