
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.31979,um^2,Surface,,,,1,33,
Area,5.19953,um^2,Surface,,,,1,34,
Area,11.0291,um^2,Surface,,,,1,35,
Area,5.15143,um^2,Surface,,,,1,36,
Area,13.6567,um^2,Surface,,,,1,38,
Area,2.73695,um^2,Surface,,,,1,41,
Area,1.98412,um^2,Surface,,,,1,47,
Area,3.14387,um^2,Surface,,,,1,52,
Distance from Origin,125.693,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,113.143,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,106.799,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,154.613,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,131.936,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,212.53,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,187.65,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,109.976,um,Surface,,Distance from Origin,,1,52,
Distance to Image Border XY,57.9803,um,Surface,,,Image 1,1,33,
Distance to Image Border XY,35.9549,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,44.5711,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,28.7479,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,57.9712,um,Surface,,,Image 1,1,38,
Distance to Image Border XY,10.6603,um,Surface,,,Image 1,1,41,
Distance to Image Border XY,21.1618,um,Surface,,,Image 1,1,47,
Distance to Image Border XY,38.185,um,Surface,,,Image 1,1,52,
Ellipticity (oblate),0.0516602,,Surface,,,,1,33,
Ellipticity (oblate),0.321479,,Surface,,,,1,34,
Ellipticity (oblate),0.473308,,Surface,,,,1,35,
Ellipticity (oblate),0.285208,,Surface,,,,1,36,
Ellipticity (oblate),0.326078,,Surface,,,,1,38,
Ellipticity (oblate),0.462262,,Surface,,,,1,41,
Ellipticity (oblate),0.445685,,Surface,,,,1,47,
Ellipticity (oblate),0.248354,,Surface,,,,1,52,
