
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,18.5656,um^2,Surface,,,,1,155,
Area,19.2618,um^2,Surface,,,,1,157,
Area,8.89425,um^2,Surface,,,,1,158,
Area,7.79822,um^2,Surface,,,,1,159,
Area,6.03853,um^2,Surface,,,,1,160,
Area,9.50584,um^2,Surface,,,,1,161,
Area,3.75754,um^2,Surface,,,,1,162,
Area,5.97599,um^2,Surface,,,,1,163,
Area,4.53861,um^2,Surface,,,,1,164,
Area,47.3094,um^2,Surface,,,,1,166,
Area,5.02086,um^2,Surface,,,,1,167,
Area,5.72632,um^2,Surface,,,,1,168,
Area,4.18499,um^2,Surface,,,,1,169,
Area,11.0262,um^2,Surface,,,,1,170,
Area,114.285,um^2,Surface,,,,1,171,
Area,9.80578,um^2,Surface,,,,1,172,
Area,5.82994,um^2,Surface,,,,1,180,
Area,16.792,um^2,Surface,,,,1,182,
Area,32.3603,um^2,Surface,,,,1,183,
Area,17.4619,um^2,Surface,,,,1,184,
Area,22.7288,um^2,Surface,,,,1,186,
Area,7.20641,um^2,Surface,,,,1,187,
Area,5.05865,um^2,Surface,,,,1,189,
Area,14.6156,um^2,Surface,,,,1,190,
Area,28.4604,um^2,Surface,,,,1,193,
Area,16.8701,um^2,Surface,,,,1,209,
Area,18.0806,um^2,Surface,,,,1,214,
Area,17.2133,um^2,Surface,,,,1,216,
Area,42.9165,um^2,Surface,,,,1,217,
Area,10.1505,um^2,Surface,,,,1,218,
Area,13.2836,um^2,Surface,,,,1,220,
Area,5.30902,um^2,Surface,,,,1,224,
Area,14.3773,um^2,Surface,,,,1,226,
Area,40.1389,um^2,Surface,,,,1,232,
Area,50.6231,um^2,Surface,,,,1,233,
Distance from Origin,129.408,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,124,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,128.097,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,140.359,um,Surface,,Distance from Origin,,1,159,
Distance from Origin,142.834,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,150.44,um,Surface,,Distance from Origin,,1,161,
Distance from Origin,156.858,um,Surface,,Distance from Origin,,1,162,
Distance from Origin,157.336,um,Surface,,Distance from Origin,,1,163,
Distance from Origin,130.282,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,166.545,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,177.948,um,Surface,,Distance from Origin,,1,167,
Distance from Origin,136.222,um,Surface,,Distance from Origin,,1,168,
Distance from Origin,154.741,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,155.246,um,Surface,,Distance from Origin,,1,170,
Distance from Origin,144.746,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,154.914,um,Surface,,Distance from Origin,,1,172,
Distance from Origin,129.563,um,Surface,,Distance from Origin,,1,180,
Distance from Origin,117.358,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,185.017,um,Surface,,Distance from Origin,,1,183,
Distance from Origin,180.129,um,Surface,,Distance from Origin,,1,184,
Distance from Origin,180.166,um,Surface,,Distance from Origin,,1,186,
Distance from Origin,130.006,um,Surface,,Distance from Origin,,1,187,
Distance from Origin,97.6436,um,Surface,,Distance from Origin,,1,189,
Distance from Origin,98.9351,um,Surface,,Distance from Origin,,1,190,
Distance from Origin,130.614,um,Surface,,Distance from Origin,,1,193,
Distance from Origin,132.373,um,Surface,,Distance from Origin,,1,209,
Distance from Origin,109.17,um,Surface,,Distance from Origin,,1,214,
Distance from Origin,110.392,um,Surface,,Distance from Origin,,1,216,
Distance from Origin,133.963,um,Surface,,Distance from Origin,,1,217,
Distance from Origin,133.299,um,Surface,,Distance from Origin,,1,218,
Distance from Origin,134.311,um,Surface,,Distance from Origin,,1,220,
Distance from Origin,129.498,um,Surface,,Distance from Origin,,1,224,
Distance from Origin,126.965,um,Surface,,Distance from Origin,,1,226,
Distance from Origin,120.225,um,Surface,,Distance from Origin,,1,232,
Distance from Origin,106.946,um,Surface,,Distance from Origin,,1,233,
Distance to Image Border XY,59.3786,um,Surface,,,Image 1,1,155,
Distance to Image Border XY,56.7418,um,Surface,,,Image 1,1,157,
Distance to Image Border XY,57.7574,um,Surface,,,Image 1,1,158,
Distance to Image Border XY,59.3968,um,Surface,,,Image 1,1,159,
Distance to Image Border XY,55.8819,um,Surface,,,Image 1,1,160,
Distance to Image Border XY,44.3672,um,Surface,,,Image 1,1,161,
Distance to Image Border XY,45.4907,um,Surface,,,Image 1,1,162,
Distance to Image Border XY,46.9222,um,Surface,,,Image 1,1,163,
Distance to Image Border XY,55.24,um,Surface,,,Image 1,1,164,
Distance to Image Border XY,33.2411,um,Surface,,,Image 1,1,166,
Distance to Image Border XY,32.929,um,Surface,,,Image 1,1,167,
Distance to Image Border XY,53.0579,um,Surface,,,Image 1,1,168,
Distance to Image Border XY,35.8549,um,Surface,,,Image 1,1,169,
Distance to Image Border XY,29.6567,um,Surface,,,Image 1,1,170,
Distance to Image Border XY,37.2213,um,Surface,,,Image 1,1,171,
Distance to Image Border XY,32.0635,um,Surface,,,Image 1,1,172,
Distance to Image Border XY,52.9357,um,Surface,,,Image 1,1,180,
Distance to Image Border XY,47.9407,um,Surface,,,Image 1,1,182,
Distance to Image Border XY,25.0051,um,Surface,,,Image 1,1,183,
Distance to Image Border XY,34.5434,um,Surface,,,Image 1,1,184,
Distance to Image Border XY,29.7176,um,Surface,,,Image 1,1,186,
Distance to Image Border XY,61.2444,um,Surface,,,Image 1,1,187,
Distance to Image Border XY,18.8198,um,Surface,,,Image 1,1,189,
Distance to Image Border XY,17.2405,um,Surface,,,Image 1,1,190,
Distance to Image Border XY,54.5557,um,Surface,,,Image 1,1,193,
Distance to Image Border XY,58.2012,um,Surface,,,Image 1,1,209,
Distance to Image Border XY,37.822,um,Surface,,,Image 1,1,214,
Distance to Image Border XY,38.8458,um,Surface,,,Image 1,1,216,
Distance to Image Border XY,57.6794,um,Surface,,,Image 1,1,217,
Distance to Image Border XY,57.5772,um,Surface,,,Image 1,1,218,
Distance to Image Border XY,60.5545,um,Surface,,,Image 1,1,220,
Distance to Image Border XY,56.8042,um,Surface,,,Image 1,1,224,
Distance to Image Border XY,51.0397,um,Surface,,,Image 1,1,226,
Distance to Image Border XY,37.8537,um,Surface,,,Image 1,1,232,
Distance to Image Border XY,24.6188,um,Surface,,,Image 1,1,233,
Ellipticity (oblate),0.0980947,,Surface,,,,1,155,
Ellipticity (oblate),0.210335,,Surface,,,,1,157,
Ellipticity (oblate),0.087416,,Surface,,,,1,158,
Ellipticity (oblate),0.0518757,,Surface,,,,1,159,
Ellipticity (oblate),0.408103,,Surface,,,,1,160,
Ellipticity (oblate),0.271622,,Surface,,,,1,161,
Ellipticity (oblate),0.5994,,Surface,,,,1,162,
Ellipticity (oblate),0.204826,,Surface,,,,1,163,
Ellipticity (oblate),0.38813,,Surface,,,,1,164,
Ellipticity (oblate),0.0627691,,Surface,,,,1,166,
Ellipticity (oblate),0.367637,,Surface,,,,1,167,
Ellipticity (oblate),0.723267,,Surface,,,,1,168,
Ellipticity (oblate),0.356431,,Surface,,,,1,169,
Ellipticity (oblate),0.11723,,Surface,,,,1,170,
Ellipticity (oblate),0.0543499,,Surface,,,,1,171,
Ellipticity (oblate),0.0991037,,Surface,,,,1,172,
Ellipticity (oblate),0.462259,,Surface,,,,1,180,
Ellipticity (oblate),0.100588,,Surface,,,,1,182,
Ellipticity (oblate),0.0774097,,Surface,,,,1,183,
Ellipticity (oblate),0.0964293,,Surface,,,,1,184,
Ellipticity (oblate),0.638507,,Surface,,,,1,186,
Ellipticity (oblate),0.280545,,Surface,,,,1,187,
Ellipticity (oblate),0.481762,,Surface,,,,1,189,
