
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,1.47644,um^2,Dendrite,,0,,1,,1,,100000001,510000000001,
Dendrite Area,19.8975,um^2,Dendrite,,1,,2,,1,,100000001,510000000004,
Dendrite Area,33.2052,um^2,Dendrite,,2,,2,,1,,100000001,510000000045,
Dendrite Area,16.0644,um^2,Dendrite,,3,,2,,1,,100000001,510000000119,
Dendrite Area,34.8802,um^2,Dendrite,,4,,2,,1,,100000001,510000000158,
Dendrite Area,13.6865,um^2,Dendrite,,5,,2,,1,,100000001,510000000254,
Dendrite Area,6.22898,um^2,Dendrite,,6,,3,,1,,100000001,510000000287,
Dendrite Area,23.4109,um^2,Dendrite,,1,,1,,1,,100000001,510000000301,
Dendrite Area,20.8515,um^2,Dendrite,,2,,1,,1,,100000001,510000000341,
Dendrite Area,12.9749,um^2,Dendrite,,3,,2,,1,,100000001,510000000381,
Dendrite Area,21.8614,um^2,Dendrite,,4,,2,,1,,100000001,510000000410,
Dendrite Area,19.9414,um^2,Dendrite,,5,,3,,1,,100000001,510000000441,
Dendrite Area,34.8662,um^2,Dendrite,,6,,3,,1,,100000001,510000000488,
Dendrite Area,24.7622,um^2,Dendrite,,7,,4,,1,,100000001,510000000565,
Dendrite Area,30.6211,um^2,Dendrite,,2,,3,,1,,100000001,510000000662,
Dendrite Area,44.1887,um^2,Dendrite,,3,,3,,1,,100000001,510000000749,
Dendrite Area,14.5216,um^2,Dendrite,,0,,1,,1,,100000001,510000000887,
Dendrite Area,13.429,um^2,Dendrite,,1,,1,,1,,100000001,510000000918,
Dendrite Area,2.30447,um^2,Dendrite,,2,,2,,1,,100000001,510000000953,
Dendrite Area,26.2871,um^2,Dendrite,,3,,2,,1,,100000001,510000000960,
Dendrite Area,14.4447,um^2,Dendrite,,4,,2,,1,,100000001,510000001023,
Dendrite Area,26.7761,um^2,Dendrite,,5,,3,,1,,100000001,510000001051,
Dendrite Area,7.86254,um^2,Dendrite,,6,,3,,1,,100000001,510000001119,
Dendrite Area,22.423,um^2,Dendrite,,1,,2,,1,,100000001,510000001131,
Dendrite Area,35.1803,um^2,Dendrite,,2,,2,,1,,100000001,510000001190,
Dendrite Area,4.9561,um^2,Dendrite,,3,,2,,1,,100000001,510000001273,
Dendrite Area,4.31641,um^2,Dendrite,,4,,2,,1,,100000001,510000001285,
Dendrite Area,11.21,um^2,Dendrite,,5,,2,,1,,100000001,510000001298,
Dendrite Area,9.54406,um^2,Dendrite,,6,,2,,1,,100000001,510000001325,
Dendrite Area,36.8065,um^2,Dendrite,,7,,2,,1,,100000001,510000001351,
Dendrite Area,8.39578,um^2,Dendrite,,4,,3,,1,,100000001,510000001466,
Dendrite Area,2.28343,um^2,Dendrite,,5,,3,,1,,100000001,510000001492,
Dendrite Area,18.7674,um^2,Dendrite,,4,,1,,1,,100000001,510000001499,
Dendrite Area,3.61314,um^2,Dendrite,,5,,1,,1,,100000001,510000001541,
Dendrite Area,9.87423,um^2,Dendrite,,6,,1,,1,,100000001,510000001547,
Dendrite Area,18.9827,um^2,Dendrite,,7,,1,,1,,100000001,510000001568,
Dendrite Area,16.5043,um^2,Dendrite,,8,,2,,1,,100000001,510000001611,
Dendrite Area,24.7628,um^2,Dendrite,,4,,3,,1,,100000001,510000001661,
Dendrite Area,10.8186,um^2,Dendrite,,5,,4,,1,,100000001,510000001717,
Dendrite Area,33.5235,um^2,Dendrite,,6,,4,,1,,100000001,510000001749,
Dendrite Area,14.6788,um^2,Dendrite,,7,,3,,1,,100000001,510000001849,
Dendrite Area,5.49221,um^2,Dendrite,,8,,4,,1,,100000001,510000001885,
Dendrite Area,21.9744,um^2,Dendrite,,6,,2,,1,,100000001,510000001897,
Dendrite Area,14.9515,um^2,Dendrite,,5,,2,,1,,100000001,510000001939,
Dendrite Area,10.3702,um^2,Dendrite,,6,,2,,1,,100000001,510000001974,
Dendrite Area,2.99978,um^2,Dendrite,,7,,3,,1,,100000001,510000002001,
Dendrite Area,5.60135,um^2,Dendrite,,5,,2,,1,,100000001,510000002010,
Dendrite Area,31.0775,um^2,Dendrite,,6,,3,,1,,100000001,510000002019,
Dendrite Area,3.09562,um^2,Dendrite,,7,,4,,1,,100000001,510000002097,
Dendrite Area,23.2969,um^2,Dendrite,,7,,3,,1,,100000001,510000002132,
Dendrite Area,16.5162,um^2,Dendrite,,7,,2,,1,,100000001,510000002233,
Dendrite Area,6.12095,um^2,Dendrite,,8,,2,,1,,100000001,510000002276,
Dendrite Area,4.46104,um^2,Dendrite,,9,,2,,1,,100000001,510000002294,
Dendrite Area,17.0066,um^2,Dendrite,,10,,2,,1,,100000001,510000002302,
Dendrite Area,4.61874,um^2,Dendrite,,11,,3,,1,,100000001,510000002342,
Dendrite Area,11.9699,um^2,Dendrite,,6,,5,,1,,100000001,510000002351,
Dendrite Area,17.8889,um^2,Dendrite,,7,,6,,1,,100000001,510000002382,
Dendrite Area,29.5763,um^2,Dendrite,,7,,3,,1,,100000001,510000002429,
Dendrite Area,4.14458,um^2,Dendrite,,8,,1,,1,,100000001,510000002498,
Dendrite Area,4.19314,um^2,Dendrite,,9,,1,,1,,100000001,510000002507,
Dendrite Area,39.4165,um^2,Dendrite,,10,,1,,1,,100000001,510000002518,
Dendrite Area,4.2286,um^2,Dendrite,,7,,4,,1,,100000001,510000002587,
Dendrite Area,4.72032,um^2,Dendrite,,8,,4,,1,,100000001,510000002598,
Dendrite Area,23.6379,um^2,Dendrite,,9,,5,,1,,100000001,510000002609,
Dendrite Area,24.116,um^2,Dendrite,,4,,3,,1,,100000001,510000002737,
Dendrite Area,10.6991,um^2,Dendrite,,9,,2,,1,,100000001,510000002778,
Dendrite Area,7.28382,um^2,Dendrite,,8,,3,,1,,100000001,510000002807,
Dendrite Area,8.26537,um^2,Dendrite,,6,,4,,1,,100000001,510000002833,
Dendrite Area,9.38635,um^2,Dendrite,,7,,5,,1,,100000001,510000002853,
Dendrite Area,9.21481,um^2,Dendrite,,4,,3,,1,,100000001,510000002947,
Dendrite Area,16.2158,um^2,Dendrite,,4,,3,,1,,100000001,510000002979,
Dendrite Area,1.32268,um^2,Dendrite,,11,,2,,1,,100000001,510000003011,
Dendrite Area,7.85255,um^2,Dendrite,,7,,4,,1,,100000001,510000003078,
Dendrite Area,33.1528,um^2,Dendrite,,2,,1,,1,,100000001,510000003098,
Dendrite Area,17.0411,um^2,Dendrite,,2,,3,,1,,100000001,510000003179,
Dendrite Area,11.2793,um^2,Dendrite,,5,,4,,1,,100000001,510000003232,
Dendrite Area,15.9992,um^2,Dendrite,,8,,3,,1,,100000001,510000003307,
Dendrite Area,13.2647,um^2,Dendrite,,6,,4,,1,,100000001,510000003349,
Dendrite Area,8.12254,um^2,Dendrite,,7,,4,,1,,100000001,510000003447,
Dendrite Area,13.2722,um^2,Dendrite,,8,,5,,1,,100000001,510000003575,
Dendrite Area,6.21303,um^2,Dendrite,,4,,4,,1,,100000001,510000003714,
Dendrite Area,27.8636,um^2,Dendrite,,3,,4,,1,,100000001,510000003735,
Dendrite Area,10.5532,um^2,Dendrite,,5,,3,,1,,100000001,510000003843,
Dendrite Area,18.2451,um^2,Dendrite,,6,,3,,1,,100000001,510000003871,
