
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.94746,um^2,Surface,,,,1,132,
Area,5.86873,um^2,Surface,,,,1,133,
Area,11.8068,um^2,Surface,,,,1,136,
Area,4.44749,um^2,Surface,,,,1,137,
Area,8.02369,um^2,Surface,,,,1,138,
Area,4.30399,um^2,Surface,,,,1,139,
Area,4.57768,um^2,Surface,,,,1,143,
Area,6.50825,um^2,Surface,,,,1,144,
Area,15.7094,um^2,Surface,,,,1,145,
Area,4.65461,um^2,Surface,,,,1,146,
Area,11.3858,um^2,Surface,,,,1,147,
Area,10.2919,um^2,Surface,,,,1,148,
Area,6.30465,um^2,Surface,,,,1,152,
Area,8.1692,um^2,Surface,,,,1,153,
Area,10.6153,um^2,Surface,,,,1,154,
Area,12.4112,um^2,Surface,,,,1,155,
Area,5.12768,um^2,Surface,,,,1,158,
Area,31.9882,um^2,Surface,,,,1,159,
Area,3.06895,um^2,Surface,,,,1,165,
Area,13.0915,um^2,Surface,,,,1,166,
Area,5.91612,um^2,Surface,,,,1,167,
Area,14.8242,um^2,Surface,,,,1,170,
Area,3.50874,um^2,Surface,,,,1,173,
Area,17.04,um^2,Surface,,,,1,174,
Area,13.533,um^2,Surface,,,,1,176,
Area,5.36209,um^2,Surface,,,,1,178,
Area,5.08921,um^2,Surface,,,,1,181,
Area,25.5816,um^2,Surface,,,,1,182,
Area,7.63568,um^2,Surface,,,,1,188,
Area,6.76147,um^2,Surface,,,,1,189,
Area,3.67587,um^2,Surface,,,,1,191,
Area,12.3016,um^2,Surface,,,,1,192,
Area,5.06268,um^2,Surface,,,,1,193,
Area,11.9251,um^2,Surface,,,,1,194,
Area,5.21795,um^2,Surface,,,,1,195,
Area,13.3121,um^2,Surface,,,,1,196,
Area,18.4088,um^2,Surface,,,,1,198,
Area,127.941,um^2,Surface,,,,1,200,
Area,6.96326,um^2,Surface,,,,1,201,
Area,34.7091,um^2,Surface,,,,1,204,
Distance from Origin,154.665,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,167.283,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,149.78,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,152.875,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,124.015,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,161.269,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,81.7534,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,97.5052,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,103.638,um,Surface,,Distance from Origin,,1,145,
Distance from Origin,77.1232,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,73.5185,um,Surface,,Distance from Origin,,1,147,
Distance from Origin,150.2,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,110.442,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,136.26,um,Surface,,Distance from Origin,,1,153,
Distance from Origin,140.251,um,Surface,,Distance from Origin,,1,154,
Distance from Origin,107.396,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,169.175,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,129.862,um,Surface,,Distance from Origin,,1,159,
Distance from Origin,129.163,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,126.451,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,132.162,um,Surface,,Distance from Origin,,1,167,
