
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0166102,um^2,Surface,,,,1,0,
Area,0.0690166,um^2,Surface,,,,1,1,
Area,4.2632,um^2,Surface,,,,1,2,
Area,2.53265,um^2,Surface,,,,1,3,
Area,2.38899,um^2,Surface,,,,1,4,
Area,3.02699,um^2,Surface,,,,1,5,
Area,0.0166081,um^2,Surface,,,,1,6,
Area,0.0166081,um^2,Surface,,,,1,7,
Area,7.03854,um^2,Surface,,,,1,8,
Area,14.5823,um^2,Surface,,,,1,9,
Contact surface area,0.0075,um,Surface,,,,,0,
Contact surface area,0.0075,um,Surface,,,,,1,
Contact surface area,4.1225,um,Surface,,,,,2,
Contact surface area,8.3475,um,Surface,,,,,3,
Contact surface area,1.415,um,Surface,,,,,4,
Contact surface area,1.2875,um,Surface,,,,,5,
Contact surface area,0.0075,um,Surface,,,,,6,
Contact surface area,2.335,um,Surface,,,,,7,
Contact surface area,0.03,um,Surface,,,,,8,
Contact surface area,1.7325,um,Surface,,,,,9,
Distance from Origin,126.409,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,131.555,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,126.108,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,112.477,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,112.832,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,131.992,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,118.896,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,119.032,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,119.425,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,127.262,um,Surface,,Distance from Origin,,1,9,
Distance to Image Border XY,44.175,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,44.625,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,43.7273,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,42.6829,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,42.0984,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,44.5466,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,38.775,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,38.775,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,37.7783,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,29.7739,um,Surface,,,Image 1,1,9,
Ellipticity (oblate),0.132976,,Surface,,,,1,0,
Ellipticity (oblate),0.350569,,Surface,,,,1,1,
Ellipticity (oblate),0.61804,,Surface,,,,1,2,
Ellipticity (oblate),0.551826,,Surface,,,,1,3,
Ellipticity (oblate),0.495508,,Surface,,,,1,4,
Ellipticity (oblate),0.742954,,Surface,,,,1,5,
Ellipticity (oblate),0.133026,,Surface,,,,1,6,
Ellipticity (oblate),0.133025,,Surface,,,,1,7,
Ellipticity (oblate),0.700674,,Surface,,,,1,8,
Ellipticity (oblate),0.163107,,Surface,,,,1,9,
Ellipticity (prolate),0.914275,,Surface,,,,1,0,
Ellipticity (prolate),0.171075,,Surface,,,,1,1,
Ellipticity (prolate),0.211341,,Surface,,,,1,2,
Ellipticity (prolate),0.157762,,Surface,,,,1,3,
Ellipticity (prolate),0.11851,,Surface,,,,1,4,
Ellipticity (prolate),0.0885337,,Surface,,,,1,5,
Ellipticity (prolate),0.913933,,Surface,,,,1,6,
Ellipticity (prolate),0.913933,,Surface,,,,1,7,
Ellipticity (prolate),0.149262,,Surface,,,,1,8,
Ellipticity (prolate),0.439823,,Surface,,,,1,9,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,4,
Generation,0,,Surface,,,,1,5,
Generation,0,,Surface,,,,1,6,
Generation,0,,Surface,,,,1,7,
Generation,0,,Surface,,,,1,8,
Generation,0,,Surface,,,,1,9,
Intensity Max,0,,Surface,1,,Image 1,1,0,
Intensity Max,19,,Surface,2,,Image 1,1,0,
Intensity Max,3,,Surface,3,,Image 1,1,0,
Intensity Max,1,,Surface,4,,Image 1,1,0,
Intensity Max,6,,Surface,1,,Image 1,1,1,
Intensity Max,68,,Surface,2,,Image 1,1,1,
Intensity Max,1,,Surface,3,,Image 1,1,1,
Intensity Max,16,,Surface,4,,Image 1,1,1,
Intensity Max,29,,Surface,1,,Image 1,1,2,
Intensity Max,43,,Surface,2,,Image 1,1,2,
Intensity Max,7,,Surface,3,,Image 1,1,2,
Intensity Max,66,,Surface,4,,Image 1,1,2,
Intensity Max,32,,Surface,1,,Image 1,1,3,
Intensity Max,32,,Surface,2,,Image 1,1,3,
Intensity Max,7,,Surface,3,,Image 1,1,3,
Intensity Max,33,,Surface,4,,Image 1,1,3,
Intensity Max,25,,Surface,1,,Image 1,1,4,
Intensity Max,34,,Surface,2,,Image 1,1,4,
Intensity Max,4,,Surface,3,,Image 1,1,4,
Intensity Max,42,,Surface,4,,Image 1,1,4,
Intensity Max,4,,Surface,1,,Image 1,1,5,
Intensity Max,66,,Surface,2,,Image 1,1,5,
Intensity Max,6,,Surface,3,,Image 1,1,5,
Intensity Max,73,,Surface,4,,Image 1,1,5,
Intensity Max,0,,Surface,1,,Image 1,1,6,
Intensity Max,31,,Surface,2,,Image 1,1,6,
Intensity Max,8,,Surface,3,,Image 1,1,6,
Intensity Max,0,,Surface,4,,Image 1,1,6,
Intensity Max,0,,Surface,1,,Image 1,1,7,
Intensity Max,18,,Surface,2,,Image 1,1,7,
Intensity Max,4,,Surface,3,,Image 1,1,7,
Intensity Max,1,,Surface,4,,Image 1,1,7,
Intensity Max,61,,Surface,1,,Image 1,1,8,
Intensity Max,44,,Surface,2,,Image 1,1,8,
Intensity Max,6,,Surface,3,,Image 1,1,8,
Intensity Max,109,,Surface,4,,Image 1,1,8,
Intensity Max,115,,Surface,1,,Image 1,1,9,
Intensity Max,75,,Surface,2,,Image 1,1,9,
Intensity Max,7,,Surface,3,,Image 1,1,9,
Intensity Max,189,,Surface,4,,Image 1,1,9,
Intensity Mean,0,,Surface,1,,Image 1,1,0,
Intensity Mean,18.6667,,Surface,2,,Image 1,1,0,
Intensity Mean,2.66667,,Surface,3,,Image 1,1,0,
Intensity Mean,1,,Surface,4,,Image 1,1,0,
Intensity Mean,0.583333,,Surface,1,,Image 1,1,1,
Intensity Mean,59.1667,,Surface,2,,Image 1,1,1,
Intensity Mean,0.166667,,Surface,3,,Image 1,1,1,
Intensity Mean,10.4167,,Surface,4,,Image 1,1,1,
Intensity Mean,2.75268,,Surface,1,,Image 1,1,2,
Intensity Mean,24.9925,,Surface,2,,Image 1,1,2,
Intensity Mean,2.06638,,Surface,3,,Image 1,1,2,
Intensity Mean,16.4647,,Surface,4,,Image 1,1,2,
Intensity Mean,2.39576,,Surface,1,,Image 1,1,3,
Intensity Mean,16.4788,,Surface,2,,Image 1,1,3,
Intensity Mean,1.21025,,Surface,3,,Image 1,1,3,
Intensity Mean,14.1643,,Surface,4,,Image 1,1,3,
Intensity Mean,1.90097,,Surface,1,,Image 1,1,4,
Intensity Mean,15.132,,Surface,2,,Image 1,1,4,
Intensity Mean,0.902913,,Surface,3,,Image 1,1,4,
Intensity Mean,13.2718,,Surface,4,,Image 1,1,4,
Intensity Mean,0.20202,,Surface,1,,Image 1,1,5,
Intensity Mean,36.8398,,Surface,2,,Image 1,1,5,
Intensity Mean,0.844156,,Surface,3,,Image 1,1,5,
Intensity Mean,19.4603,,Surface,4,,Image 1,1,5,
Intensity Mean,0,,Surface,1,,Image 1,1,6,
Intensity Mean,27,,Surface,2,,Image 1,1,6,
Intensity Mean,7,,Surface,3,,Image 1,1,6,
Intensity Mean,0,,Surface,4,,Image 1,1,6,
Intensity Mean,0,,Surface,1,,Image 1,1,7,
Intensity Mean,15.3333,,Surface,2,,Image 1,1,7,
Intensity Mean,3,,Surface,3,,Image 1,1,7,
Intensity Mean,0.666667,,Surface,4,,Image 1,1,7,
Intensity Mean,12.5294,,Surface,1,,Image 1,1,8,
Intensity Mean,19.0703,,Surface,2,,Image 1,1,8,
Intensity Mean,1.26562,,Surface,3,,Image 1,1,8,
Intensity Mean,31.0528,,Surface,4,,Image 1,1,8,
Intensity Mean,26.4462,,Surface,1,,Image 1,1,9,
Intensity Mean,34.8506,,Surface,2,,Image 1,1,9,
Intensity Mean,1.7655,,Surface,3,,Image 1,1,9,
Intensity Mean,61.8479,,Surface,4,,Image 1,1,9,
Intensity Median,0,,Surface,1,,Image 1,1,0,
Intensity Median,18.9998,,Surface,2,,Image 1,1,0,
Intensity Median,2.99975,,Surface,3,,Image 1,1,0,
Intensity Median,1,,Surface,4,,Image 1,1,0,
Intensity Median,0.002,,Surface,1,,Image 1,1,1,
