
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,16.6105,um^2,Surface,,,,1,35,
Area,3.88356,um^2,Surface,,,,1,36,
Distance from Origin,130.917,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,137.013,um,Surface,,Distance from Origin,,1,36,
Distance to Image Border XY,50.515,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,49.9814,um,Surface,,,Image 1,1,36,
Ellipticity (oblate),0.294844,,Surface,,,,1,35,
Ellipticity (oblate),0.332,,Surface,,,,1,36,
Ellipticity (prolate),0.50697,,Surface,,,,1,35,
Ellipticity (prolate),0.577418,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,35,
Generation,0,,Surface,,,,1,36,
Intensity Max,42,,Surface,1,,Image 1,1,35,
Intensity Max,98,,Surface,2,,Image 1,1,35,
Intensity Max,91,,Surface,3,,Image 1,1,35,
Intensity Max,55,,Surface,4,,Image 1,1,35,
Intensity Max,42,,Surface,5,,Image 1,1,35,
Intensity Max,98,,Surface,6,,Image 1,1,35,
Intensity Max,3,,Surface,1,,Image 1,1,36,
Intensity Max,38,,Surface,2,,Image 1,1,36,
Intensity Max,65,,Surface,3,,Image 1,1,36,
Intensity Max,144,,Surface,4,,Image 1,1,36,
Intensity Max,3,,Surface,5,,Image 1,1,36,
Intensity Max,38,,Surface,6,,Image 1,1,36,
Intensity Mean,3.40006,,Surface,1,,Image 1,1,35,
Intensity Mean,27.4891,,Surface,2,,Image 1,1,35,
Intensity Mean,7.89663,,Surface,3,,Image 1,1,35,
Intensity Mean,16.1575,,Surface,4,,Image 1,1,35,
Intensity Mean,3.39606,,Surface,5,,Image 1,1,35,
Intensity Mean,27.3517,,Surface,6,,Image 1,1,35,
Intensity Mean,0.109239,,Surface,1,,Image 1,1,36,
Intensity Mean,13.3245,,Surface,2,,Image 1,1,36,
Intensity Mean,3.50435,,Surface,3,,Image 1,1,36,
Intensity Mean,66.3141,,Surface,4,,Image 1,1,36,
Intensity Mean,0.109239,,Surface,5,,Image 1,1,36,
Intensity Mean,13.3245,,Surface,6,,Image 1,1,36,
Intensity Median,1.008,,Surface,1,,Image 1,1,35,
Intensity Median,23.968,,Surface,2,,Image 1,1,35,
Intensity Median,5.016,,Surface,3,,Image 1,1,35,
Intensity Median,14.992,,Surface,4,,Image 1,1,35,
Intensity Median,1.008,,Surface,5,,Image 1,1,35,
Intensity Median,23.968,,Surface,6,,Image 1,1,35,
Intensity Median,0.001,,Surface,1,,Image 1,1,36,
Intensity Median,12.976,,Surface,2,,Image 1,1,36,
Intensity Median,1.016,,Surface,3,,Image 1,1,36,
Intensity Median,65.032,,Surface,4,,Image 1,1,36,
Intensity Median,0.001,,Surface,5,,Image 1,1,36,
Intensity Median,12.976,,Surface,6,,Image 1,1,36,
Intensity Min,0,,Surface,1,,Image 1,1,35,
Intensity Min,0,,Surface,2,,Image 1,1,35,
Intensity Min,0,,Surface,3,,Image 1,1,35,
Intensity Min,0,,Surface,4,,Image 1,1,35,
Intensity Min,0,,Surface,5,,Image 1,1,35,
Intensity Min,0,,Surface,6,,Image 1,1,35,
Intensity Min,0,,Surface,1,,Image 1,1,36,
Intensity Min,1,,Surface,2,,Image 1,1,36,
Intensity Min,0,,Surface,3,,Image 1,1,36,
Intensity Min,2,,Surface,4,,Image 1,1,36,
Intensity Min,0,,Surface,5,,Image 1,1,36,
Intensity Min,1,,Surface,6,,Image 1,1,36,
Intensity StdDev,5.39242,,Surface,1,,Image 1,1,35,
Intensity StdDev,16.8718,,Surface,2,,Image 1,1,35,
Intensity StdDev,9.53633,,Surface,3,,Image 1,1,35,
Intensity StdDev,7.92545,,Surface,4,,Image 1,1,35,
Intensity StdDev,5.39412,,Surface,5,,Image 1,1,35,
Intensity StdDev,16.9884,,Surface,6,,Image 1,1,35,
Intensity StdDev,0.385218,,Surface,1,,Image 1,1,36,
Intensity StdDev,6.4808,,Surface,2,,Image 1,1,36,
Intensity StdDev,6.17657,,Surface,3,,Image 1,1,36,
Intensity StdDev,33.444,,Surface,4,,Image 1,1,36,
Intensity StdDev,0.385218,,Surface,5,,Image 1,1,36,
Intensity StdDev,6.4808,,Surface,6,,Image 1,1,36,
Intensity Sum,54401,,Surface,1,,Image 1,1,35,
Intensity Sum,439826,,Surface,2,,Image 1,1,35,
Intensity Sum,126346,,Surface,3,,Image 1,1,35,
Intensity Sum,258520,,Surface,4,,Image 1,1,35,
Intensity Sum,54337,,Surface,5,,Image 1,1,35,
Intensity Sum,437627,,Surface,6,,Image 1,1,35,
Intensity Sum,201,,Surface,1,,Image 1,1,36,
Intensity Sum,24517,,Surface,2,,Image 1,1,36,
Intensity Sum,6448,,Surface,3,,Image 1,1,36,
Intensity Sum,122018,,Surface,4,,Image 1,1,36,
Intensity Sum,201,,Surface,5,,Image 1,1,36,
Intensity Sum,24517,,Surface,6,,Image 1,1,36,
Number of Disconnected Components,1,,Surface,,,,1,35,
Number of Disconnected Components,1,,Surface,,,,1,36,
Position X,91.6231,um,Surface,,Position,,1,35,
Position X,101.317,um,Surface,,Position,,1,36,
Position Y,93.4161,um,Surface,,Position,,1,35,
Position Y,92.1819,um,Surface,,Position,,1,36,
Position Z,4.22415,um,Surface,,Position,,1,35,
Position Z,3.15848,um,Surface,,Position,,1,36,
Sphericity,0.95207,,Surface,,,,1,35,
Sphericity,0.920352,,Surface,,,,1,36,
Time,0,s,Surface,,,,1,35,
Time,0,s,Surface,,,,1,36,
Time Index,1,,Surface,,,,1,35,
Time Index,1,,Surface,,,,1,36,
Volume,5.91357,um^3,Surface,,,,1,35,
Volume,0.635404,um^3,Surface,,,,1,36,
