
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,20.5644,um^2,Surface,,,,1,239,
Area,8.26791,um^2,Surface,,,,1,250,
Area,10.3842,um^2,Surface,,,,1,252,
Area,17.1421,um^2,Surface,,,,1,253,
Area,34.748,um^2,Surface,,,,1,258,
Area,17.398,um^2,Surface,,,,1,262,
Area,17.4945,um^2,Surface,,,,1,263,
Area,26.3178,um^2,Surface,,,,1,265,
Area,12.0221,um^2,Surface,,,,1,266,
Area,11.0568,um^2,Surface,,,,1,267,
Area,32.5159,um^2,Surface,,,,1,270,
Area,28.0987,um^2,Surface,,,,1,272,
Area,14.6761,um^2,Surface,,,,1,273,
Area,18.2701,um^2,Surface,,,,1,276,
Area,17.3605,um^2,Surface,,,,1,281,
Area,18.7764,um^2,Surface,,,,1,282,
Area,41.1875,um^2,Surface,,,,1,285,
Area,20.3851,um^2,Surface,,,,1,286,
Area,10.9869,um^2,Surface,,,,1,287,
Area,25.9292,um^2,Surface,,,,1,288,
Area,26.7109,um^2,Surface,,,,1,289,
Area,34.1075,um^2,Surface,,,,1,290,
Area,25.5206,um^2,Surface,,,,1,291,
Area,17.9138,um^2,Surface,,,,1,301,
Area,15.0091,um^2,Surface,,,,1,303,
Area,19.0357,um^2,Surface,,,,1,304,
Area,18.3419,um^2,Surface,,,,1,305,
Area,57.7445,um^2,Surface,,,,1,307,
Area,13.1115,um^2,Surface,,,,1,308,
Area,360.409,um^2,Surface,,,,1,310,
Area,33.5182,um^2,Surface,,,,1,311,
Area,65.2008,um^2,Surface,,,,1,314,
Area,9.17523,um^2,Surface,,,,1,315,
Area,47.721,um^2,Surface,,,,1,317,
Area,17.9024,um^2,Surface,,,,1,318,
Area,47.7973,um^2,Surface,,,,1,319,
Area,83.3357,um^2,Surface,,,,1,320,
Area,12.3937,um^2,Surface,,,,1,321,
Area,33.0098,um^2,Surface,,,,1,322,
Area,5.81339,um^2,Surface,,,,1,323,
Area,24.2001,um^2,Surface,,,,1,325,
Area,37.6339,um^2,Surface,,,,1,326,
Area,46.6094,um^2,Surface,,,,1,327,
Area,46.3436,um^2,Surface,,,,1,328,
Area,50.6145,um^2,Surface,,,,1,329,
Area,49.5189,um^2,Surface,,,,1,330,
Area,210.28,um^2,Surface,,,,1,332,
Area,16.9177,um^2,Surface,,,,1,333,
Area,68.25,um^2,Surface,,,,1,334,
Area,15.0724,um^2,Surface,,,,1,335,
Area,22.763,um^2,Surface,,,,1,336,
Area,12.4309,um^2,Surface,,,,1,342,
Area,20.0738,um^2,Surface,,,,1,344,
Area,17.335,um^2,Surface,,,,1,345,
Area,65.5934,um^2,Surface,,,,1,346,
Area,18.7409,um^2,Surface,,,,1,347,
Area,15.7411,um^2,Surface,,,,1,348,
Area,178.287,um^2,Surface,,,,1,349,
Area,18.5532,um^2,Surface,,,,1,350,
Area,1785.56,um^2,Surface,,,,1,351,
Area,7.6283,um^2,Surface,,,,1,353,
Area,35.9497,um^2,Surface,,,,1,354,
Area,24.7293,um^2,Surface,,,,1,355,
Area,43.4845,um^2,Surface,,,,1,356,
Area,23.2255,um^2,Surface,,,,1,360,
Distance from Origin,131.969,um,Surface,,Distance from Origin,,1,239,
Distance from Origin,186.685,um,Surface,,Distance from Origin,,1,250,
Distance from Origin,131.169,um,Surface,,Distance from Origin,,1,252,
Distance from Origin,123.388,um,Surface,,Distance from Origin,,1,253,
Distance from Origin,167.144,um,Surface,,Distance from Origin,,1,258,
Distance from Origin,164.209,um,Surface,,Distance from Origin,,1,262,
Distance from Origin,176.599,um,Surface,,Distance from Origin,,1,263,
Distance from Origin,141.423,um,Surface,,Distance from Origin,,1,265,
Distance from Origin,160.305,um,Surface,,Distance from Origin,,1,266,
Distance from Origin,122.937,um,Surface,,Distance from Origin,,1,267,
Distance from Origin,105.94,um,Surface,,Distance from Origin,,1,270,
Distance from Origin,101.943,um,Surface,,Distance from Origin,,1,272,
Distance from Origin,139.559,um,Surface,,Distance from Origin,,1,273,
Distance from Origin,111.49,um,Surface,,Distance from Origin,,1,276,
Distance from Origin,198.062,um,Surface,,Distance from Origin,,1,281,
Distance from Origin,206.312,um,Surface,,Distance from Origin,,1,282,
Distance from Origin,202.968,um,Surface,,Distance from Origin,,1,285,
Distance from Origin,196.864,um,Surface,,Distance from Origin,,1,286,
Distance from Origin,203.132,um,Surface,,Distance from Origin,,1,287,
Distance from Origin,203.87,um,Surface,,Distance from Origin,,1,288,
Distance from Origin,183.503,um,Surface,,Distance from Origin,,1,289,
Distance from Origin,199.891,um,Surface,,Distance from Origin,,1,290,
Distance from Origin,203.422,um,Surface,,Distance from Origin,,1,291,
Distance from Origin,198.541,um,Surface,,Distance from Origin,,1,301,
Distance from Origin,160.103,um,Surface,,Distance from Origin,,1,303,
Distance from Origin,162.514,um,Surface,,Distance from Origin,,1,304,
Distance from Origin,185.455,um,Surface,,Distance from Origin,,1,305,
Distance from Origin,134.341,um,Surface,,Distance from Origin,,1,307,
Distance from Origin,137.086,um,Surface,,Distance from Origin,,1,308,
Distance from Origin,184.919,um,Surface,,Distance from Origin,,1,310,
Distance from Origin,134.634,um,Surface,,Distance from Origin,,1,311,
Distance from Origin,120.255,um,Surface,,Distance from Origin,,1,314,
Distance from Origin,117.198,um,Surface,,Distance from Origin,,1,315,
Distance from Origin,154.049,um,Surface,,Distance from Origin,,1,317,
Distance from Origin,173.45,um,Surface,,Distance from Origin,,1,318,
Distance from Origin,179.791,um,Surface,,Distance from Origin,,1,319,
Distance from Origin,123.735,um,Surface,,Distance from Origin,,1,320,
Distance from Origin,123.486,um,Surface,,Distance from Origin,,1,321,
Distance from Origin,107.271,um,Surface,,Distance from Origin,,1,322,
Distance from Origin,127.141,um,Surface,,Distance from Origin,,1,323,
Distance from Origin,118.474,um,Surface,,Distance from Origin,,1,325,
Distance from Origin,125.241,um,Surface,,Distance from Origin,,1,326,
Distance from Origin,105.082,um,Surface,,Distance from Origin,,1,327,
Distance from Origin,89.9977,um,Surface,,Distance from Origin,,1,328,
Distance from Origin,117.157,um,Surface,,Distance from Origin,,1,329,
Distance from Origin,101.803,um,Surface,,Distance from Origin,,1,330,
Distance from Origin,103.97,um,Surface,,Distance from Origin,,1,332,
Distance from Origin,82.0251,um,Surface,,Distance from Origin,,1,333,
Distance from Origin,85.9355,um,Surface,,Distance from Origin,,1,334,
Distance from Origin,81.4958,um,Surface,,Distance from Origin,,1,335,
Distance from Origin,85.8523,um,Surface,,Distance from Origin,,1,336,
Distance from Origin,154.266,um,Surface,,Distance from Origin,,1,342,
Distance from Origin,146.728,um,Surface,,Distance from Origin,,1,344,
Distance from Origin,129.297,um,Surface,,Distance from Origin,,1,345,
Distance from Origin,129.978,um,Surface,,Distance from Origin,,1,346,
Distance from Origin,134.755,um,Surface,,Distance from Origin,,1,347,
Distance from Origin,136.51,um,Surface,,Distance from Origin,,1,348,
Distance from Origin,107.519,um,Surface,,Distance from Origin,,1,349,
Distance from Origin,99.7771,um,Surface,,Distance from Origin,,1,350,
Distance from Origin,142.33,um,Surface,,Distance from Origin,,1,351,
