
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.43565,um^2,Surface,,,,1,149,
Area,3.1151,um^2,Surface,,,,1,150,
Area,5.94312,um^2,Surface,,,,1,151,
Area,3.06075,um^2,Surface,,,,1,152,
Area,14.1548,um^2,Surface,,,,1,153,
Area,25.1633,um^2,Surface,,,,1,154,
Area,3.09617,um^2,Surface,,,,1,155,
Area,4.09004,um^2,Surface,,,,1,156,
Area,8.93027,um^2,Surface,,,,1,157,
Area,25.4352,um^2,Surface,,,,1,159,
Area,3.64493,um^2,Surface,,,,1,160,
Area,3.26186,um^2,Surface,,,,1,161,
Area,11.3227,um^2,Surface,,,,1,162,
Area,4.06395,um^2,Surface,,,,1,164,
Area,9.32656,um^2,Surface,,,,1,165,
Area,3.69115,um^2,Surface,,,,1,166,
Area,8.86706,um^2,Surface,,,,1,169,
Area,12.3445,um^2,Surface,,,,1,182,
Area,13.7817,um^2,Surface,,,,1,183,
Area,28.4966,um^2,Surface,,,,1,185,
Area,14.8751,um^2,Surface,,,,1,186,
Area,22.334,um^2,Surface,,,,1,190,
Area,10.0707,um^2,Surface,,,,1,193,
Area,151.986,um^2,Surface,,,,1,194,
Area,2.09764,um^2,Surface,,,,1,198,
Area,21.3904,um^2,Surface,,,,1,214,
Area,5.66323,um^2,Surface,,,,1,216,
Area,29.4593,um^2,Surface,,,,1,218,
Distance from Origin,191.247,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,188.281,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,92.5478,um,Surface,,Distance from Origin,,1,151,
Distance from Origin,95.4758,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,97.3443,um,Surface,,Distance from Origin,,1,153,
Distance from Origin,101.222,um,Surface,,Distance from Origin,,1,154,
Distance from Origin,127.409,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,151.308,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,148.557,um,Surface,,Distance from Origin,,1,157,
