
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,26.3929,um^2,Dendrite,,1,,1,,1,,100000000,510000000001,
Dendrite Area,5.43195,um^2,Dendrite,,2,,2,,1,,100000000,510000000033,
Dendrite Area,16.6792,um^2,Dendrite,,3,,2,,1,,100000000,510000000038,
Dendrite Area,3.42746,um^2,Dendrite,,5,,2,,1,,100000000,510000000062,
Dendrite Area,12.8915,um^2,Dendrite,,6,,2,,1,,100000000,510000000066,
Dendrite Area,12.2635,um^2,Dendrite,,7,,2,,1,,100000000,510000000086,
Dendrite Area,8.75292,um^2,Dendrite,,8,,2,,1,,100000000,510000000105,
Dendrite Area,13.855,um^2,Dendrite,,9,,2,,1,,100000000,510000000117,
Dendrite Area,2.00948,um^2,Dendrite,,10,,2,,1,,100000000,510000000145,
Dendrite Area,2.53004,um^2,Dendrite,,11,,2,,1,,100000000,510000000148,
Dendrite Area,13.885,um^2,Dendrite,,12,,2,,1,,100000000,510000000151,
Dendrite Area,4.07199,um^2,Dendrite,,13,,2,,1,,100000000,510000000175,
Dendrite Area,7.63212,um^2,Dendrite,,14,,3,,1,,100000000,510000000182,
Dendrite Area,19.0264,um^2,Dendrite,,15,,4,,1,,100000000,510000000197,
Dendrite Area,5.87193,um^2,Dendrite,,16,,4,,1,,100000000,510000000240,
Dendrite Area,1.85154,um^2,Dendrite,,17,,4,,1,,100000000,510000000254,
Dendrite Area,35.0977,um^2,Dendrite,,18,,4,,1,,100000000,510000000258,
Dendrite Area,9.03553,um^2,Dendrite,,19,,5,,1,,100000000,510000000334,
Dendrite Area,11.9115,um^2,Dendrite,,17,,5,,1,,100000000,510000000354,
Dendrite Area,22.9608,um^2,Dendrite,,1,,1,,1,,100000000,510000000385,
Dendrite Area,2.16225,um^2,Dendrite,,2,,1,,1,,100000000,510000000416,
Dendrite Area,21.667,um^2,Dendrite,,3,,2,,1,,100000000,510000000418,
