
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.36776,um^2,Surface,,,,1,200,
Area,10.2877,um^2,Surface,,,,1,201,
Area,13.8905,um^2,Surface,,,,1,207,
Area,19.5306,um^2,Surface,,,,1,214,
Area,8.65456,um^2,Surface,,,,1,217,
Area,16.9633,um^2,Surface,,,,1,219,
Area,18.516,um^2,Surface,,,,1,221,
Area,7.38381,um^2,Surface,,,,1,223,
Area,12.5045,um^2,Surface,,,,1,225,
Area,3.73027,um^2,Surface,,,,1,229,
Area,90.9635,um^2,Surface,,,,1,233,
Area,25.3885,um^2,Surface,,,,1,235,
Area,31.3851,um^2,Surface,,,,1,242,
Area,11.9268,um^2,Surface,,,,1,244,
Area,10.1418,um^2,Surface,,,,1,246,
Area,11.2721,um^2,Surface,,,,1,247,
Area,14.7712,um^2,Surface,,,,1,252,
Area,41.3858,um^2,Surface,,,,1,260,
Area,57.4285,um^2,Surface,,,,1,261,
Area,10.9495,um^2,Surface,,,,1,263,
Area,3.57743,um^2,Surface,,,,1,268,
Area,6.95444,um^2,Surface,,,,1,270,
Distance from Origin,136.987,um,Surface,,Distance from Origin,,1,200,
Distance from Origin,152.398,um,Surface,,Distance from Origin,,1,201,
Distance from Origin,149.659,um,Surface,,Distance from Origin,,1,207,
Distance from Origin,130.668,um,Surface,,Distance from Origin,,1,214,
Distance from Origin,138.878,um,Surface,,Distance from Origin,,1,217,
Distance from Origin,142.874,um,Surface,,Distance from Origin,,1,219,
Distance from Origin,137.713,um,Surface,,Distance from Origin,,1,221,
Distance from Origin,135.948,um,Surface,,Distance from Origin,,1,223,
Distance from Origin,132.932,um,Surface,,Distance from Origin,,1,225,
Distance from Origin,129.779,um,Surface,,Distance from Origin,,1,229,
Distance from Origin,129.975,um,Surface,,Distance from Origin,,1,233,
Distance from Origin,112.353,um,Surface,,Distance from Origin,,1,235,
Distance from Origin,127.901,um,Surface,,Distance from Origin,,1,242,
Distance from Origin,136.852,um,Surface,,Distance from Origin,,1,244,
Distance from Origin,125.462,um,Surface,,Distance from Origin,,1,246,
Distance from Origin,123.212,um,Surface,,Distance from Origin,,1,247,
Distance from Origin,114.279,um,Surface,,Distance from Origin,,1,252,
Distance from Origin,118.216,um,Surface,,Distance from Origin,,1,260,
Distance from Origin,126.062,um,Surface,,Distance from Origin,,1,261,
Distance from Origin,115.104,um,Surface,,Distance from Origin,,1,263,
Distance from Origin,122.019,um,Surface,,Distance from Origin,,1,268,
Distance from Origin,119.437,um,Surface,,Distance from Origin,,1,270,
Distance to Image Border XY,25.5327,um,Surface,,,Image 1,1,200,
Distance to Image Border XY,18.8036,um,Surface,,,Image 1,1,201,
Distance to Image Border XY,15.8124,um,Surface,,,Image 1,1,207,
Distance to Image Border XY,31.6076,um,Surface,,,Image 1,1,214,
Distance to Image Border XY,12.0083,um,Surface,,,Image 1,1,217,
Distance to Image Border XY,23.2528,um,Surface,,,Image 1,1,219,
Distance to Image Border XY,23.5907,um,Surface,,,Image 1,1,221,
Distance to Image Border XY,28.5972,um,Surface,,,Image 1,1,223,
Distance to Image Border XY,29.9588,um,Surface,,,Image 1,1,225,
Distance to Image Border XY,29.4524,um,Surface,,,Image 1,1,229,
Distance to Image Border XY,15.1939,um,Surface,,,Image 1,1,233,
Distance to Image Border XY,18.1997,um,Surface,,,Image 1,1,235,
Distance to Image Border XY,32.7682,um,Surface,,,Image 1,1,242,
Distance to Image Border XY,14.9247,um,Surface,,,Image 1,1,244,
Distance to Image Border XY,18.5494,um,Surface,,,Image 1,1,246,
Distance to Image Border XY,26.3301,um,Surface,,,Image 1,1,247,
Distance to Image Border XY,10.1362,um,Surface,,,Image 1,1,252,
Distance to Image Border XY,27.0668,um,Surface,,,Image 1,1,260,
Distance to Image Border XY,30.0002,um,Surface,,,Image 1,1,261,
Distance to Image Border XY,24.5555,um,Surface,,,Image 1,1,263,
