
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,24.0842,um^2,Dendrite,,1,,1,,1,,100000001,510000002718,
Dendrite Area,30.6624,um^2,Dendrite,,2,,1,,1,,100000001,510000002764,
Dendrite Area,49.9779,um^2,Dendrite,,3,,2,,1,,100000001,510000002825,
Dendrite Area,30.2574,um^2,Dendrite,,4,,3,,1,,100000001,510000002955,
Dendrite Area,25.6459,um^2,Dendrite,,5,,3,,1,,100000001,510000003053,
Dendrite Area,17.2149,um^2,Dendrite,,6,,3,,1,,100000001,510000003166,
Dendrite Area,13.9599,um^2,Dendrite,,2,,2,,1,,100000001,510000003238,
Dendrite Area,12.3597,um^2,Dendrite,,3,,2,,1,,100000001,510000003273,
Dendrite Area,61.5954,um^2,Dendrite,,4,,3,,1,,100000001,510000003296,
Dendrite Area,10.7269,um^2,Dendrite,,5,,3,,1,,100000001,510000003458,
Dendrite Area,17.1566,um^2,Dendrite,,6,,3,,1,,100000001,510000003487,
Dendrite Area,42.5912,um^2,Dendrite,,7,,4,,1,,100000001,510000003532,
Dendrite Area,28.5905,um^2,Dendrite,,4,,2,,1,,100000001,510000003637,
Dendrite Area,43.6904,um^2,Dendrite,,5,,2,,1,,100000001,510000003708,
Dendrite Area,91.0452,um^2,Dendrite,,6,,2,,1,,100000001,510000003817,
Dendrite Area,10.0739,um^2,Dendrite,,1,,2,,1,,100000001,510000003973,
Dendrite Area,29.9385,um^2,Dendrite,,2,,2,,1,,100000001,510000003992,
Dendrite Area,34.2205,um^2,Dendrite,,3,,3,,1,,100000001,510000004033,
Dendrite Area,5.9049,um^2,Dendrite,,4,,3,,1,,100000001,510000004135,
Dendrite Area,16.5206,um^2,Dendrite,,5,,4,,1,,100000001,510000004148,
Dendrite Area,10.4595,um^2,Dendrite,,5,,3,,1,,100000001,510000004234,
Dendrite Area,21.0518,um^2,Dendrite,,6,,4,,1,,100000001,510000004260,
Dendrite Area,42.0963,um^2,Dendrite,,6,,4,,1,,100000001,510000004324,
Dendrite Area,19.8893,um^2,Dendrite,,7,,5,,1,,100000001,510000004528,
Dendrite Area,0.761928,um^2,Dendrite,,8,,6,,1,,100000001,510000004604,
Dendrite Area,56.1198,um^2,Dendrite,,2,,3,,1,,100000001,510000004727,
Dendrite Area,9.62889,um^2,Dendrite,,3,,3,,1,,100000001,510000004853,
Dendrite Area,3.94466,um^2,Dendrite,,4,,3,,1,,100000001,510000004884,
Dendrite Area,39.7348,um^2,Dendrite,,5,,4,,1,,100000001,510000004892,
Dendrite Area,38.1648,um^2,Dendrite,,6,,5,,1,,100000001,510000004999,
Dendrite Area,5.80355,um^2,Dendrite,,6,,4,,1,,100000001,510000005102,
Dendrite Area,13.1977,um^2,Dendrite,,7,,4,,1,,100000001,510000005117,
Dendrite Area,4.11027,um^2,Dendrite,,8,,5,,1,,100000001,510000005151,
Dendrite Area,32.8815,um^2,Dendrite,,9,,5,,1,,100000001,510000005164,
Dendrite Area,2.91594,um^2,Dendrite,,10,,5,,1,,100000001,510000005263,
Dendrite Area,17.8588,um^2,Dendrite,,5,,4,,1,,100000001,510000005271,
Dendrite Area,81.895,um^2,Dendrite,,6,,4,,1,,100000001,510000005330,
Dendrite Area,16.9569,um^2,Dendrite,,4,,4,,1,,100000001,510000005666,
Dendrite Area,14.7125,um^2,Dendrite,,8,,5,,1,,100000001,510000005746,
Dendrite Area,15.4509,um^2,Dendrite,,7,,4,,1,,100000001,510000005814,
Dendrite Area,12.2533,um^2,Dendrite,,7,,3,,1,,100000001,510000005858,
Dendrite Area,2.74002,um^2,Dendrite,,8,,3,,1,,100000001,510000005892,
Dendrite Area,5.39922,um^2,Dendrite,,8,,4,,1,,100000001,510000005989,
Dendrite Area,11.6052,um^2,Dendrite,,9,,4,,1,,100000001,510000006018,
Dendrite Area,10.2144,um^2,Dendrite,,10,,5,,1,,100000001,510000006079,
Dendrite Area,12.0457,um^2,Dendrite,,3,,4,,1,,100000001,510000006134,
Dendrite Area,13.4576,um^2,Dendrite,,10,,6,,1,,100000001,510000006181,
Dendrite Area,7.64826,um^2,Dendrite,,10,,4,,1,,100000001,510000006280,
Dendrite Area,23.1053,um^2,Dendrite,,9,,6,,1,,100000001,510000006509,
Dendrite Area,21.722,um^2,Dendrite,,6,,5,,1,,100000001,510000006630,
Dendrite Area,5.40297,um^2,Dendrite,,3,,1,,1,,100000001,510000006792,
Dendrite Area,6.58886,um^2,Dendrite,,9,,5,,1,,100000001,510000006861,
Dendrite Area,15.6123,um^2,Dendrite,,6,,4,,1,,100000001,510000007044,
Dendrite Area,14.7192,um^2,Dendrite,,4,,2,,1,,100000001,510000007105,
Dendrite Area,3.13845,um^2,Dendrite,,5,,3,,1,,100000001,510000007136,
Dendrite Area,18.1313,um^2,Dendrite,,6,,4,,1,,100000001,510000007146,
Dendrite Area,9.53763,um^2,Dendrite,,8,,4,,1,,100000001,510000007362,
Dendrite Area,25.2868,um^2,Dendrite,,7,,5,,1,,100000001,510000007387,
Dendrite Area,17.1708,um^2,Dendrite,,6,,3,,1,,100000001,510000007449,
Dendrite Area,27.1947,um^2,Dendrite,,5,,2,,1,,100000001,510000007515,
Dendrite Area,11.2972,um^2,Dendrite,,6,,3,,1,,100000001,510000007570,
Dendrite Area,14.7187,um^2,Dendrite,,4,,4,,1,,100000001,510000007863,
Dendrite Area,15.0105,um^2,Dendrite,,5,,3,,1,,100000001,510000007891,
Dendrite Area,11.7242,um^2,Dendrite,,6,,3,,1,,100000001,510000007950,
Dendrite Area,27.8269,um^2,Dendrite,,3,,2,,1,,100000001,510000008224,
Dendrite Area,16.945,um^2,Dendrite,,3,,3,,1,,100000001,510000008327,
