
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.57308,um^2,Surface,,,,1,27,
Area,10.1191,um^2,Surface,,,,1,28,
Area,2.7588,um^2,Surface,,,,1,29,
Area,2.61268,um^2,Surface,,,,1,30,
Area,4.0971,um^2,Surface,,,,1,31,
Area,2.0071,um^2,Surface,,,,1,32,
Area,50.06,um^2,Surface,,,,1,33,
Area,8.87067,um^2,Surface,,,,1,34,
Area,9.12892,um^2,Surface,,,,1,35,
Area,2.26986,um^2,Surface,,,,1,36,
Area,0.835298,um^2,Surface,,,,1,38,
Area,3.85077,um^2,Surface,,,,1,39,
Area,2.55791,um^2,Surface,,,,1,40,
Area,0.892905,um^2,Surface,,,,1,41,
Area,5.83512,um^2,Surface,,,,1,42,
Distance from Origin,112.966,um,Surface,,Distance from Origin,,1,27,
Distance from Origin,104.072,um,Surface,,Distance from Origin,,1,28,
Distance from Origin,109.726,um,Surface,,Distance from Origin,,1,29,
Distance from Origin,103.23,um,Surface,,Distance from Origin,,1,30,
Distance from Origin,104.552,um,Surface,,Distance from Origin,,1,31,
Distance from Origin,96.6998,um,Surface,,Distance from Origin,,1,32,
Distance from Origin,95.9898,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,80.8795,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,95.3347,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,71.4085,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,87.8029,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,63.8894,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,56.9451,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,55.3387,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,48.1396,um,Surface,,Distance from Origin,,1,42,
Distance to Image Border XY,17.3876,um,Surface,,,Image 1,1,27,
Distance to Image Border XY,24.4557,um,Surface,,,Image 1,1,28,
Distance to Image Border XY,5.52094,um,Surface,,,Image 1,1,29,
Distance to Image Border XY,15.8793,um,Surface,,,Image 1,1,30,
Distance to Image Border XY,14.7346,um,Surface,,,Image 1,1,31,
Distance to Image Border XY,26.6961,um,Surface,,,Image 1,1,32,
Distance to Image Border XY,29.1804,um,Surface,,,Image 1,1,33,
Distance to Image Border XY,37.5485,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,26.975,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,31.2765,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,30.9534,um,Surface,,,Image 1,1,38,
Distance to Image Border XY,25.4681,um,Surface,,,Image 1,1,39,
Distance to Image Border XY,21.5703,um,Surface,,,Image 1,1,40,
Distance to Image Border XY,20.5598,um,Surface,,,Image 1,1,41,
Distance to Image Border XY,12.3324,um,Surface,,,Image 1,1,42,
Ellipticity (oblate),0.230143,,Surface,,,,1,27,
Ellipticity (oblate),0.442655,,Surface,,,,1,28,
Ellipticity (oblate),0.454516,,Surface,,,,1,29,
Ellipticity (oblate),0.539473,,Surface,,,,1,30,
